Security,USDEUR BGN Curncy
Start Date,1/31/1975 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
09/29/23,0.9458
08/31/23,0.9222
07/31/23,0.9093
06/30/23,0.9167
05/31/23,0.9355
04/28/23,0.9075
03/31/23,0.9226
02/28/23,0.9456
01/31/23,0.9205
12/30/22,0.9341
11/30/22,0.9609
10/31/22,1.012
09/30/22,1.0202
08/31/22,0.9947
07/29/22,0.9785
06/30/22,0.9539
05/31/22,0.9317
04/29/22,0.9485
03/31/22,0.9036
02/28/22,0.8914
01/31/22,0.8902
12/31/21,0.8793
11/30/21,0.8819
10/29/21,0.865
09/30/21,0.8638
08/31/21,0.8468
07/30/21,0.8427
06/30/21,0.8434
05/31/21,0.8179
04/30/21,0.832
03/31/21,0.8525
02/26/21,0.8283
01/29/21,0.8239
12/31/20,0.8186
11/30/20,0.8385
10/30/20,0.8586
09/30/20,0.8532
08/31/20,0.8378
07/31/20,0.849
06/30/20,0.8902
05/29/20,0.9006
04/30/20,0.9131
03/31/20,0.9064
02/28/20,0.9069
01/31/20,0.9015
12/31/19,0.8919
11/29/19,0.9076
10/31/19,0.8967
09/30/19,0.9176
08/30/19,0.9102
07/31/19,0.9028
06/28/19,0.8793
05/31/19,0.8954
04/30/19,0.8917
03/29/19,0.8914
02/28/19,0.8794
01/31/19,0.8736
12/31/18,0.8722
11/30/18,0.8835
10/31/18,0.884
09/28/18,0.8617
08/31/18,0.862
07/31/18,0.8554
06/29/18,0.8558
05/31/18,0.8553
04/30/18,0.8279
03/30/18,0.8114
02/28/18,0.8201
01/31/18,0.8056
12/29/17,0.833
11/30/17,0.8401
10/31/17,0.8587
09/29/17,0.8464
08/31/17,0.8397
07/31/17,0.8445
06/30/17,0.8752
05/31/17,0.8894
04/28/17,0.9178
03/31/17,0.9385
02/28/17,0.9455
01/31/17,0.9261
12/30/16,0.9506
11/30/16,0.9444
10/31/16,0.9107
09/30/16,0.8901
08/31/16,0.8962
07/29/16,0.8949
06/30/16,0.9004
05/31/16,0.8983
04/29/16,0.8733
03/31/16,0.8787
02/29/16,0.9197
01/29/16,0.9233
12/31/15,0.921
11/30/15,0.9466
10/30/15,0.9086
09/30/15,0.8947
08/31/15,0.892
07/31/15,0.9104
06/30/15,0.8979
05/29/15,0.9098
04/30/15,0.8911
03/31/15,0.9318
02/27/15,0.8931
01/30/15,0.8861
12/31/14,0.8266
11/28/14,0.8033
10/31/14,0.7983
09/30/14,0.7917
08/29/14,0.7615
07/31/14,0.7466
06/30/14,0.7305
05/30/14,0.7335
04/30/14,0.7211
03/31/14,0.7263
02/28/14,0.7246
01/31/14,0.7415
12/31/13,0.7277
11/29/13,0.7358
10/31/13,0.7362
09/30/13,0.7393
08/30/13,0.7564
07/31/13,0.7517
06/28/13,0.7687
05/31/13,0.7694
04/30/13,0.7594
03/29/13,0.7802
02/28/13,0.7657
01/31/13,0.7365
12/31/12,0.758
11/30/12,0.7699
10/31/12,0.7719
09/28/12,0.7777
08/31/12,0.7952
07/31/12,0.8128
06/29/12,0.7899
05/31/12,0.8087
04/30/12,0.7554
03/30/12,0.7495
02/29/12,0.7505
01/31/12,0.7643
12/30/11,0.7714
11/30/11,0.7438
10/31/11,0.7216
09/30/11,0.7468
08/31/11,0.6957
07/29/11,0.6945
06/30/11,0.6896
05/31/11,0.6946
04/29/11,0.6753
03/31/11,0.7064
02/28/11,0.7243
01/31/11,0.7302
12/31/10,0.7471
11/30/10,0.7702
10/29/10,0.717
09/30/10,0.7334
08/31/10,0.7887
07/30/10,0.7662
06/30/10,0.8172
05/31/10,0.8126
04/30/10,0.7521
03/31/10,0.7402
02/26/10,0.7337
01/29/10,0.7214
12/31/09,0.6978
11/30/09,0.6665
10/30/09,0.6793
09/30/09,0.6831
08/31/09,0.6977
07/31/09,0.7014
06/30/09,0.7126
05/29/09,0.7064
04/30/09,0.7559
03/31/09,0.7547
02/27/09,0.7893
01/30/09,0.7806
12/31/08,0.7156
11/28/08,0.7879
10/31/08,0.7855
09/30/08,0.7096
08/29/08,0.6815
07/31/08,0.6409
06/30/08,0.6347
05/30/08,0.6429
04/30/08,0.6401
03/31/08,0.6334
02/29/08,0.6588
01/31/08,0.6729
12/31/07,0.6855
11/30/07,0.6834
10/31/07,0.6903
09/28/07,0.7009
08/31/07,0.7337
07/31/07,0.7308
06/29/07,0.7385
05/31/07,0.7433
04/30/07,0.7327
03/30/07,0.7488
02/28/07,0.7559
01/31/07,0.7673
12/29/06,0.7577
11/30/06,0.7552
10/31/06,0.7836
09/29/06,0.789
08/31/06,0.7804
07/31/06,0.7833
06/30/06,0.7818
05/31/06,0.7808
04/28/06,0.7915
03/31/06,0.8254
02/28/06,0.8388
01/31/06,0.8226
12/30/05,0.844
11/30/05,0.8484
10/31/05,0.8339
09/30/05,0.8315
08/31/05,0.8099
07/29/05,0.825
06/30/05,0.826
05/31/05,0.8127
04/29/05,0.7769
03/31/05,0.7713
02/28/05,0.7561
01/31/05,0.767
12/31/04,0.7378
11/30/04,0.7532
10/29/04,0.7814
09/30/04,0.8041
08/31/04,0.8208
07/30/04,0.8321
06/30/04,0.8196
05/31/04,0.8205
04/30/04,0.835
03/31/04,0.812
02/27/04,0.8005
01/30/04,0.8015
12/31/03,0.794
