Security,USDGBP BGN Curncy
Start Date,1/29/1971 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,0.8197
8/31/2023,0.789
7/31/2023,0.7791
6/30/2023,0.7872
5/31/2023,0.8038
4/28/2023,0.7957
3/31/2023,0.8106
2/28/2023,0.8318
1/31/2023,0.8117
12/30/2022,0.8276
11/30/2022,0.8293
10/31/2022,0.8719
9/30/2022,0.8953
8/31/2022,0.8604
7/29/2022,0.8216
6/30/2022,0.8211
5/31/2022,0.7935
4/29/2022,0.7953
3/31/2022,0.7609
2/28/2022,0.7454
1/31/2022,0.7437
12/31/2021,0.7392
11/30/2021,0.7518
10/29/2021,0.7305
9/30/2021,0.7421
8/31/2021,0.727
7/30/2021,0.7193
6/30/2021,0.7229
5/31/2021,0.7036
4/30/2021,0.7239
3/31/2021,0.7255
2/26/2021,0.718
1/29/2021,0.7297
12/31/2020,0.7318
11/30/2020,0.7505
10/30/2020,0.7722
9/30/2020,0.7738
8/31/2020,0.748
7/31/2020,0.7642
6/30/2020,0.8064
5/29/2020,0.8095
4/30/2020,0.794
3/31/2020,0.8056
2/28/2020,0.7801
1/31/2020,0.7572
12/31/2019,0.7543
11/29/2019,0.7733
10/31/2019,0.7728
9/30/2019,0.8135
8/30/2019,0.8222
7/31/2019,0.8225
6/28/2019,0.7875
5/31/2019,0.7916
4/30/2019,0.7673
3/29/2019,0.7671
2/28/2019,0.754
1/31/2019,0.7628
12/31/2018,0.7839
11/30/2018,0.7843
10/31/2018,0.7834
9/28/2018,0.7676
8/31/2018,0.7716
7/31/2018,0.7619
6/29/2018,0.7572
5/31/2018,0.7521
4/30/2018,0.7265
3/30/2018,0.7134
2/28/2018,0.7268
1/31/2018,0.7046
12/29/2017,0.7402
11/30/2017,0.7393
10/31/2017,0.7528
9/29/2017,0.7465
8/31/2017,0.7736
7/31/2017,0.7567
6/30/2017,0.7677
5/31/2017,0.7758
4/28/2017,0.7722
3/31/2017,0.7968
2/28/2017,0.8078
1/31/2017,0.7949
12/30/2016,0.8101
11/30/2016,0.7996
10/31/2016,0.8169
9/30/2016,0.7705
8/31/2016,0.7611
7/29/2016,0.756
6/30/2016,0.7512
5/31/2016,0.6905
4/29/2016,0.6844
3/31/2016,0.6963
2/29/2016,0.7185
1/29/2016,0.702
12/31/2015,0.6786
