Security,USDIDR BGN Curncy
Start Date,11/29/1991 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,15460
8/31/2023,15230
7/31/2023,15080
6/30/2023,15066
5/31/2023,14994
4/28/2023,14674
3/31/2023,14996
2/28/2023,15261
1/31/2023,14991
12/30/2022,15573
11/30/2022,15732
10/31/2022,15598
9/30/2022,15227
8/31/2022,14843
7/29/2022,14834
6/30/2022,14903
5/31/2022,14578
4/29/2022,14482
3/31/2022,14363
2/28/2022,14382
1/31/2022,14368
12/31/2021,14263
11/30/2021,14332
10/29/2021,14168
9/30/2021,14313
8/31/2021,14268
7/30/2021,14463
6/30/2021,14500
5/31/2021,14280
4/30/2021,14445
3/31/2021,14525
2/26/2021,14235
1/29/2021,14030
12/31/2020,14050
11/30/2020,14120
10/30/2020,14625
9/30/2020,14880
8/31/2020,14563
7/31/2020,14600
6/30/2020,14265
5/29/2020,14610
4/30/2020,14882
3/31/2020,16310
2/28/2020,14318
1/31/2020,13655
12/31/2019,13866
11/29/2019,14108
10/31/2019,14043
9/30/2019,14195
8/30/2019,14198
7/31/2019,14022
6/28/2019,14126
5/31/2019,14269
4/30/2019,14257
3/29/2019,14243
2/28/2019,14069
1/31/2019,13973
12/31/2018,14390
11/30/2018,14302
10/31/2018,15203
9/28/2018,14903
8/31/2018,14710
7/31/2018,14414
6/29/2018,14330
5/31/2018,13896
4/30/2018,13913
3/30/2018,13728
2/28/2018,13751
1/31/2018,13386
12/29/2017,13555
11/30/2017,13526
10/31/2017,13563
9/29/2017,13472
8/31/2017,13342
7/31/2017,13325
6/30/2017,13348
5/31/2017,13323
4/28/2017,13329
3/31/2017,13322
2/28/2017,13338
1/31/2017,13369
12/30/2016,13473
11/30/2016,13555
10/31/2016,13048
9/30/2016,13042
8/31/2016,13270
7/29/2016,13112
6/30/2016,13210
5/31/2016,13648
4/29/2016,13180
3/31/2016,13239
2/29/2016,13375
1/29/2016,13778
12/31/2015,13788
11/30/2015,13847
10/30/2015,13684
9/30/2015,14653
8/31/2015,14067
7/31/2015,13539
6/30/2015,13339
5/29/2015,13224
4/30/2015,12963
3/31/2015,13074
2/27/2015,12932
1/30/2015,12672
12/31/2014,12388
11/28/2014,12206
10/31/2014,12085
9/30/2014,12188
8/29/2014,11690
7/31/2014,11580
6/30/2014,11875
5/30/2014,11676
4/30/2014,11562
3/31/2014,11361
2/28/2014,11610
1/31/2014,12213
12/31/2013,12171
11/29/2013,11965
10/31/2013,11274
9/30/2013,11406
8/30/2013,11184
7/31/2013,10257
6/28/2013,10004
5/31/2013,9877
4/30/2013,9734
3/29/2013,9735
2/28/2013,9669
1/31/2013,9744
12/31/2012,9793
11/30/2012,9618
10/31/2012,9624
9/28/2012,9591
8/31/2012,9572
7/31/2012,9467
6/29/2012,9433
5/31/2012,9480
4/30/2012,9177
3/30/2012,9146
2/29/2012,9023
1/31/2012,8998
12/30/2011,9069
11/30/2011,9113
10/31/2011,8853
9/30/2011,8875
8/31/2011,8534
7/29/2011,8504
6/30/2011,8579
5/31/2011,8543
4/29/2011,8563
3/31/2011,8708
2/28/2011,8821
1/31/2011,9049
12/31/2010,8996
11/30/2010,9041
10/29/2010,8938
9/30/2010,8908
8/31/2010,9045
7/30/2010,8949
6/30/2010,9074
5/31/2010,9175
4/30/2010,9010
3/31/2010,9100
2/26/2010,9343
1/29/2010,9353
12/31/2009,9404
11/30/2009,9461
10/30/2009,9585
9/30/2009,9665
8/31/2009,10105
7/31/2009,9928
6/30/2009,10208
5/29/2009,10295
4/30/2009,10625
3/31/2009,11700
2/27/2009,12000
1/30/2009,11375
12/31/2008,11120
11/28/2008,12360
10/31/2008,11050
9/30/2008,9506
8/29/2008,9153
7/31/2008,9098
6/30/2008,9228
5/30/2008,9315
4/30/2008,9232
3/31/2008,9229
2/29/2008,9071
1/31/2008,9267
12/31/2007,9393
11/30/2007,9372
10/31/2007,9099
9/28/2007,9150
8/31/2007,9395
7/31/2007,9189
6/29/2007,9045
5/31/2007,8835
4/30/2007,9085
3/30/2007,9136
2/28/2007,9153
1/31/2007,9097
12/29/2006,8995
11/30/2006,9169
10/31/2006,9115
9/29/2006,9223
8/31/2006,9111
7/31/2006,9073
6/30/2006,9263
5/31/2006,9255
4/28/2006,8785
3/31/2006,9070
2/28/2006,9183
1/31/2006,9370
12/30/2005,9830
11/30/2005,10025
10/31/2005,10123
9/30/2005,10300
8/31/2005,10300
7/29/2005,9805
6/30/2005,9760
5/31/2005,9518
4/29/2005,9570
3/31/2005,9465
2/28/2005,9285
1/31/2005,9161
12/31/2004,9270
11/30/2004,9000
10/29/2004,9088
9/30/2004,9155
8/31/2004,9370
7/30/2004,9130
6/30/2004,9400
5/31/2004,9268
4/30/2004,8705
3/31/2004,8564
2/27/2004,8453
1/30/2004,8457
12/31/2003,8420
11/28/2003,8505
10/31/2003,8497
9/30/2003,8395
8/29/2003,8485
7/31/2003,8510
6/30/2003,8275
5/30/2003,8310
4/30/2003,8675
3/31/2003,8902
2/28/2003,8884
1/31/2003,8870
12/31/2002,8950
11/29/2002,8978
10/31/2002,9215
9/30/2002,9000
8/30/2002,8855
7/31/2002,9065
6/28/2002,8713
5/31/2002,8830
4/30/2002,9330
