Security,USDINR BGN Curncy
Start Date,1/31/1973 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,83.04
8/31/2023,82.785
7/31/2023,82.2525
6/30/2023,82.04
5/31/2023,82.7287
4/28/2023,81.8338
3/31/2023,82.1775
2/28/2023,82.6687
1/31/2023,81.925
12/30/2022,82.735
11/30/2022,81.4287
10/31/2022,82.775
9/30/2022,81.3488
8/31/2022,79.4588
7/29/2022,79.2625
6/30/2022,78.975
5/31/2022,77.6362
4/29/2022,76.4337
3/31/2022,75.7887
2/28/2022,75.34
1/31/2022,74.6225
12/31/2021,74.3375
11/30/2021,75.1675
10/29/2021,74.88
9/30/2021,74.2375
8/31/2021,73.0063
7/30/2021,74.415
6/30/2021,74.3288
5/31/2021,72.6212
4/30/2021,74.0788
3/31/2021,73.11
2/26/2021,73.4688
1/29/2021,72.9538
12/31/2020,73.07
11/30/2020,74.0475
10/30/2020,74.11
9/30/2020,73.7725
8/31/2020,73.62
7/31/2020,74.815
6/30/2020,75.5075
5/29/2020,75.6163
4/30/2020,75.1012
3/31/2020,75.6275
2/28/2020,72.175
1/31/2020,71.355
12/31/2019,71.38
11/29/2019,71.7388
10/31/2019,70.9287
9/30/2019,70.8688
8/30/2019,71.4063
7/31/2019,68.7975
6/28/2019,69.0275
5/31/2019,69.6987
4/30/2019,69.5663
3/29/2019,69.1612
2/28/2019,70.7462
1/31/2019,71.085
12/31/2018,69.7675
11/30/2018,69.5837
10/31/2018,73.955
9/28/2018,72.49
8/31/2018,70.995
7/31/2018,68.5475
6/29/2018,68.47
5/31/2018,67.41
4/30/2018,66.6613
3/30/2018,65.1775
2/28/2018,65.175
1/31/2018,63.5875
12/29/2017,63.8725
11/30/2017,64.4637
10/31/2017,64.7475
9/29/2017,65.28
8/31/2017,63.9063
7/31/2017,64.1875
6/30/2017,64.5813
5/31/2017,64.5075
4/28/2017,64.2462
3/31/2017,64.85
2/28/2017,66.69
1/31/2017,67.865
12/30/2016,67.9238
11/30/2016,68.3887
10/31/2016,66.78
9/30/2016,66.6113
8/31/2016,66.9637
7/29/2016,66.995
6/30/2016,67.525
5/31/2016,67.26
4/29/2016,66.33
3/31/2016,66.2475
2/29/2016,68.4225
1/29/2016,67.7925
12/31/2015,66.1537
11/30/2015,66.6675
10/30/2015,65.265
9/30/2015,65.59
8/31/2015,66.4825
7/31/2015,64.1362
6/30/2015,63.65
5/29/2015,63.825
4/30/2015,63.4225
3/31/2015,62.4975
2/27/2015,61.8388
1/30/2015,61.87
12/31/2014,63.0437
11/28/2014,62.0325
10/31/2014,61.365
9/30/2014,61.7575
8/29/2014,60.515
7/31/2014,60.56
6/30/2014,60.1862
5/30/2014,59.1025
4/30/2014,60.335
3/31/2014,59.89
2/28/2014,61.7575
1/31/2014,62.6575
12/31/2013,61.8
11/29/2013,62.4487
10/31/2013,61.495
9/30/2013,62.6175
8/30/2013,65.705
7/31/2013,60.3737
6/28/2013,59.39
5/31/2013,56.505
4/30/2013,53.8088
3/29/2013,54.28
2/28/2013,54.36
1/31/2013,53.225
12/31/2012,54.995
11/30/2012,54.265
10/31/2012,53.8138
9/28/2012,52.86
8/31/2012,55.5275
7/31/2012,55.655
6/29/2012,55.6375
5/31/2012,56.11
4/30/2012,52.7363
3/30/2012,50.8763
2/29/2012,49.0238
1/31/2012,49.455
12/30/2011,53.065
11/30/2011,52.2112
10/31/2011,48.695
9/30/2011,48.9737
8/31/2011,46.095
7/29/2011,44.1881
6/30/2011,44.6981
5/31/2011,45.06
4/29/2011,44.2194
3/31/2011,44.585
2/28/2011,45.2708
1/31/2011,45.905
12/31/2010,44.705
11/30/2010,45.885
10/29/2010,44.4275
