Security,USDJPY BGN Curncy
Start Date,1/29/1971 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,149.37
8/31/2023,145.54
7/31/2023,142.29
6/30/2023,144.31
5/31/2023,139.34
4/28/2023,136.3
3/31/2023,132.86
2/28/2023,136.17
1/31/2023,130.09
12/30/2022,131.12
11/30/2022,138.07
10/31/2022,148.71
9/30/2022,144.74
8/31/2022,138.96
7/29/2022,133.27
6/30/2022,135.72
5/31/2022,128.67
4/29/2022,129.7
3/31/2022,121.7
2/28/2022,115
1/31/2022,115.11
12/31/2021,115.08
11/30/2021,113.17
10/29/2021,113.95
9/30/2021,111.29
8/31/2021,110.02
7/30/2021,109.72
6/30/2021,111.11
5/31/2021,109.58
4/30/2021,109.31
3/31/2021,110.72
2/26/2021,106.57
1/29/2021,104.68
12/31/2020,103.25
11/30/2020,104.31
10/30/2020,104.66
9/30/2020,105.48
8/31/2020,105.91
7/31/2020,105.83
6/30/2020,107.93
5/29/2020,107.83
4/30/2020,107.18
3/31/2020,107.54
2/28/2020,107.89
1/31/2020,108.35
12/31/2019,108.61
11/29/2019,109.49
10/31/2019,108.03
9/30/2019,108.08
8/30/2019,106.28
7/31/2019,108.78
6/28/2019,107.85
5/31/2019,108.29
4/30/2019,111.42
3/29/2019,110.86
2/28/2019,111.39
1/31/2019,108.89
12/31/2018,109.69
11/30/2018,113.57
10/31/2018,112.94
9/28/2018,113.7
8/31/2018,111.03
7/31/2018,111.86
6/29/2018,110.76
5/31/2018,108.82
4/30/2018,109.34
3/30/2018,106.28
2/28/2018,106.68
1/31/2018,109.19
12/29/2017,112.69
11/30/2017,112.54
10/31/2017,113.64
9/29/2017,112.51
8/31/2017,109.98
7/31/2017,110.26
6/30/2017,112.39
5/31/2017,110.78
4/28/2017,111.49
3/31/2017,111.39
2/28/2017,112.77
1/31/2017,112.8
12/30/2016,116.96
11/30/2016,114.46
10/31/2016,104.82
9/30/2016,101.35
8/31/2016,103.43
7/29/2016,102.06
6/30/2016,103.2
5/31/2016,110.73
4/29/2016,106.5
3/31/2016,112.57
2/29/2016,112.69
1/29/2016,121.14
12/31/2015,120.22
11/30/2015,123.11
10/30/2015,120.62
9/30/2015,119.88
8/31/2015,121.23
7/31/2015,123.89
6/30/2015,122.5
5/29/2015,124.15
4/30/2015,119.38
