Security,USDRUB BGN Curncy
Start Date,7/30/1993 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,97.5511
8/31/2023,95.7031
7/31/2023,91.8105
6/30/2023,89.3148
5/31/2023,81.2679
4/28/2023,79.8783
3/31/2023,77.7237
2/28/2023,75.0484
1/31/2023,70.1909
12/30/2022,74.1875
11/30/2022,61.2349
10/31/2022,61.9275
9/30/2022,60.1333
8/31/2022,60.9893
7/29/2022,62.2626
6/30/2022,54.1698
5/31/2022,62.4851
4/29/2022,71.7323
3/31/2022,81.2215
2/28/2022,105.2943
1/31/2022,77.3125
12/31/2021,75.1702
11/30/2021,74.1483
10/29/2021,70.8438
9/30/2021,72.7474
8/31/2021,73.4539
7/30/2021,73.1659
6/30/2021,73.1508
5/31/2021,73.4102
4/30/2021,75.303
3/31/2021,75.6508
2/26/2021,74.5656
1/29/2021,75.8779
12/31/2020,74.0369
11/30/2020,76.4446
10/30/2020,79.4022
9/30/2020,77.6573
8/31/2020,74.0128
7/31/2020,74.1257
6/30/2020,71.2002
5/29/2020,70.1424
4/30/2020,74.3593
3/31/2020,78.5771
2/28/2020,66.8443
1/31/2020,63.9613
12/31/2019,61.9475
11/29/2019,64.3441
10/31/2019,64.1389
9/30/2019,64.8318
8/30/2019,66.7188
7/31/2019,63.66
6/28/2019,63.2225
5/31/2019,65.4446
4/30/2019,64.6195
3/29/2019,65.755
2/28/2019,65.9675
1/31/2019,65.3799
12/31/2018,69.3514
11/30/2018,67.0901
10/31/2018,65.8788
9/28/2018,65.5552
8/31/2018,67.4666
7/31/2018,62.5276
6/29/2018,62.7779
5/31/2018,62.4132
4/30/2018,62.9789
3/30/2018,57.341
2/28/2018,56.351
1/31/2018,56.1922
12/29/2017,57.6889
11/30/2017,58.4322
10/31/2017,58.3425
9/29/2017,57.5545
8/31/2017,58.035
7/31/2017,59.7779
6/30/2017,58.872
5/31/2017,56.6172
4/28/2017,56.928
3/31/2017,56.2447
2/28/2017,58.3794
1/31/2017,60.1908
12/30/2016,61.5375
11/30/2016,64.1068
10/31/2016,63.3923
9/30/2016,62.879
8/31/2016,65.3959
7/29/2016,65.9445
6/30/2016,63.8735
5/31/2016,66.7224
4/29/2016,64.7671
3/31/2016,66.8954
2/29/2016,75.1907
1/29/2016,75.5466
12/31/2015,72.5209
11/30/2015,66.4192
10/30/2015,63.9548
9/30/2015,65.3619
8/31/2015,64.2249
7/31/2015,61.705
6/30/2015,55.3415
5/29/2015,52.3405
4/30/2015,51.5876
3/31/2015,58.1861
2/27/2015,61.7535
1/30/2015,69.4666
12/31/2014,58.25
11/28/2014,49.467
10/31/2014,43.0095
9/30/2014,39.6003
8/29/2014,37.1189
7/31/2014,35.6867
6/30/2014,33.9823
5/30/2014,34.8974
4/30/2014,35.6632
3/31/2014,35.1734
2/28/2014,35.8641
1/31/2014,35.1537
12/31/2013,32.8696
11/29/2013,33.12
10/31/2013,32.0913
9/30/2013,32.3906
8/30/2013,33.2923
7/31/2013,33.0038
6/28/2013,32.8395
5/31/2013,31.8777
4/30/2013,31.0622
3/29/2013,31.0564
2/28/2013,30.6036
1/31/2013,30.0056
12/31/2012,30.525
11/30/2012,30.8806
10/31/2012,31.353
9/28/2012,31.18
8/31/2012,32.3078
7/31/2012,32.2003
6/29/2012,32.4245
5/31/2012,33.412
4/30/2012,29.382
3/30/2012,29.347
2/29/2012,29.1738
1/31/2012,30.343
12/30/2011,32.137
11/30/2011,30.6995
10/31/2011,30.2417
9/30/2011,32.184
8/31/2011,28.8286
7/29/2011,27.6119
6/30/2011,27.8693
5/31/2011,27.994
4/29/2011,27.3848
3/31/2011,28.418
2/28/2011,28.8705
1/31/2011,29.791
12/31/2010,30.537
11/30/2010,31.4755
10/29/2010,30.8006
9/30/2010,30.535
8/31/2010,30.8038
7/30/2010,30.205
6/30/2010,31.2095
5/31/2010,30.9025
4/30/2010,29.2537
3/31/2010,29.4205
2/26/2010,29.9485
1/29/2010,30.3482
12/31/2009,30.035
11/30/2009,29.264
10/30/2009,29.1384
9/30/2009,30.0154
8/31/2009,31.7919
7/31/2009,31.4644
6/30/2009,31.1527
5/29/2009,30.97
4/30/2009,33.1005
3/31/2009,33.954
2/27/2009,35.9137
1/30/2009,35.7364
12/31/2008,29.4027
11/28/2008,27.9231
10/31/2008,27.069
9/30/2008,25.6439
8/29/2008,24.645
7/31/2008,23.4318
6/30/2008,23.4446
5/30/2008,23.684
4/30/2008,23.6377
3/31/2008,23.4929
2/29/2008,24.0143
1/31/2008,24.4353
12/31/2007,24.6006
11/30/2007,24.501
10/31/2007,24.6556
9/28/2007,24.8588
8/31/2007,25.656
7/31/2007,25.5537
6/29/2007,25.7449
5/31/2007,25.8835
4/30/2007,25.6908
3/30/2007,25.986
2/28/2007,26.1157
1/31/2007,26.47
12/29/2006,26.3255
11/30/2006,26.2597
10/31/2006,26.7121
9/29/2006,26.7958
8/31/2006,26.7521
7/31/2006,26.804
6/30/2006,26.8455
5/31/2006,27.0136
4/28/2006,27.1746
3/31/2006,27.705
2/28/2006,28.0359
1/31/2006,28.0788
12/30/2005,28.7414
11/30/2005,28.8072
10/31/2005,28.585
9/30/2005,28.4977
8/31/2005,28.48
7/29/2005,28.63
6/30/2005,28.63
5/31/2005,28.2405
4/29/2005,27.781
3/31/2005,27.8621
2/28/2005,27.675
1/31/2005,28.02
12/31/2004,27.72
11/30/2004,28.13
10/29/2004,28.7455
9/30/2004,29.2229
8/31/2004,29.262
7/30/2004,29.106
6/30/2004,29.0698
5/31/2004,28.994
4/30/2004,29.006
3/31/2004,28.519
2/27/2004,28.5105
1/30/2004,28.53
12/31/2003,29.2425
11/28/2003,29.7405
10/31/2003,29.945
9/30/2003,30.587
8/29/2003,30.512
7/31/2003,30.2591
6/30/2003,30.3655
5/30/2003,30.725
4/30/2003,31.11
3/31/2003,31.3863
2/28/2003,31.5845
1/31/2003,31.849
12/31/2002,31.955
11/29/2002,31.865
10/31/2002,31.785
9/30/2002,31.69
8/30/2002,31.633
7/31/2002,31.475
6/28/2002,31.475
5/31/2002,31.335
4/30/2002,31.2
3/29/2002,31.21
2/28/2002,30.962
1/31/2002,30.71
12/31/2001,30.505
11/30/2001,29.915
10/31/2001,29.729
9/28/2001,29.467
8/31/2001,29.423
7/31/2001,29.355
6/29/2001,29.147
5/31/2001,29.162
4/30/2001,28.93
3/30/2001,28.76
2/28/2001,28.67
1/31/2001,28.37
12/29/2000,28.16
11/30/2000,27.934
10/31/2000,27.882
9/29/2000,27.782
8/31/2000,27.775
7/31/2000,27.86
6/30/2000,28.07
5/31/2000,28.2525
4/28/2000,28.43
3/31/2000,28.66
2/29/2000,28.7
1/31/2000,28.635
12/31/1999,27.55
11/30/1999,26.7
10/29/1999,26.105
9/30/1999,25.235
8/31/1999,25.085
7/30/1999,24.245
6/30/1999,24.255
5/31/1999,24.725
4/30/1999,24.59
3/31/1999,24.875
2/26/1999,23.075
1/29/1999,22.95
12/31/1998,20.62
11/30/1998,18.225
10/30/1998,16.65
9/30/1998,15.91
8/31/1998,10.05
7/31/1998,6.238
6/30/1998,6.198
5/29/1998,6.16
4/30/1998,6.133
3/31/1998,6.106
2/27/1998,6.07
1/30/1998,6.021
12/31/1997,5.958
11/28/1997,5.917
10/31/1997,5.887
9/30/1997,5.861
8/29/1997,5.824
7/31/1997,5.798
6/30/1997,5.782
5/30/1997,5.773
4/30/1997,5.76
3/31/1997,5.726
2/28/1997,5.676
1/31/1997,5.627
12/31/1996,5.55
11/29/1996,5.511
10/31/1996,5.455
9/30/1996,5.396
8/30/1996,5.352
7/31/1996,5.189
6/28/1996,5.105
5/31/1996,5.031
4/30/1996,4.94
3/29/1996,4.856
2/29/1996,4.818
1/31/1996,4.734
12/29/1995,4.645
11/30/1995,4.58
10/31/1995,4.504
9/29/1995,4.499
