Security,USDSAR BGN Curncy
Start Date,12/30/1988 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,3.7506
8/31/2023,3.7508
7/31/2023,3.7517
6/30/2023,3.7513
5/31/2023,3.7506
4/28/2023,3.7507
3/31/2023,3.753
2/28/2023,3.7528
1/31/2023,3.7529
12/30/2022,3.758
11/30/2022,3.7585
10/31/2022,3.757
9/30/2022,3.7575
8/31/2022,3.7573
7/29/2022,3.7558
6/30/2022,3.7525
5/31/2022,3.7504
4/29/2022,3.751
3/31/2022,3.7514
2/28/2022,3.7518
1/31/2022,3.7519
12/31/2021,3.7555
11/30/2021,3.7518
10/29/2021,3.7512
9/30/2021,3.7508
8/31/2021,3.7506
7/30/2021,3.7504
6/30/2021,3.7506
5/31/2021,3.7504
4/30/2021,3.7502
3/31/2021,3.7503
2/26/2021,3.7505
1/29/2021,3.7508
12/31/2020,3.7518
11/30/2020,3.7506
10/30/2020,3.7503
9/30/2020,3.7508
8/31/2020,3.7507
7/31/2020,3.7507
6/30/2020,3.751
5/29/2020,3.7558
4/30/2020,3.757
3/31/2020,3.7647
2/28/2020,3.7517
1/31/2020,3.7518
12/31/2019,3.7516
11/29/2019,3.7499
10/31/2019,3.7504
9/30/2019,3.7517
8/30/2019,3.7507
7/31/2019,3.7509
6/28/2019,3.7502
5/31/2019,3.7502
4/30/2019,3.7504
3/29/2019,3.7503
2/28/2019,3.7504
1/31/2019,3.7506
12/31/2018,3.7514
11/30/2018,3.7523
10/31/2018,3.7511
9/28/2018,3.7502
8/31/2018,3.7506
7/31/2018,3.7503
6/29/2018,3.7505
5/31/2018,3.7503
4/30/2018,3.7502
3/30/2018,3.7501
2/28/2018,3.7503
1/31/2018,3.7501
12/29/2017,3.7504
11/30/2017,3.7502
10/31/2017,3.7501
9/29/2017,3.7502
8/31/2017,3.7504
7/31/2017,3.7502
6/30/2017,3.7502
5/31/2017,3.7502
4/28/2017,3.7501
3/31/2017,3.7502
2/28/2017,3.7503
1/31/2017,3.7507
12/30/2016,3.7518
11/30/2016,3.7511
10/31/2016,3.7502
9/30/2016,3.7537
8/31/2016,3.7502
7/29/2016,3.7504
6/30/2016,3.7511
5/31/2016,3.7502
4/29/2016,3.7507
3/31/2016,3.7509
2/29/2016,3.7501
1/29/2016,3.7502
12/31/2015,3.754
11/30/2015,3.7529
10/30/2015,3.7504
9/30/2015,3.7504
8/31/2015,3.7512
7/31/2015,3.7501
6/30/2015,3.7503
5/29/2015,3.7503
4/30/2015,3.7501
3/31/2015,3.7511
2/27/2015,3.7503
1/30/2015,3.7615
12/31/2014,3.7542
11/28/2014,3.753
10/31/2014,3.7517
9/30/2014,3.7516
8/29/2014,3.7504
7/31/2014,3.7495
6/30/2014,3.7505
5/30/2014,3.7505
4/30/2014,3.7504
3/31/2014,3.7505
2/28/2014,3.7504
1/31/2014,3.7504
12/31/2013,3.7506
11/29/2013,3.7503
10/31/2013,3.7503
9/30/2013,3.7502
8/30/2013,3.7505
7/31/2013,3.7503
6/28/2013,3.7503
5/31/2013,3.7506
4/30/2013,3.7503
3/29/2013,3.7503
2/28/2013,3.7502
1/31/2013,3.7503
12/31/2012,3.7506
11/30/2012,3.7502
10/31/2012,3.7503
9/28/2012,3.7502
8/31/2012,3.7505
7/31/2012,3.7503
