Security,USDZAR BGN Curncy
Start Date,1/29/1971 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,BGN
,
Date,PX_LAST
9/29/2023,18.9226
8/31/2023,18.8758
7/31/2023,17.8481
6/30/2023,18.8485
5/31/2023,19.7255
4/28/2023,18.2902
3/31/2023,17.7962
2/28/2023,18.357
1/31/2023,17.4081
12/30/2022,17.0374
11/30/2022,17.2031
10/31/2022,18.3545
9/30/2022,18.0855
8/31/2022,17.1189
7/29/2022,16.6237
6/30/2022,16.2782
5/31/2022,15.6405
4/29/2022,15.7892
3/31/2022,14.6115
2/28/2022,15.3756
1/31/2022,15.3866
12/31/2021,15.9372
11/30/2021,15.8859
10/29/2021,15.2412
9/30/2021,15.0683
8/31/2021,14.5242
7/30/2021,14.6019
6/30/2021,14.2854
5/31/2021,13.7373
4/30/2021,14.495
3/31/2021,14.7759
2/26/2021,15.1204
1/29/2021,15.1609
12/31/2020,14.6947
11/30/2020,15.4681
10/30/2020,16.2439
9/30/2020,16.7484
8/31/2020,16.9416
7/31/2020,17.0718
6/30/2020,17.3512
5/29/2020,17.5465
4/30/2020,18.5264
3/31/2020,17.8379
2/28/2020,15.6609
1/31/2020,15.0282
12/31/2019,14
11/29/2019,14.6706
10/31/2019,15.1008
9/30/2019,15.1363
8/30/2019,15.1954
7/31/2019,14.3429
6/28/2019,14.0869
5/31/2019,14.5803
4/30/2019,14.2986
3/29/2019,14.5012
2/28/2019,14.0849
1/31/2019,13.2542
12/31/2018,14.3467
11/30/2018,13.8699
10/31/2018,14.7864
9/28/2018,14.1415
8/31/2018,14.6887
7/31/2018,13.275
6/29/2018,13.725
5/31/2018,12.6993
4/30/2018,12.4608
3/30/2018,11.8408
2/28/2018,11.7957
1/31/2018,11.8514
12/29/2017,12.3828
11/30/2017,13.6981
10/31/2017,14.1272
9/29/2017,13.559
8/31/2017,13.0032
7/31/2017,13.1859
6/30/2017,13.0744
5/31/2017,13.1179
4/28/2017,13.3701
3/31/2017,13.4136
2/28/2017,13.1285
1/31/2017,13.4753
12/30/2016,13.7401
11/30/2016,14.094
10/31/2016,13.4741
9/30/2016,13.7225
8/31/2016,14.7313
7/29/2016,13.8787
6/30/2016,14.7266
5/31/2016,15.7086
4/29/2016,14.2302
3/31/2016,14.7673
2/29/2016,15.8715
1/29/2016,15.8907
12/31/2015,15.4685
