,,,,,,,,,
,,,,,,,,,
MXAU Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI Australia Index Max Cuml Total Return 5776.9285% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/30/2022,949.63,1.38374,997.97%,5198.42%,-1.79%,-1.64%,,,
11/30/2022,966.89,6.59646,1017.93%,5286.81%,11.81%,12.61%,,,
10/31/2022,864.74,0.0259,899.82%,4683.53%,5.26%,5.27%,,,
,,,,,,,,,
9/30/2022,821.5,18.37565,849.83%,4444.18%,-12.81%,-11.03%,,,
8/31/2022,942.17,7.87716,989.35%,5007.83%,-1.60%,-0.80%,,,
7/29/2022,957.49,--,1007.06%,5048.78%,6.01%,6.01%,,,
,,,,,,,,,
6/30/2022,903.23,1.3178,944.33%,4757.03%,-11.85%,-11.72%,,,
5/31/2022,1024.66,6.61973,1084.73%,5402.08%,-1.07%,-0.40%,,,
4/29/2022,1035.78,0.05559,1097.58%,5424.42%,-6.00%,-6.00%,,,
,,,,,,,,,
3/31/2022,1101.93,5.84336,1174.06%,5776.93%,10.45%,11.09%,,,
2/28/2022,997.63,16.66721,1053.47%,5190.34%,4.28%,6.04%,,,
1/31/2022,956.69,--,1006.14%,4888.97%,-8.63%,-8.63%,,,
,,,,,,,,,
12/31/2021,1047.02,1.30569,1110.58%,5360.04%,4.94%,5.07%,,,
11/30/2021,997.77,7.04585,1053.63%,5096.70%,-6.81%,-6.20%,,,
10/29/2021,1070.69,0.03229,1137.94%,5439.96%,4.07%,4.07%,,,
,,,,,,,,,
9/30/2021,1028.81,14.90351,1089.53%,5223.13%,-4.26%,-2.93%,,,
8/31/2021,1074.57,9.7156,1142.44%,5384.02%,0.93%,1.85%,,,
