,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXBR Index Settings Total Return Analysis,,,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Brazil Index Max Cuml Total Return 6339.5311% On 05/30/2008,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
12/30/2022,1458.7,10.7576,1358.70%,3754.48%,-3.59%,-2.87%,,,,,,,
11/30/2022,1513.09,28.56424,1413.09%,3868.47%,-4.73%,-2.84%,,,,,,,
10/31/2022,1588.18,0.43268,1488.18%,3984.41%,8.60%,8.62%,,,,,,,
,,,,,,,,,,,,,
9/30/2022,1462.47,2.33742,1362.47%,3660.10%,-3.46%,-3.31%,,,,,,,
8/31/2022,1514.89,67.07707,1414.89%,3788.86%,2.20%,6.54%,,,,,,,
7/29/2022,1482.23,0.64889,1382.23%,3550.12%,5.48%,5.53%,,,,,,,
,,,,,,,,,,,,,
6/30/2022,1405.2,2.97935,1305.20%,3358.80%,-19.31%,-19.14%,,,,,,,
5/31/2022,1741.38,34.70217,1641.38%,4177.56%,6.24%,8.43%,,,,,,,
4/29/2022,1639.13,26.87058,1539.13%,3844.98%,-14.93%,-13.70%,,,,,,,
,,,,,,,,,,,,,
3/31/2022,1926.88,17.21945,1826.88%,4470.99%,13.76%,14.88%,,,,,,,
2/28/2022,1693.75,2.08422,1593.75%,3879.04%,4.57%,4.70%,,,,,,,
1/31/2022,1619.67,2.00705,1519.67%,3700.29%,12.88%,13.04%,,,,,,,
,,,,,,,,,,,,,
12/31/2021,1434.86,31.61194,1334.86%,3262.00%,2.28%,4.56%,,,,,,,
11/30/2021,1402.94,5.06957,1302.94%,3115.49%,-1.78%,-1.44%,,,,,,,
10/29/2021,1428.43,0.56804,1328.43%,3162.43%,-9.07%,-9.03%,,,,,,,
,,,,,,,,,,,,,
9/30/2021,1570.84,30.58177,1470.84%,3486.42%,-14.58%,-13.01%,,,,,,,
8/31/2021,1838.91,16.32495,1738.91%,4022.60%,-3.12%,-2.24%,,,,,,,
7/30/2021,1898.07,3.84451,1798.07%,4117.17%,-6.29%,-6.11%,,,,,,,
,,,,,,,,,,,,,
6/30/2021,2025.43,9.90272,1925.43%,4391.49%,4.83%,5.33%,,,,,,,
5/31/2021,1932.04,3.76456,1832.04%,4164.12%,9.41%,9.64%,,,,,,,
4/30/2021,1765.86,10.4922,1665.86%,3789.29%,5.81%,6.46%,,,,,,,
,,,,,,,,,,,,,
3/31/2021,1668.82,16.59485,1568.82%,3553.35%,3.26%,4.30%,,,,,,,
2/26/2021,1616.2,2.25383,1516.20%,3402.78%,-6.43%,-6.31%,,,,,,,
1/29/2021,1727.32,2.46795,1627.32%,3638.77%,-7.94%,-7.82%,,,,,,,
,,,,,,,,,,,,,
12/31/2020,1876.38,6.84513,1776.38%,3956.05%,13.24%,13.66%,,,,,,,
11/30/2020,1656.97,0.77859,1556.97%,3468.73%,23.67%,23.73%,,,,,,,
10/30/2020,1339.82,0.62656,1239.82%,2784.21%,-2.57%,-2.53%,,,,,,,
,,,,,,,,,,,,,
9/30/2020,1375.22,9.72231,1275.22%,2859.10%,-7.69%,-7.07%,,,,,,,
8/31/2020,1489.75,2.26577,1389.75%,3084.31%,-9.02%,-8.89%,,,,,,,
7/31/2020,1637.49,3.42268,1537.49%,3395.00%,14.00%,14.24%,,,,,,,
,,,,,,,,,,,,,
6/30/2020,1436.38,0.82368,1336.38%,2959.29%,7.34%,7.40%,,,,,,,
5/29/2020,1338.18,0.88987,1238.18%,2748.53%,8.45%,8.52%,,,,,,,
4/30/2020,1233.94,1.64595,1133.94%,2524.80%,5.28%,5.42%,,,,,,,
,,,,,,,,,,,,,
3/31/2020,1172.1,2.26311,1072.10%,2389.97%,-38.27%,-38.16%,,,,,,,
2/28/2020,1898.68,10.81366,1798.68%,3926.70%,-13.42%,-12.98%,,,,,,,
1/31/2020,2192.91,3.15736,2092.91%,4527.14%,-7.59%,-7.47%,,,,,,,
,,,,,,,,,,,,,
12/31/2019,2373.01,17.00978,2273.01%,4900.58%,11.65%,12.46%,,,,,,,
11/29/2019,2125.49,2.99207,2025.49%,4346.59%,-4.52%,-4.38%,,,,,,,
10/31/2019,2226.04,8.52507,2126.04%,4550.49%,5.93%,6.35%,,,,,,,
,,,,,,,,,,,,,
9/30/2019,2101.52,1.96078,2001.52%,4272.68%,2.42%,2.52%,,,,,,,
8/30/2019,2051.87,12.2723,1951.87%,4165.36%,-9.73%,-9.21%,,,,,,,
7/31/2019,2273.14,2.66226,2173.14%,4598.11%,2.45%,2.57%,,,,,,,
,,,,,,,,,,,,,
6/28/2019,2218.85,1.72286,2118.85%,4480.47%,6.09%,6.18%,,,,,,,
5/31/2019,2091.4,4.43261,1991.40%,4213.95%,1.50%,1.73%,,,,,,,
4/30/2019,2060.46,4.67321,1960.46%,4140.80%,-0.97%,-0.74%,,,,,,,
,,,,,,,,,,,,,
3/29/2019,2080.58,2.99371,1980.58%,4172.50%,-3.97%,-3.83%,,,,,,,
2/28/2019,2166.67,19.95068,2066.67%,4342.84%,-5.29%,-4.44%,,,,,,,
1/31/2019,2287.68,1.57454,2187.68%,4549.36%,17.68%,17.77%,,,,,,,
,,,,,,,,,,,,,
12/31/2018,1943.96,17.1842,1843.96%,3847.84%,-2.50%,-1.61%,,,,,,,
11/30/2018,1993.78,3.10655,1893.78%,3912.56%,-2.10%,-1.95%,,,,,,,
10/31/2018,2036.63,1.15712,1936.63%,3992.42%,17.76%,17.83%,,,,,,,
,,,,,,,,,,,,,
9/28/2018,1729.49,3.03741,1629.49%,3373.14%,6.82%,7.01%,,,,,,,
8/31/2018,1619.13,14.41332,1519.13%,3145.51%,-12.00%,-11.29%,,,,,,,
7/31/2018,1839.87,2.12226,1739.87%,3558.40%,11.69%,11.84%,,,,,,,
,,,,,,,,,,,,,
6/29/2018,1647.27,2.45895,1547.27%,3171.22%,-8.45%,-8.31%,,,,,,,
5/31/2018,1799.26,4.06763,1699.26%,3467.71%,-16.53%,-16.37%,,,,,,,
4/30/2018,2155.67,4.20477,2055.67%,4165.81%,-4.16%,-3.98%,,,,,,,
,,,,,,,,,,,,,
3/30/2018,2249.32,5.42355,2149.32%,4342.50%,-2.06%,-1.83%,,,,,,,
2/28/2018,2296.66,18.94829,2196.66%,4425.29%,-2.75%,-1.95%,,,,,,,
1/31/2018,2361.57,1.89694,2261.57%,4515.36%,16.74%,16.85%,,,,,,,
,,,,,,,,,,,,,
12/29/2017,2022.89,15.3628,1922.89%,3849.93%,3.90%,4.71%,,,,,,,
11/30/2017,1946.96,1.76009,1846.96%,3672.38%,-3.19%,-3.10%,,,,,,,
10/31/2017,2011.02,1.61387,1911.02%,3793.07%,-3.36%,-3.28%,,,,,,,
,,,,,,,,,,,,,
9/29/2017,2080.85,1.67617,1980.85%,3925.16%,4.16%,4.24%,,,,,,,
8/31/2017,1997.82,6.08539,1897.82%,3761.48%,6.01%,6.34%,,,,,,,
7/31/2017,1884.62,1.77099,1784.62%,3531.10%,10.85%,10.96%,,,,,,,
,,,,,,,,,,,,,
6/30/2017,1700.18,2.17802,1600.18%,3172.36%,-1.82%,-1.70%,,,,,,,
5/31/2017,1731.73,3.88209,1631.73%,3228.79%,-5.20%,-5.00%,,,,,,,
4/28/2017,1826.72,8.21461,1726.72%,3404.01%,-0.44%,0.00%,,,,,,,
,,,,,,,,,,,,,
3/31/2017,1834.82,2.10979,1734.82%,3403.86%,-4.60%,-4.49%,,,,,,,
2/28/2017,1923.28,7.55527,1823.28%,3568.68%,4.01%,4.41%,,,,,,,
1/31/2017,1849.15,2.25673,1749.15%,3413.89%,10.61%,10.75%,,,,,,,
