,,,,,,,,,
,,,,,,,,,
MXCN Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,
MSCI China Index Max Cuml Total Return 125.7584% On 01/29/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/30/2022,8.26,0.00335,-36.01%,28.86%,5.23%,5.27%,,,
11/30/2022,7.85,0.00602,-39.19%,22.41%,29.56%,29.67%,,,
10/31/2022,6.06,0.00251,-53.06%,-5.59%,-16.83%,-16.80%,,,
,,,,,,,,,
9/30/2022,7.29,0.01692,-43.57%,13.46%,-14.72%,-14.54%,,,
8/31/2022,8.55,0.00758,-33.82%,32.78%,0.13%,0.22%,,,
7/29/2022,8.54,0.05721,-33.91%,32.48%,-10.00%,-9.45%,,,
,,,,,,,,,
6/30/2022,9.48,0.08176,-26.56%,46.31%,5.72%,6.65%,,,
5/31/2022,8.97,0.02643,-30.54%,37.18%,0.87%,1.18%,,,
4/29/2022,8.89,0.00339,-31.14%,35.58%,-4.11%,-4.07%,,,
,,,,,,,,,
3/31/2022,9.27,0.00132,-28.19%,41.33%,-8.03%,-8.02%,,,
2/28/2022,10.08,0.00009,-21.92%,53.65%,-3.91%,-3.91%,,,
1/31/2022,10.49,0.00034,-18.74%,59.90%,-2.93%,-2.92%,,,
,,,,,,,,,
12/31/2021,10.81,0.0016,-16.29%,64.71%,-3.17%,-3.15%,,,
11/30/2021,11.16,0.00338,-13.56%,70.07%,-6.02%,-5.99%,,,
10/29/2021,11.88,0.00286,-8.02%,80.91%,3.14%,3.17%,,,
,,,,,,,,,
9/30/2021,11.52,0.01832,-10.82%,75.36%,-5.17%,-5.02%,,,
8/31/2021,12.14,0.00834,-5.97%,84.63%,-0.04%,0.03%,,,
7/30/2021,12.15,0.05229,-5.93%,84.57%,-14.16%,-13.83%,,,
,,,,,,,,,
6/30/2021,14.15,0.06685,9.60%,114.19%,-0.36%,0.11%,,,
5/31/2021,14.2,0.03195,9.99%,113.95%,0.55%,0.78%,,,
4/30/2021,14.13,0.00928,9.39%,112.29%,1.33%,1.39%,,,
,,,,,,,,,
3/31/2021,13.94,0.00056,7.96%,109.37%,-6.30%,-6.30%,,,
2/26/2021,14.88,0.00099,15.22%,123.44%,-1.03%,-1.03%,,,
1/29/2021,15.03,0.00021,16.42%,125.76%,7.36%,7.36%,,,
,,,,,,,,,
12/31/2020,14,0.00242,8.44%,110.27%,2.76%,2.78%,,,
11/30/2020,13.63,0.00218,5.53%,104.60%,2.74%,2.76%,,,
10/30/2020,13.26,0.00245,2.71%,99.10%,5.28%,5.30%,,,
,,,,,,,,,
9/30/2020,12.6,0.01701,-2.44%,89.08%,-2.86%,-2.73%,,,
8/31/2020,12.97,0.01089,0.43%,94.39%,5.60%,5.69%,,,
7/31/2020,12.28,0.06508,-4.89%,83.93%,8.89%,9.48%,,,
,,,,,,,,,
6/30/2020,11.28,0.06791,-12.66%,68.00%,8.38%,9.04%,,,
5/29/2020,10.41,0.03568,-19.41%,54.06%,-0.84%,-0.50%,,,
4/30/2020,10.5,0.00173,-18.73%,54.84%,6.32%,6.34%,,,
,,,,,,,,,
3/31/2020,9.87,0.00067,-23.56%,45.61%,-6.59%,-6.58%,,,
2/28/2020,10.57,0.00004,-18.17%,55.87%,0.96%,0.96%,,,
1/31/2020,10.47,0.00238,-18.94%,54.39%,-4.86%,-4.84%,,,
,,,,,,,,,
12/31/2019,11,0.00369,-14.80%,62.24%,8.34%,8.38%,,,
11/29/2019,10.16,0.00124,-21.36%,49.70%,1.76%,1.77%,,,
10/31/2019,9.98,0.00179,-22.72%,47.09%,4.02%,4.04%,,,
,,,,,,,,,
9/30/2019,9.59,0.02288,-25.71%,41.38%,-0.17%,0.06%,,,
8/30/2019,9.61,0.01085,-25.58%,41.30%,-4.36%,-4.25%,,,
7/31/2019,10.05,0.04377,-22.19%,47.56%,-0.96%,-0.54%,,,
,,,,,,,,,
6/28/2019,10.15,0.07587,-21.44%,48.37%,7.29%,8.12%,,,
5/31/2019,9.46,0.0525,-26.77%,37.23%,-13.54%,-13.06%,,,
4/30/2019,10.94,0.00267,-15.31%,57.85%,2.20%,2.23%,,,
,,,,,,,,,
3/29/2019,10.7,0.00071,-17.13%,54.41%,2.44%,2.44%,,,
2/28/2019,10.45,0.0003,-19.10%,50.72%,3.44%,3.45%,,,
1/31/2019,10.1,0.00052,-21.79%,45.70%,11.10%,11.10%,,,
,,,,,,,,,
12/31/2018,9.09,0.00052,-29.61%,31.14%,-6.11%,-6.10%,,,
11/30/2018,9.68,0.00105,-25.03%,39.67%,7.36%,7.37%,,,
10/31/2018,9.02,0.00311,-30.17%,30.08%,-11.52%,-11.49%,,,
,,,,,,,,,
9/28/2018,10.19,0.02749,-21.08%,46.96%,-1.67%,-1.40%,,,
8/31/2018,10.37,0.01231,-19.73%,49.04%,-3.88%,-3.76%,,,
7/31/2018,10.78,0.07844,-16.50%,54.87%,-3.13%,-2.44%,,,
,,,,,,,,,
6/29/2018,11.13,0.05547,-13.79%,58.74%,-5.65%,-5.21%,,,
5/31/2018,11.8,0.04733,-8.63%,67.47%,1.46%,1.86%,,,
4/30/2018,11.63,0.00331,-9.94%,64.41%,-0.05%,-0.02%,,,
,,,,,,,,,
3/30/2018,11.64,--,-9.90%,64.44%,-3.28%,-3.28%,,,
2/28/2018,12.03,0.00048,-6.84%,70.03%,-6.42%,-6.41%,,,
1/31/2018,12.86,0.00041,-0.45%,81.68%,12.41%,12.41%,,,
,,,,,,,,,
12/29/2017,11.44,0.00091,-11.44%,61.62%,1.98%,1.98%,,,
11/30/2017,11.22,0.00116,-13.15%,58.47%,1.54%,1.55%,,,
10/31/2017,11.05,0.00101,-14.47%,56.05%,3.98%,3.99%,,,
,,,,,,,,,
9/29/2017,10.62,0.02082,-17.75%,50.06%,0.82%,1.02%,,,
