,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXDE Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Germany Index Max Cuml Total Return 230.1045% On 05/31/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
12/30/2022,147.69,--,23.84%,146.42%,0.23%,0.23%,,,,,,,
11/30/2022,147.35,--,23.56%,145.85%,14.13%,14.13%,,,,,,,
10/31/2022,129.1,--,8.26%,115.40%,9.47%,9.47%,,,,,,,
,,,,,,,,,,,,,
9/30/2022,117.94,--,-1.11%,96.78%,-8.83%,-8.83%,,,,,,,
8/31/2022,129.36,--,8.47%,115.84%,-6.39%,-6.39%,,,,,,,
7/29/2022,138.2,0.00914,15.88%,130.58%,2.08%,2.08%,,,,,,,
,,,,,,,,,,,,,
6/30/2022,135.39,0.06768,13.53%,125.87%,-13.43%,-13.39%,,,,,,,
5/31/2022,156.4,3.97636,31.14%,160.80%,1.22%,3.95%,,,,,,,
4/29/2022,154.51,0.79954,29.56%,150.88%,-8.21%,-7.74%,,,,,,,
,,,,,,,,,,,,,
3/31/2022,168.32,0.00979,41.14%,171.94%,-2.99%,-2.99%,,,,,,,
2/28/2022,173.52,0.53389,45.50%,180.32%,-7.40%,-7.13%,,,,,,,
1/31/2022,187.38,--,57.12%,201.86%,-3.13%,-3.13%,,,,,,,
,,,,,,,,,,,,,
12/31/2021,193.43,--,62.19%,211.61%,4.54%,4.54%,,,,,,,
11/30/2021,185.03,--,55.15%,198.07%,-5.80%,-5.80%,,,,,,,
10/29/2021,196.42,--,64.70%,216.42%,2.03%,2.03%,,,,,,,
,,,,,,,,,,,,,
9/30/2021,192.52,--,61.43%,210.14%,-5.78%,-5.78%,,,,,,,
8/31/2021,204.32,--,71.33%,229.15%,1.35%,1.35%,,,,,,,
7/30/2021,201.6,0.25109,69.05%,224.77%,0.09%,0.21%,,,,,,,
,,,,,,,,,,,,,
6/30/2021,201.42,0.12887,68.90%,224.08%,-1.89%,-1.83%,,,,,,,
5/31/2021,205.3,1.91948,72.14%,230.11%,2.42%,3.43%,,,,,,,
4/30/2021,200.44,1.82512,68.07%,219.16%,2.57%,3.50%,,,,,,,
,,,,,,,,,,,,,
3/31/2021,195.41,0.00375,63.86%,208.35%,4.56%,4.56%,,,,,,,
2/26/2021,186.89,0.48096,56.71%,194.90%,1.47%,1.73%,,,,,,,
1/29/2021,184.18,--,54.43%,189.88%,-2.40%,-2.40%,,,,,,,
,,,,,,,,,,,,,
12/31/2020,188.71,0.02148,58.24%,197.01%,6.56%,6.58%,,,,,,,
11/30/2020,177.09,0.01007,48.49%,178.69%,17.10%,17.11%,,,,,,,
10/30/2020,151.22,0.21001,26.80%,137.97%,-10.33%,-10.22%,,,,,,,
,,,,,,,,,,,,,
9/30/2020,168.64,0.01868,41.41%,165.06%,-2.98%,-2.97%,,,,,,,
8/31/2020,173.82,0.32129,45.75%,173.16%,6.42%,6.61%,,,,,,,
7/31/2020,163.34,0.32269,36.96%,156.22%,4.43%,4.64%,,,,,,,
,,,,,,,,,,,,,
6/30/2020,156.41,0.99202,31.15%,144.86%,6.00%,6.67%,,,,,,,
5/29/2020,147.56,1.3504,23.73%,129.54%,7.75%,8.82%,,,,,,,
4/30/2020,136.94,0.63513,14.83%,110.94%,9.17%,9.67%,,,,,,,
,,,,,,,,,,,,,
3/31/2020,125.44,--,5.19%,92.34%,-17.16%,-17.16%,,,,,,,
2/28/2020,151.43,0.52295,26.98%,132.19%,-9.32%,-9.05%,,,,,,,
1/31/2020,167,--,40.03%,155.28%,-2.94%,-2.94%,,,,,,,
,,,,,,,,,,,,,
12/31/2019,172.06,--,44.27%,163.01%,1.88%,1.88%,,,,,,,
11/29/2019,168.88,--,41.61%,158.15%,1.81%,1.81%,,,,,,,
10/31/2019,165.87,--,39.09%,153.56%,5.80%,5.80%,,,,,,,
,,,,,,,,,,,,,
9/30/2019,156.77,--,31.46%,139.65%,2.69%,2.69%,,,,,,,
8/30/2019,152.67,--,28.01%,133.37%,-3.11%,-3.11%,,,,,,,
7/31/2019,157.57,--,32.13%,140.87%,-3.29%,-3.29%,,,,,,,
,,,,,,,,,,,,,
