,,,,,,,,,
,,,,,,,,,
MXGB Index Settings Total Return Analysis,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,
MSCI United Kingdom Index Max Cuml Total Return 3307.8528% On 03/31/2022,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/30/2022,2593.7,2.9993,1089.23%,3105.76%,-0.22%,-0.11%,,,
11/30/2022,2599.5,9.23143,1091.89%,3109.23%,11.12%,11.53%,,,
10/31/2022,2339.39,2.0153,972.62%,2777.56%,5.83%,5.92%,,,
,,,,,,,,,
9/30/2022,2210.51,4.02666,913.53%,2616.62%,-9.24%,-9.08%,,,
8/31/2022,2435.52,23.01422,1016.70%,2887.86%,-6.56%,-5.73%,,,
7/29/2022,2606.56,2.83877,1095.12%,3069.58%,3.33%,3.45%,,,
,,,,,,,,,
6/30/2022,2522.53,6.52915,1056.59%,2963.93%,-8.72%,-8.49%,,,
5/31/2022,2763.48,8.34009,1167.07%,3248.30%,1.35%,1.67%,,,
4/29/2022,2726.66,8.45783,1150.19%,3193.23%,-3.66%,-3.36%,,,
,,,,,,,,,
3/31/2022,2830.11,19.64548,1197.62%,3307.85%,-0.59%,0.13%,,,
2/28/2022,2846.93,12.15043,1205.33%,3303.44%,0.00%,0.43%,,,
1/31/2022,2846.94,1.59764,1205.34%,3288.74%,1.07%,1.12%,,,
,,,,,,,,,
12/31/2021,2816.89,4.06641,1191.56%,3251.14%,6.79%,6.95%,,,
11/30/2021,2637.75,8.87937,1109.42%,3033.37%,-5.18%,-4.87%,,,
10/29/2021,2781.77,2.05251,1175.46%,3193.85%,3.85%,3.92%,,,
,,,,,,,,,
9/30/2021,2678.73,7.91593,1128.21%,3069.49%,-2.44%,-2.15%,,,
8/31/2021,2745.61,28.18952,1158.88%,3139.29%,-0.21%,0.81%,,,
7/30/2021,2751.39,3.63149,1161.53%,3113.19%,0.84%,0.98%,,,
,,,,,,,,,
6/30/2021,2728.38,5.51068,1150.98%,3082.10%,-2.63%,-2.44%,,,
5/31/2021,2802.12,9.48273,1184.79%,3161.66%,3.71%,4.07%,,,
4/30/2021,2701.76,7.15172,1138.77%,3034.14%,3.94%,4.22%,,,
,,,,,,,,,
3/31/2021,2599.31,17.19729,1091.80%,2907.28%,2.37%,3.04%,,,
2/26/2021,2539.26,10.90568,1064.26%,2818.50%,3.10%,3.53%,,,
1/29/2021,2462.95,0.90476,1029.28%,2719.01%,-0.33%,-0.29%,,,
,,,,,,,,,
12/31/2020,2471.05,4.69871,1032.99%,2727.29%,5.10%,5.30%,,,
11/30/2020,2351.06,7.42694,977.98%,2584.95%,16.33%,16.70%,,,
10/30/2020,2021.05,4.18365,826.66%,2200.70%,-5.02%,-4.83%,,,
,,,,,,,,,
9/30/2020,2127.94,2.03201,875.67%,2317.58%,-5.11%,-5.03%,,,
8/31/2020,2242.63,15.5354,928.26%,2445.50%,2.96%,3.67%,,,
7/31/2020,2178.22,4.70066,898.73%,2355.45%,0.79%,1.01%,,,
,,,,,,,,,
6/30/2020,2161.06,2.77791,890.86%,2330.89%,1.88%,2.01%,,,
5/29/2020,2121.14,7.94233,872.55%,2282.92%,0.56%,0.95%,,,
4/30/2020,2109.33,4.78995,867.14%,2260.50%,5.07%,5.32%,,,
,,,,,,,,,
3/31/2020,2007.5,8.56984,820.45%,2141.18%,-16.29%,-15.97%,,,
2/28/2020,2398.21,14.8372,999.59%,2567.08%,-12.81%,-12.33%,,,
1/31/2020,2750.6,1.3863,1161.17%,2942.14%,-3.85%,-3.80%,,,
,,,,,,,,,
12/31/2019,2860.59,3.16869,1211.60%,3062.25%,5.18%,5.30%,,,
11/29/2019,2719.72,12.5806,1147.00%,2903.13%,1.25%,1.72%,,,
10/31/2019,2686.06,7.86259,1131.57%,2852.21%,2.74%,3.05%,,,
,,,,,,,,,
9/30/2019,2614.45,3.19635,1098.74%,2764.73%,3.82%,3.95%,,,
8/30/2019,2518.31,26.22161,1054.66%,2655.97%,-5.51%,-4.52%,,,
7/31/2019,2665.28,1.41834,1122.04%,2786.54%,-1.86%,-1.81%,,,
,,,,,,,,,
6/28/2019,2715.71,6.9099,1145.17%,2839.61%,4.26%,4.53%,,,
