,,,,,,,,,,,
,,,,,,,,,,,
MXID Index Settings Total Return Analysis,,,,,,,,,,,
Range11/29/1991 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 373 Month Holding Period Chart,,,,,,,,,,,
MSCI Indonesia Index Max Cuml Total Return 456.8318% On 04/29/2022,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
12/30/2022,0.48,0.00053,142.43%,411.64%,-4.44%,-4.34%,,,,,
11/30/2022,0.5,0.00013,153.70%,434.86%,1.16%,1.18%,,,,,
10/31/2022,0.49,0.0008,150.80%,428.60%,0.02%,0.18%,,,,,
,,,,,,,,,,,
9/30/2022,0.49,--,150.75%,427.63%,-0.79%,-0.79%,,,,,
8/31/2022,0.5,0.00045,152.75%,431.83%,5.29%,5.39%,,,,,
7/29/2022,0.47,0.00028,140.05%,404.63%,3.11%,3.18%,,,,,
,,,,,,,,,,,
6/30/2022,0.46,0.00275,132.80%,389.10%,-10.10%,-9.60%,,,,,
5/31/2022,0.51,0.00185,158.95%,441.04%,-3.20%,-2.84%,,,,,
4/29/2022,0.53,0.00056,167.51%,456.83%,3.44%,3.56%,,,,,
,,,,,,,,,,,
3/31/2022,0.51,0.00731,158.60%,437.70%,1.97%,3.45%,,,,,
2/28/2022,0.5,--,153.60%,419.76%,5.40%,5.40%,,,,,
1/31/2022,0.47,--,140.60%,393.11%,0.80%,0.80%,,,,,
,,,,,,,,,,,
12/31/2021,0.47,0.00071,138.69%,389.19%,1.09%,1.24%,,,,,
11/30/2021,0.46,0.00055,136.11%,383.18%,-2.57%,-2.46%,,,,,
10/29/2021,0.48,0.00043,142.34%,395.36%,7.81%,7.91%,,,,,
,,,,,,,,,,,
9/30/2021,0.44,0.00056,124.79%,359.06%,2.98%,3.11%,,,,,
8/31/2021,0.43,0.00025,118.29%,345.20%,8.10%,8.16%,,,,,
7/30/2021,0.4,0.00058,101.94%,311.62%,-1.62%,-1.48%,,,,,
,,,,,,,,,,,
6/30/2021,0.4,0.00304,105.26%,317.79%,-7.11%,-6.47%,,,,,
5/31/2021,0.43,0.00085,120.97%,346.67%,1.10%,1.31%,,,,,
4/30/2021,0.43,0.00351,118.56%,340.91%,-0.50%,0.31%,,,,,
,,,,,,,,,,,
3/31/2021,0.43,0.00125,119.66%,339.54%,-5.94%,-5.68%,,,,,
2/26/2021,0.46,--,133.54%,366.01%,0.63%,0.63%,,,,,
1/29/2021,0.46,--,132.07%,363.07%,-2.89%,-2.89%,,,,,
,,,,,,,,,,,
12/31/2020,0.47,0.0007,138.98%,376.86%,5.92%,6.08%,,,,,
11/30/2020,0.44,--,125.62%,349.53%,14.80%,14.80%,,,,,
10/30/2020,0.39,0.00026,96.53%,291.57%,8.14%,8.22%,,,,,
,,,,,,,,,,,
9/30/2020,0.36,0.00022,81.73%,261.84%,-12.64%,-12.59%,,,,,
