,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIN Index Settings Total Return Analysis,,,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,,,
MSCI India Index Max Cuml Total Return 1120.1678% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
12/30/2022,25.01,--,624.11%,1027.86%,-5.37%,-5.37%,,,,,,,
11/30/2022,26.43,0.03509,665.23%,1091.90%,5.08%,5.22%,,,,,,,
10/31/2022,25.16,0.02806,628.27%,1032.80%,2.47%,2.59%,,,,,,,
,,,,,,,,,,,,,
9/30/2022,24.55,0.00118,610.69%,1004.21%,-6.11%,-6.11%,,,,,,,
8/31/2022,26.15,0.05257,656.97%,1076.06%,3.87%,4.08%,,,,,,,
7/29/2022,25.17,0.04531,628.76%,1029.93%,8.93%,9.14%,,,,,,,
,,,,,,,,,,,,,
6/30/2022,23.11,0.0333,569.02%,935.34%,-6.80%,-6.67%,,,,,,,
5/31/2022,24.8,0.07492,617.83%,1009.30%,-5.90%,-5.61%,,,,,,,
4/29/2022,26.35,0.01335,662.81%,1075.22%,-1.66%,-1.61%,,,,,,,
,,,,,,,,,,,,,
3/31/2022,26.79,0.01192,675.72%,1094.51%,3.70%,3.75%,,,,,,,
2/28/2022,25.84,0.03787,648.05%,1051.37%,-4.39%,-4.25%,,,,,,,
1/31/2022,27.03,0.00751,682.38%,1102.51%,-1.14%,-1.12%,,,,,,,
,,,,,,,,,,,,,
12/31/2021,27.34,0.02125,691.42%,1116.08%,3.43%,3.52%,,,,,,,
11/30/2021,26.43,0.02121,665.16%,1074.79%,-2.95%,-2.88%,,,,,,,
10/29/2021,27.23,0.03379,688.43%,1109.59%,-0.99%,-0.87%,,,,,,,
,,,,,,,,,,,,,
9/30/2021,27.51,0.03244,696.29%,1120.17%,0.44%,0.56%,,,,,,,
8/31/2021,27.38,0.01396,692.79%,1113.39%,10.85%,10.91%,,,,,,,
7/30/2021,24.7,0.04773,615.19%,994.02%,0.87%,1.06%,,,,,,,
,,,,,,,,,,,,,
6/30/2021,24.49,0.03607,609.05%,982.52%,-1.00%,-0.85%,,,,,,,
5/31/2021,24.74,0.0422,616.19%,991.84%,8.59%,8.78%,,,,,,,
4/30/2021,22.78,0.01259,559.54%,903.76%,-0.80%,-0.75%,,,,,,,
,,,,,,,,,,,,,
3/31/2021,22.97,0.01594,564.88%,911.33%,2.72%,2.79%,,,,,,,
2/26/2021,22.36,0.03017,547.26%,883.86%,4.44%,4.58%,,,,,,,
1/29/2021,21.41,0.00668,519.74%,840.81%,-2.27%,-2.24%,,,,,,,
,,,,,,,,,,,,,
12/31/2020,21.9,0.00427,534.10%,862.33%,10.10%,10.13%,,,,,,,
11/30/2020,19.89,0.02,475.91%,773.84%,9.34%,9.45%,,,,,,,
10/30/2020,18.19,0.04547,426.73%,698.39%,0.01%,0.26%,,,,,,,
,,,,,,,,,,,,,
9/30/2020,18.19,0.0071,426.67%,696.35%,0.56%,0.59%,,,,,,,
8/31/2020,18.09,0.01852,423.76%,691.65%,3.91%,4.01%,,,,,,,
