,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXIT Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1999 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 287 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Italy Index Max Cuml Total Return 108.2149% On 10/31/2007,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
12/30/2022,65.8,--,-40.82%,45.28%,0.14%,0.14%,,,,,,,
11/30/2022,65.71,0.50588,-40.90%,45.08%,13.06%,13.95%,,,,,,,
10/31/2022,58.12,--,-47.73%,27.32%,11.44%,11.44%,,,,,,,
,,,,,,,,,,,,,
9/30/2022,52.15,0.10384,-53.09%,14.25%,-6.61%,-6.44%,,,,,,,
8/31/2022,55.84,--,-49.77%,22.11%,-4.66%,-4.66%,,,,,,,
7/29/2022,58.57,0.29331,-47.32%,28.08%,1.83%,2.37%,,,,,,,
,,,,,,,,,,,,,
6/30/2022,57.52,0.16632,-48.26%,25.12%,-14.48%,-14.24%,,,,,,,
5/31/2022,67.26,0.93568,-39.50%,45.89%,2.50%,3.96%,,,,,,,
4/29/2022,65.61,0.79032,-40.98%,40.34%,-7.46%,-6.39%,,,,,,,
,,,,,,,,,,,,,
3/31/2022,70.9,--,-36.22%,49.92%,-3.13%,-3.13%,,,,,,,
2/28/2022,73.19,--,-34.16%,54.75%,-5.15%,-5.15%,,,,,,,
1/31/2022,77.16,0.37153,-30.59%,63.16%,-2.37%,-1.89%,,,,,,,
,,,,,,,,,,,,,
12/31/2021,79.04,--,-28.91%,66.29%,6.27%,6.27%,,,,,,,
11/30/2021,74.37,0.46861,-33.10%,56.48%,-6.17%,-5.61%,,,,,,,
10/29/2021,79.26,0.10865,-28.70%,65.78%,4.58%,4.73%,,,,,,,
,,,,,,,,,,,,,
9/30/2021,75.79,0.23362,-31.83%,58.30%,-3.44%,-3.14%,,,,,,,
8/31/2021,78.49,--,-29.40%,63.43%,1.33%,1.33%,,,,,,,
7/30/2021,77.46,0.32319,-30.32%,61.29%,0.47%,0.91%,,,,,,,
,,,,,,,,,,,,,
6/30/2021,77.1,0.22692,-30.65%,59.83%,-3.40%,-3.12%,,,,,,,
5/31/2021,79.81,0.59501,-28.21%,64.97%,5.91%,6.70%,,,,,,,
4/30/2021,75.36,0.25805,-32.21%,54.61%,0.12%,0.46%,,,,,,,
,,,,,,,,,,,,,
3/31/2021,75.27,0.04325,-32.29%,53.90%,5.20%,5.26%,,,,,,,
2/26/2021,71.55,--,-35.64%,46.21%,5.35%,5.35%,,,,,,,
1/29/2021,67.91,0.359,-38.91%,38.78%,-4.90%,-4.41%,,,,,,,
,,,,,,,,,,,,,
12/31/2020,71.41,--,-35.77%,45.19%,4.18%,4.18%,,,,,,,
11/30/2020,68.54,0.06566,-38.34%,39.36%,26.68%,26.81%,,,,,,,
10/30/2020,54.11,--,-51.33%,9.90%,-6.88%,-6.88%,,,,,,,
,,,,,,,,,,,,,
9/30/2020,58.11,0.06815,-47.73%,18.02%,-5.65%,-5.54%,,,,,,,
8/31/2020,61.58,--,-44.61%,24.94%,3.75%,3.75%,,,,,,,
7/31/2020,59.36,0.30062,-46.61%,20.42%,2.91%,3.41%,,,,,,,
,,,,,,,,,,,,,
6/30/2020,57.68,0.22984,-48.12%,16.45%,7.84%,8.27%,,,,,,,
5/29/2020,53.48,0.39142,-51.89%,7.55%,5.02%,5.85%,,,,,,,
4/30/2020,50.92,0.03732,-54.20%,1.61%,1.66%,1.73%,,,,,,,
,,,,,,,,,,,,,
3/31/2020,50.09,--,-54.94%,-0.12%,-22.66%,-22.66%,,,,,,,
2/28/2020,64.77,--,-41.74%,29.15%,-6.58%,-6.58%,,,,,,,
1/31/2020,69.34,0.33836,-37.63%,38.25%,-2.37%,-1.91%,,,,,,,
,,,,,,,,,,,,,
12/31/2019,71.02,--,-36.12%,40.94%,2.69%,2.69%,,,,,,,
11/29/2019,69.16,0.13486,-37.79%,37.25%,0.45%,0.64%,,,,,,,
10/31/2019,68.85,--,-38.07%,36.37%,4.46%,4.46%,,,,,,,
,,,,,,,,,,,,,
9/30/2019,65.91,0.24523,-40.72%,30.55%,2.76%,3.15%,,,,,,,
8/30/2019,64.14,--,-42.31%,26.57%,-1.56%,-1.56%,,,,,,,
7/31/2019,65.15,0.26055,-41.39%,28.57%,-1.50%,-1.11%,,,,,,,
,,,,,,,,,,,,,
6/28/2019,66.14,0.24391,-40.50%,30.02%,9.05%,9.45%,,,,,,,
5/31/2019,60.65,1.3189,-45.44%,18.79%,-9.58%,-7.68%,,,,,,,
4/30/2019,67.08,0.37567,-39.66%,28.68%,1.79%,2.35%,,,,,,,
,,,,,,,,,,,,,
3/29/2019,65.9,--,-40.72%,25.72%,2.01%,2.01%,,,,,,,
2/28/2019,64.6,--,-41.89%,23.24%,3.60%,3.60%,,,,,,,
1/31/2019,62.36,0.3128,-43.91%,18.95%,7.82%,8.37%,,,,,,,
,,,,,,,,,,,,,
12/31/2018,57.83,--,-47.98%,9.77%,-3.29%,-3.29%,,,,,,,
11/30/2018,59.8,0.11428,-46.21%,13.50%,0.77%,0.96%,,,,,,,
10/31/2018,59.35,--,-46.62%,12.42%,-9.56%,-9.56%,,,,,,,
,,,,,,,,,,,,,
9/28/2018,65.62,0.24926,-40.98%,24.31%,2.39%,2.77%,,,,,,,
8/31/2018,64.09,--,-42.36%,20.96%,-9.85%,-9.85%,,,,,,,
7/31/2018,71.08,0.24995,-36.06%,34.17%,2.92%,3.29%,,,,,,,
,,,,,,,,,,,,,
6/29/2018,69.07,0.21334,-37.87%,29.90%,-0.89%,-0.58%,,,,,,,
5/31/2018,69.69,0.9356,-37.32%,30.66%,-12.93%,-11.84%,,,,,,,
4/30/2018,80.04,0.29441,-28.01%,48.20%,5.49%,5.87%,,,,,,,
,,,,,,,,,,,,,
3/30/2018,75.87,--,-31.75%,39.99%,0.14%,0.14%,,,,,,,
2/28/2018,75.77,--,-31.85%,39.80%,-5.50%,-5.50%,,,,,,,
1/31/2018,80.18,0.2638,-27.88%,47.93%,10.86%,11.22%,,,,,,,
,,,,,,,,,,,,,
12/29/2017,72.32,--,-34.94%,33.00%,-1.15%,-1.15%,,,,,,,
11/30/2017,73.17,0.16265,-34.19%,34.55%,0.18%,0.41%,,,,,,,
10/31/2017,73.03,--,-34.31%,34.00%,-1.25%,-1.25%,,,,,,,
,,,,,,,,,,,,,
9/29/2017,73.96,0.25264,-33.48%,35.70%,3.44%,3.79%,,,,,,,
8/31/2017,71.5,--,-35.69%,30.74%,1.59%,1.59%,,,,,,,
7/31/2017,70.38,0.17727,-36.69%,28.70%,7.45%,7.73%,,,,,,,
,,,,,,,,,,,,,
6/30/2017,65.5,0.13836,-41.08%,19.46%,1.16%,1.38%,,,,,,,
5/31/2017,64.75,0.84646,-41.76%,17.84%,3.88%,5.19%,,,,,,,
4/28/2017,62.33,0.3027,-43.93%,12.02%,1.92%,2.42%,,,,,,,
,,,,,,,,,,,,,
3/31/2017,61.15,--,-44.99%,9.38%,9.50%,9.50%,,,,,,,
2/28/2017,55.85,--,-49.76%,-0.11%,-0.27%,-0.27%,,,,,,,
1/31/2017,56,0.16748,-49.63%,0.16%,-2.97%,-2.69%,,,,,,,
,,,,,,,,,,,,,
12/30/2016,57.71,--,-48.09%,2.93%,13.11%,13.11%,,,,,,,
11/30/2016,51.02,0.11979,-54.10%,-9.00%,-3.92%,-3.68%,,,,,,,
10/31/2016,53.1,--,-52.23%,-5.52%,1.80%,1.80%,,,,,,,
,,,,,,,,,,,,,
9/30/2016,52.17,0.25399,-53.08%,-7.19%,-3.29%,-2.81%,,,,,,,
8/31/2016,53.94,--,-51.48%,-4.51%,1.14%,1.14%,,,,,,,
7/29/2016,53.33,--,-52.03%,-5.58%,4.36%,4.36%,,,,,,,
,,,,,,,,,,,,,
6/30/2016,51.1,0.41338,-54.03%,-9.53%,-10.10%,-9.43%,,,,,,,
5/31/2016,56.84,1.30137,-48.87%,-0.11%,-5.56%,-3.32%,,,,,,,
4/29/2016,60.19,0.21441,-45.86%,3.32%,2.51%,2.88%,,,,,,,
,,,,,,,,,,,,,
3/31/2016,58.71,--,-47.19%,0.43%,7.57%,7.57%,,,,,,,
2/29/2016,54.58,--,-50.90%,-6.64%,-5.31%,-5.31%,,,,,,,
1/29/2016,57.64,0.00226,-48.15%,-1.40%,-13.76%,-13.76%,,,,,,,
,,,,,,,,,,,,,
12/31/2015,66.84,--,-39.88%,14.33%,-3.01%,-3.01%,,,,,,,
11/30/2015,68.91,0.1161,-38.01%,17.88%,-3.09%,-2.92%,,,,,,,
10/30/2015,71.11,--,-36.04%,21.42%,4.06%,4.06%,,,,,,,
