,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXJP Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Japan Index Max Cuml Total Return 6808.9577% On 09/30/2021,,,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,,,
12/30/2022,8.78,0.01431,3439.33%,5484.56%,0.73%,0.90%,,,,,,,
11/30/2022,8.72,0.00018,3413.72%,5435.01%,9.76%,9.76%,,,,,,,
10/31/2022,7.94,0.00008,3101.21%,4942.63%,2.95%,2.95%,,,,,,,
,,,,,,,,,,,,,
9/30/2022,7.71,0.08682,3009.56%,4798.20%,-11.09%,-10.11%,,,,,,,
8/31/2022,8.68,0.00286,3397.36%,5348.99%,-2.89%,-2.86%,,,,,,,
7/29/2022,8.93,0.00066,3501.41%,5509.28%,5.82%,5.82%,,,,,,,
,,,,,,,,,,,,,
6/30/2022,8.44,0.01269,3303.47%,5200.58%,-7.97%,-7.83%,,,,,,,
5/31/2022,9.17,0.00041,3598.08%,5650.82%,2.76%,2.77%,,,,,,,
4/29/2022,8.93,0.00002,3498.73%,5496.07%,-9.65%,-9.65%,,,,,,,
,,,,,,,,,,,,,
3/31/2022,9.88,0.11313,3883.12%,6093.78%,-1.61%,-0.49%,,,,,,,
2/28/2022,10.04,0.00381,3948.17%,6124.18%,-1.18%,-1.14%,,,,,,,
1/31/2022,10.16,0.00071,3996.55%,6196.16%,-4.98%,-4.97%,,,,,,,
,,,,,,,,,,,,,
12/31/2021,10.7,0.01451,4211.32%,6525.78%,1.38%,1.51%,,,,,,,
11/30/2021,10.55,0.00053,4152.81%,6427.05%,-2.06%,-2.06%,,,,,,,
10/29/2021,10.77,0.00009,4242.37%,6564.17%,-3.54%,-3.54%,,,,,,,
,,,,,,,,,,,,,
9/30/2021,11.17,0.09353,4401.91%,6808.96%,2.29%,3.14%,,,,,,,
8/31/2021,10.92,0.00378,4301.33%,6598.48%,2.97%,3.00%,,,,,,,
7/30/2021,10.6,0.00066,4174.47%,6403.14%,-1.22%,-1.22%,,,,,,,
,,,,,,,,,,,,,
6/30/2021,10.74,0.01301,4227.31%,6483.13%,-0.40%,-0.28%,,,,,,,
5/31/2021,10.78,0.00069,4244.52%,6501.38%,1.40%,1.40%,,,,,,,
4/30/2021,10.63,0.00003,4184.71%,6410.08%,-1.42%,-1.42%,,,,,,,
,,,,,,,,,,,,,
3/31/2021,10.78,0.09982,4246.49%,6503.94%,0.35%,1.26%,,,,,,,
2/26/2021,10.75,0.00387,4231.42%,6421.53%,1.38%,1.41%,,,,,,,
1/29/2021,10.6,0.00062,4172.58%,6330.70%,-1.00%,-1.00%,,,,,,,
,,,,,,,,,,,,,
12/31/2020,10.71,0.01418,4215.95%,6395.61%,4.03%,4.16%,,,,,,,
11/30/2020,10.29,0.00055,4048.85%,6135.90%,12.58%,12.59%,,,,,,,
10/30/2020,9.14,0.00007,3585.13%,5438.62%,-1.73%,-1.73%,,,,,,,
,,,,,,,,,,,,,
9/30/2020,9.3,0.08528,3649.85%,5535.85%,0.04%,0.94%,,,,,,,
8/31/2020,9.3,0.00352,3648.30%,5483.23%,7.93%,7.97%,,,,,,,
7/31/2020,8.62,0.0007,3372.82%,5070.93%,-1.74%,-1.73%,,,,,,,
,,,,,,,,,,,,,
6/30/2020,8.77,0.01123,3434.22%,5161.93%,-0.02%,0.11%,,,,,,,
5/29/2020,8.77,0.00095,3435.06%,5156.41%,5.84%,5.85%,,,,,,,
4/30/2020,8.29,--,3240.13%,4866.02%,5.23%,5.23%,,,,,,,
,,,,,,,,,,,,,
3/31/2020,7.87,0.09481,3074.07%,4619.13%,-7.67%,-6.58%,,,,,,,
2/28/2020,8.53,0.00373,3337.91%,4951.79%,-9.40%,-9.36%,,,,,,,
1/31/2020,9.41,0.00061,3694.59%,5473.52%,-1.20%,-1.20%,,,,,,,
,,,,,,,,,,,,,
12/31/2019,9.53,0.01494,3740.81%,5541.03%,1.65%,1.81%,,,,,,,
11/29/2019,9.37,0.0005,3678.43%,5440.74%,0.54%,0.54%,,,,,,,
10/31/2019,9.32,0.0002,3658.28%,5410.90%,5.04%,5.04%,,,,,,,
,,,,,,,,,,,,,
9/30/2019,8.88,0.08965,3477.91%,5146.31%,3.32%,4.35%,,,,,,,
8/30/2019,8.59,0.00335,3363.01%,4927.70%,-1.23%,-1.19%,,,,,,,
7/31/2019,8.7,0.0007,3406.25%,4988.47%,0.25%,0.26%,,,,,,,
,,,,,,,,,,,,,
6/28/2019,8.68,0.01327,3397.53%,4975.41%,3.42%,3.58%,,,,,,,
5/31/2019,8.39,0.00061,3281.89%,4800.05%,-3.77%,-3.76%,,,,,,,
4/30/2019,8.72,--,3414.31%,4991.54%,1.27%,1.27%,,,,,,,
,,,,,,,,,,,,,
3/29/2019,8.61,0.09792,3370.14%,4927.55%,-0.41%,0.71%,,,,,,,
2/28/2019,8.64,0.00366,3384.44%,4892.22%,-0.09%,-0.05%,,,,,,,
1/31/2019,8.65,0.00069,3387.51%,4894.52%,6.77%,6.78%,,,,,,,
,,,,,,,,,,,,,
12/31/2018,8.1,0.01412,3166.25%,4577.28%,-7.33%,-7.16%,,,,,,,
11/30/2018,8.74,0.00047,3424.70%,4938.20%,0.46%,0.47%,,,,,,,
10/31/2018,8.7,0.00019,3408.51%,4914.79%,-8.70%,-8.70%,,,,,,,
,,,,,,,,,,,,,
9/28/2018,9.53,0.08209,3742.84%,5392.53%,2.59%,3.46%,,,,,,,
8/31/2018,9.29,0.00318,3645.99%,5208.66%,-0.11%,-0.08%,,,,,,,
7/31/2018,9.3,0.00059,3650.17%,5212.75%,0.53%,0.54%,,,,,,,
,,,,,,,,,,,,,
6/29/2018,9.25,0.0126,3630.31%,5184.28%,-2.56%,-2.42%,,,,,,,
5/31/2018,9.5,0.0006,3728.16%,5315.56%,-1.44%,-1.43%,,,,,,,
4/30/2018,9.64,--,3784.12%,5394.39%,0.85%,0.85%,,,,,,,
,,,,,,,,,,,,,
3/30/2018,9.56,0.09457,3751.36%,5348.04%,-2.73%,-1.76%,,,,,,,
2/28/2018,9.82,0.00315,3859.40%,5445.39%,-1.38%,-1.34%,,,,,,,
1/31/2018,9.96,0.00057,3914.63%,5520.94%,4.32%,4.32%,,,,,,,
,,,,,,,,,,,,,
12/29/2017,9.55,0.01308,3748.50%,5288.04%,1.19%,1.33%,,,,,,,
11/30/2017,9.44,0.00051,3703.10%,5217.20%,2.46%,2.47%,,,,,,,
10/31/2017,9.21,0.00018,3611.66%,5089.08%,4.60%,4.61%,,,,,,,
,,,,,,,,,,,,,
9/29/2017,8.8,0.07291,3448.32%,4860.62%,1.30%,2.15%,,,,,,,
8/31/2017,8.69,0.00283,3402.66%,4756.37%,-0.24%,-0.21%,,,,,,,
7/31/2017,8.71,0.00053,3411.06%,4766.42%,2.09%,2.09%,,,,,,,
,,,,,,,,,,,,,
6/30/2017,8.53,0.01105,3339.28%,4666.63%,1.04%,1.17%,,,,,,,
5/31/2017,8.45,0.00058,3303.93%,4611.56%,2.83%,2.83%,,,,,,,
4/28/2017,8.21,--,3210.40%,4481.79%,0.98%,0.98%,,,,,,,
,,,,,,,,,,,,,
3/31/2017,8.13,0.07922,3178.19%,4437.20%,-0.96%,-0.01%,,,,,,,
2/28/2017,8.21,0.00278,3209.93%,4437.82%,1.42%,1.45%,,,,,,,
1/31/2017,8.1,0.00045,3163.65%,4372.87%,3.33%,3.34%,,,,,,,
,,,,,,,,,,,,,
12/30/2016,7.84,0.01117,3058.49%,4228.50%,1.01%,1.16%,,,,,,,
11/30/2016,7.76,0.0004,3026.84%,4179.05%,-2.66%,-2.65%,,,,,,,
10/31/2016,7.97,0.00017,3112.24%,4295.70%,1.58%,1.58%,,,,,,,
,,,,,,,,,,,,,
9/30/2016,7.85,0.06994,3062.37%,4227.37%,0.52%,1.41%,,,,,,,
8/31/2016,7.8,0.00296,3045.92%,4167.33%,0.37%,0.41%,,,,,,,
7/29/2016,7.78,0.00049,3034.38%,4150.06%,7.24%,7.25%,,,,,,,
,,,,,,,,,,,,,
6/30/2016,7.25,0.01136,2822.73%,3862.83%,-3.36%,-3.20%,,,,,,,
5/31/2016,7.5,0.00043,2924.30%,3994.04%,0.42%,0.43%,,,,,,,
4/29/2016,7.47,--,2911.57%,3976.56%,3.44%,3.44%,,,,,,,
,,,,,,,,,,,,,
3/31/2016,7.22,0.07111,2811.42%,3841.00%,3.83%,4.83%,,,,,,,
2/29/2016,6.96,0.00246,2704.04%,3659.31%,-2.92%,-2.88%,,,,,,,
1/29/2016,7.17,0.00037,2788.24%,3770.84%,-7.90%,-7.90%,,,,,,,
,,,,,,,,,,,,,
12/31/2015,7.78,0.01031,3036.06%,4102.76%,-0.15%,-0.02%,,,,,,,
11/30/2015,7.79,0.00028,3040.84%,4103.54%,-0.91%,-0.90%,,,,,,,
10/30/2015,7.86,0.00012,3069.52%,4141.78%,9.96%,9.96%,,,,,,,
,,,,,,,,,,,,,
9/30/2015,7.15,0.05996,2782.39%,3757.44%,-7.28%,-6.52%,,,,,,,
8/31/2015,7.71,0.0019,3008.64%,4026.29%,-5.82%,-5.79%,,,,,,,
7/31/2015,8.19,0.00035,3200.67%,4280.08%,0.19%,0.20%,,,,,,,
,,,,,,,,,,,,,
6/30/2015,8.17,0.0082,3194.27%,4271.40%,-1.59%,-1.49%,,,,,,,
5/29/2015,8.3,0.00035,3247.32%,4337.39%,1.22%,1.22%,,,,,,,
4/30/2015,8.2,--,3206.96%,4283.69%,3.55%,3.55%,,,,,,,
,,,,,,,,,,,,,
3/31/2015,7.92,0.06866,3093.48%,4133.26%,1.02%,1.89%,,,,,,,
2/27/2015,7.84,0.00192,3061.11%,4054.89%,5.82%,5.85%,,,,,,,
1/30/2015,7.41,0.00032,2887.12%,3825.24%,2.00%,2.00%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MXJP Index Settings Total Return Analysis,,,,,,,,,,,,,
Range01/29/1971 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 623 Month Holding Period Chart,,,,,,,,,,,,,
MSCI Japan Index Max Cuml Total Return 6808.9577% On 09/30/2021,,,,,,,,,,,,,
,Date,,Close Price,,Dividends,,Prc Appr,,Total Return,,Period Appr,,Period Return
12/31/2014,7.27,0.00922,2828.55%,3748.11%,-1.15%,-1.03%,,,,,,,
11/28/2014,7.35,0.00028,2862.70%,3788.10%,0.30%,0.30%,,,,,,,
10/31/2014,7.33,0.00013,2853.94%,3776.45%,-1.37%,-1.37%,,,,,,,
,,,,,,,,,,,,,
9/30/2014,7.43,0.057,2895.05%,3830.33%,-1.16%,-0.40%,,,,,,,
8/29/2014,7.52,0.00206,2930.06%,3846.21%,-2.32%,-2.29%,,,,,,,
7/31/2014,7.7,0.00037,3001.89%,3938.66%,0.54%,0.55%,,,,,,,
,,,,,,,,,,,,,
6/30/2014,7.65,0.00679,2985.08%,3916.58%,5.20%,5.30%,,,,,,,
5/30/2014,7.28,0.00039,2832.53%,3714.59%,3.91%,3.92%,,,,,,,
4/30/2014,7,--,2722.20%,3570.87%,-2.50%,-2.50%,,,,,,,
,,,,,,,,,,,,,
3/31/2014,7.18,0.07135,2794.62%,3665.07%,-2.11%,-1.13%,,,,,,,
2/28/2014,7.34,0.00206,2857.02%,3707.92%,-0.33%,-0.30%,,,,,,,
1/31/2014,7.36,0.00034,2866.82%,3719.48%,-4.11%,-4.11%,,,,,,,
,,,,,,,,,,,,,
12/31/2013,7.68,0.00707,2994.14%,3883.22%,0.84%,0.93%,,,,,,,
11/29/2013,7.61,0.00029,2968.46%,3846.48%,1.55%,1.55%,,,,,,,
10/31/2013,7.5,0.00022,2921.61%,3786.07%,-0.14%,-0.13%,,,,,,,
,,,,,,,,,,,,,
9/30/2013,7.51,0.05562,2925.75%,3791.28%,7.70%,8.48%,,,,,,,
8/30/2013,6.97,0.00201,2709.46%,3486.93%,-2.31%,-2.28%,,,,,,,
7/31/2013,7.13,0.00031,2775.85%,3570.65%,0.63%,0.63%,,,,,,,
,,,,,,,,,,,,,
6/28/2013,7.09,0.0066,2757.85%,3547.51%,1.56%,1.66%,,,,,,,
5/31/2013,6.98,0.00009,2714.02%,3488.09%,-5.50%,-5.50%,,,,,,,
4/30/2013,7.39,0.0001,2877.79%,3696.87%,8.84%,8.84%,,,,,,,
,,,,,,,,,,,,,
3/29/2013,6.79,0.06466,2636.02%,3388.54%,3.97%,4.96%,,,,,,,
2/28/2013,6.53,0.00213,2531.45%,3223.84%,2.59%,2.62%,,,,,,,
1/31/2013,6.36,0.00028,2464.99%,3138.83%,3.13%,3.13%,,,,,,,
,,,,,,,,,,,,,
12/31/2012,6.17,0.00764,2387.21%,3040.48%,5.71%,5.84%,,,,,,,
11/30/2012,5.84,--,2252.82%,2867.09%,2.20%,2.20%,,,,,,,
10/31/2012,5.71,0.00012,2202.07%,2803.08%,-1.61%,-1.61%,,,,,,,
,,,,,,,,,,,,,
9/28/2012,5.81,0.06074,2239.84%,2850.66%,1.21%,2.26%,,,,,,,
8/31/2012,5.74,0.00235,2211.84%,2785.39%,-0.75%,-0.71%,,,,,,,
7/31/2012,5.78,0.00023,2229.38%,2806.12%,-2.42%,-2.41%,,,,,,,
,,,,,,,,,,,,,
6/29/2012,5.92,0.0065,2287.05%,2877.95%,5.00%,5.12%,,,,,,,
5/31/2012,5.64,0.0001,2173.39%,2732.93%,-8.24%,-8.24%,,,,,,,
4/30/2012,6.15,0.00012,2377.53%,2987.27%,-3.55%,-3.55%,,,,,,,
,,,,,,,,,,,,,
3/30/2012,6.37,0.06898,2468.66%,3100.77%,0.05%,1.12%,,,,,,,
2/29/2012,6.37,0.00263,2467.34%,3065.25%,4.97%,5.01%,,,,,,,
1/31/2012,6.07,0.00021,2345.84%,2914.22%,4.53%,4.53%,,,,,,,
,,,,,,,,,,,,,
12/30/2011,5.81,0.00694,2239.84%,2783.48%,0.57%,0.70%,,,,,,,
11/30/2011,5.77,0.00001,2226.50%,2763.54%,-4.44%,-4.44%,,,,,,,
10/31/2011,6.04,0.00015,2334.55%,2896.53%,-0.14%,-0.14%,,,,,,,
,,,,,,,,,,,,,
9/30/2011,6.05,0.0618,2338.07%,2900.78%,-2.51%,-1.52%,,,,,,,
8/31/2011,6.2,0.00186,2400.91%,2947.00%,-8.23%,-8.20%,,,,,,,
7/29/2011,6.76,0.00021,2625.05%,3219.07%,3.26%,3.26%,,,,,,,
,,,,,,,,,,,,,
6/30/2011,6.55,0.00569,2538.99%,3114.15%,1.79%,1.89%,,,,,,,
5/31/2011,6.43,0.00022,2492.48%,3054.68%,-1.67%,-1.66%,,,,,,,
4/29/2011,6.54,0.00017,2536.43%,3108.05%,0.19%,0.19%,,,,,,,
,,,,,,,,,,,,,
3/31/2011,6.53,0.06963,2531.55%,3102.03%,-10.10%,-9.13%,,,,,,,
2/28/2011,7.26,0.00236,2827.25%,3423.61%,4.68%,4.71%,,,,,,,
1/31/2011,6.94,0.00016,2696.42%,3265.02%,0.18%,0.18%,,,,,,,
,,,,,,,,,,,,,
12/31/2010,6.93,0.00663,2691.51%,3259.03%,7.21%,7.32%,,,,,,,
11/30/2010,6.46,0.00009,2503.70%,3030.03%,2.20%,2.21%,,,,,,,
10/29/2010,6.32,0.00018,2447.55%,2962.49%,2.02%,2.02%,,,,,,,
,,,,,,,,,,,,,
9/30/2010,6.2,0.0525,2397.08%,2901.73%,4.05%,4.92%,,,,,,,
8/31/2010,5.95,0.00177,2299.80%,2760.86%,-2.70%,-2.67%,,,,,,,
7/30/2010,6.12,0.00024,2366.43%,2839.42%,3.87%,3.87%,,,,,,,
,,,,,,,,,,,,,
6/30/2010,5.89,0.00485,2274.56%,2729.83%,-2.04%,-1.96%,,,,,,,
5/31/2010,6.01,0.00012,2324.08%,2786.50%,-8.16%,-8.16%,,,,,,,
4/30/2010,6.55,0.00018,2539.39%,3042.82%,-0.23%,-0.23%,,,,,,,
,,,,,,,,,,,,,
3/31/2010,6.56,0.05566,2545.44%,3049.94%,4.17%,5.06%,,,,,,,
2/26/2010,6.3,0.00219,2439.50%,2898.28%,0.91%,0.94%,,,,,,,
1/29/2010,6.24,--,2416.67%,2870.28%,2.14%,2.14%,,,,,,,
,,,,,,,,,,,,,
12/31/2009,6.11,0.00516,2363.89%,2807.99%,0.84%,0.92%,,,,,,,
11/30/2009,6.06,0.00009,2343.35%,2781.37%,-1.77%,-1.77%,,,,,,,
10/30/2009,6.17,0.00019,2387.39%,2833.26%,-1.78%,-1.78%,,,,,,,
,,,,,,,,,,,,,
9/30/2009,6.28,0.04122,2432.54%,2886.41%,-2.42%,-1.79%,,,,,,,
8/31/2009,6.44,0.00153,2495.47%,2940.94%,3.22%,3.25%,,,,,,,
7/31/2009,6.24,0.00016,2414.45%,2845.30%,4.69%,4.69%,,,,,,,
,,,,,,,,,,,,,
6/30/2009,5.96,0.00414,2301.86%,2713.34%,2.04%,2.11%,,,,,,,
5/29/2009,5.84,0.00012,2253.82%,2655.15%,10.66%,10.66%,,,,,,,
4/30/2009,5.28,0.00018,2027.17%,2389.80%,9.71%,9.71%,,,,,,,
,,,,,,,,,,,,,
3/31/2009,4.81,0.05134,1838.90%,2169.36%,0.75%,1.75%,,,,,,,
2/27/2009,4.77,0.00213,1824.43%,2130.38%,-12.41%,-12.37%,,,,,,,
