,,,,,,,,,,,
,,,,,,,,,,,
MXKR Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,,,
MSCI Korea Index Max Cuml Total Return 1013.0947% On 06/30/2021,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
12/30/2022,0.53,0.00762,322.58%,584.94%,-6.04%,-4.71%,,,,,
11/30/2022,0.57,--,349.75%,618.78%,15.29%,15.29%,,,,,
10/31/2022,0.49,--,290.10%,523.44%,8.54%,8.54%,,,,,
,,,,,,,,,,,
9/30/2022,0.45,0.00149,259.40%,474.38%,-18.58%,-18.32%,,,,,
8/31/2022,0.55,--,341.44%,603.20%,-3.14%,-3.14%,,,,,
7/29/2022,0.57,--,355.73%,625.97%,4.38%,4.38%,,,,,
,,,,,,,,,,,
6/30/2022,0.55,0.00216,336.61%,595.50%,-16.52%,-16.19%,,,,,
5/31/2022,0.66,--,423.01%,729.89%,2.06%,2.06%,,,,,
4/29/2022,0.64,--,412.46%,713.16%,-6.58%,-6.58%,,,,,
,,,,,,,,,,,
3/31/2022,0.69,0.00181,448.55%,770.43%,-0.38%,-0.12%,,,,,
2/28/2022,0.69,--,450.62%,771.43%,0.99%,0.99%,,,,,
1/31/2022,0.69,--,445.21%,762.86%,-10.47%,-10.47%,,,,,
,,,,,,,,,,,
12/31/2021,0.77,0.00931,508.97%,863.78%,5.04%,6.30%,,,,,
11/30/2021,0.73,--,479.76%,806.64%,-3.75%,-3.75%,,,,,
10/29/2021,0.76,--,502.33%,841.93%,-2.78%,-2.78%,,,,,
,,,,,,,,,,,
9/30/2021,0.78,0.00168,519.56%,868.88%,-6.93%,-6.73%,,,,,
8/31/2021,0.84,--,565.67%,938.73%,-1.34%,-1.34%,,,,,
7/30/2021,0.85,0.00005,574.72%,952.86%,-5.42%,-5.41%,,,,,
,,,,,,,,,,,
6/30/2021,0.9,0.0025,613.37%,1013.10%,0.60%,0.88%,,,,,
5/31/2021,0.89,--,609.13%,1003.39%,1.01%,1.01%,,,,,
4/30/2021,0.88,--,602.07%,992.40%,2.22%,2.22%,,,,,
,,,,,,,,,,,
3/31/2021,0.86,0.00159,586.85%,968.72%,0.89%,1.08%,,,,,
2/26/2021,0.86,--,580.78%,957.32%,-0.40%,-0.40%,,,,,
1/29/2021,0.86,--,583.50%,961.54%,1.00%,1.00%,,,,,
,,,,,,,,,,,
12/31/2020,0.85,0.01531,576.71%,951.00%,15.50%,17.63%,,,,,
11/30/2020,0.74,--,485.89%,793.48%,18.09%,18.09%,,,,,
10/30/2020,0.62,--,396.12%,656.58%,0.28%,0.28%,,,,,
,,,,,,,,,,,
9/30/2020,0.62,0.00145,394.74%,654.48%,2.93%,3.18%,,,,,
8/31/2020,0.6,--,380.64%,631.26%,2.39%,2.39%,,,,,
7/31/2020,0.59,--,369.42%,614.18%,6.75%,6.75%,,,,,
,,,,,,,,,,,
6/30/2020,0.55,0.00153,339.75%,569.05%,7.91%,8.21%,,,,,
5/29/2020,0.51,--,307.53%,518.30%,1.86%,1.86%,,,,,
4/30/2020,0.5,--,300.10%,507.03%,8.79%,8.79%,,,,,
,,,,,,,,,,,
3/31/2020,0.46,0.00141,267.79%,458.01%,-12.54%,-12.27%,,,,,
2/28/2020,0.53,--,320.52%,536.02%,-6.18%,-6.18%,,,,,
1/31/2020,0.56,--,348.23%,577.94%,-5.71%,-5.71%,,,,,
,,,,,,,,,,,
12/31/2019,0.6,0.00816,375.36%,618.96%,8.78%,10.26%,,,,,
11/29/2019,0.55,--,337.01%,552.08%,-0.89%,-0.89%,,,,,
10/31/2019,0.55,--,340.93%,557.93%,4.23%,4.23%,,,,,
,,,,,,,,,,,
9/30/2019,0.53,0.0015,323.05%,531.26%,6.53%,6.84%,,,,,
8/30/2019,0.5,--,297.11%,490.86%,-4.89%,-4.89%,,,,,
7/31/2019,0.52,--,317.53%,521.25%,-5.89%,-5.89%,,,,,
,,,,,,,,,,,
6/28/2019,0.56,0.00199,343.66%,560.13%,8.06%,8.45%,,,,,
5/31/2019,0.52,--,310.56%,508.71%,-9.53%,-9.53%,,,,,
4/30/2019,0.57,--,353.79%,572.80%,0.93%,0.93%,,,,,
,,,,,,,,,,,
3/29/2019,0.56,0.00158,349.60%,566.58%,-3.42%,-3.15%,,,,,
2/28/2019,0.58,--,365.51%,588.23%,-1.93%,-1.93%,,,,,
1/31/2019,0.6,--,374.66%,601.76%,10.11%,10.11%,,,,,
,,,,,,,,,,,
12/31/2018,0.54,0.00897,331.07%,537.32%,-3.03%,-1.41%,,,,,
11/30/2018,0.56,--,344.56%,546.44%,3.60%,3.60%,,,,,
10/31/2018,0.54,--,329.13%,524.00%,-14.48%,-14.48%,,,,,
,,,,,,,,,,,
9/28/2018,0.63,0.00163,401.78%,629.64%,0.49%,0.75%,,,,,
8/31/2018,0.63,--,399.32%,624.20%,0.89%,0.89%,,,,,
