,,,,,,,,,,,
,,,,,,,,,,,
MXRU Index Settings Total Return Analysis,,,,,,,,,,,
Range12/30/1994 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 336 Month Holding Period Chart,,,,,,,,,,,
MSCI Russia Index Max Cuml Total Return 2151.0020% On 05/30/2008,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
12/30/2022,0,--,-100.00%,-100.00%,-18.18%,-18.18%,,,,,
11/30/2022,0,--,-100.00%,-100.00%,10.00%,10.00%,,,,,
10/31/2022,0,--,-100.00%,-100.00%,0.00%,0.00%,,,,,
,,,,,,,,,,,
9/30/2022,0,--,-100.00%,-100.00%,-9.09%,-9.09%,,,,,
8/31/2022,0,--,-100.00%,-100.00%,10.00%,10.00%,,,,,
7/29/2022,0,--,-100.00%,-100.00%,-16.67%,-16.67%,,,,,
,,,,,,,,,,,
6/30/2022,0,0.00003,-100.00%,-100.00%,20.00%,23.09%,,,,,
5/31/2022,0,--,-100.00%,-100.00%,0.00%,0.00%,,,,,
4/29/2022,0,--,-100.00%,-100.00%,0.00%,0.00%,,,,,
,,,,,,,,,,,
3/31/2022,0,--,-100.00%,-100.00%,-100.00%,-100.00%,,,,,
2/28/2022,325.37,--,225.37%,731.01%,-52.75%,-52.75%,,,,,
1/31/2022,688.61,3.90954,588.61%,1658.74%,-9.14%,-8.65%,,,,,
,,,,,,,,,,,
12/31/2021,757.85,7.96577,657.85%,1825.20%,-3.19%,-2.15%,,,,,
11/30/2021,782.85,--,682.85%,1867.60%,-10.86%,-10.86%,,,,,
10/29/2021,878.22,4.23916,778.22%,2107.30%,3.86%,4.35%,,,,,
,,,,,,,,,,,
9/30/2021,845.61,2.12923,745.61%,2015.24%,6.10%,6.37%,,,,,
8/31/2021,797.02,--,697.02%,1888.51%,3.58%,3.58%,,,,,
7/30/2021,769.48,13.44508,669.48%,1819.80%,-2.01%,-0.29%,,,,,
,,,,,,,,,,,
6/30/2021,785.25,2.18459,685.25%,1825.43%,3.91%,4.20%,,,,,
5/31/2021,755.69,13.42653,655.69%,1747.80%,7.90%,9.87%,,,,,
4/30/2021,700.39,--,600.39%,1581.87%,-0.09%,-0.09%,,,,,
,,,,,,,,,,,
3/31/2021,701.05,0.08011,601.05%,1583.45%,5.21%,5.22%,,,,,
2/26/2021,666.36,--,566.36%,1499.96%,2.52%,2.52%,,,,,
1/29/2021,649.97,0.67709,549.97%,1460.61%,-2.81%,-2.71%,,,,,
,,,,,,,,,,,
12/31/2020,668.73,3.43426,568.73%,1504.06%,9.67%,10.23%,,,,,
11/30/2020,609.79,--,509.79%,1355.14%,20.78%,20.78%,,,,,
10/30/2020,504.86,9.40057,404.86%,1104.74%,-9.91%,-8.35%,,,,,
,,,,,,,,,,,
9/30/2020,560.41,0.4465,460.41%,1214.53%,-7.44%,-7.37%,,,,,
8/31/2020,605.46,0.35276,505.46%,1319.12%,0.19%,0.25%,,,,,
7/31/2020,604.3,16.76912,504.30%,1315.59%,0.26%,3.05%,,,,,
,,,,,,,,,,,
6/30/2020,602.76,2.36456,502.76%,1273.68%,-2.31%,-1.94%,,,,,
5/29/2020,616.99,4.11624,516.99%,1300.81%,7.99%,8.74%,,,,,
4/30/2020,571.36,--,471.36%,1188.22%,11.49%,11.49%,,,,,
,,,,,,,,,,,
3/31/2020,512.48,--,412.48%,1055.47%,-23.31%,-23.31%,,,,,
2/28/2020,668.21,0.2325,568.21%,1406.59%,-14.45%,-14.42%,,,,,
1/31/2020,781.04,1.65637,681.04%,1660.46%,-3.20%,-3.01%,,,,,
,,,,,,,,,,,
12/31/2019,806.83,8.31915,706.83%,1715.00%,7.29%,8.41%,,,,,
11/29/2019,752,--,652.00%,1574.16%,-0.68%,-0.68%,,,,,
10/31/2019,757.15,6.04036,657.15%,1585.63%,7.81%,8.75%,,,,,
,,,,,,,,,,,
9/30/2019,702.33,3.57743,602.33%,1450.07%,2.76%,3.27%,,,,,
8/30/2019,683.49,--,583.49%,1401.00%,-4.72%,-4.72%,,,,,
7/31/2019,717.35,20.13612,617.35%,1475.36%,-2.03%,0.71%,,,,,
,,,,,,,,,,,
6/28/2019,732.21,14.14368,632.21%,1464.25%,6.92%,9.05%,,,,,
5/31/2019,684.79,3.17312,584.79%,1334.47%,3.12%,3.62%,,,,,
