,,,,,,,,,
,,,,,,,,,
MXTR Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1987 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 420 Month Holding Period Chart,,,,,,,,,
MSCI Turkey Index Max Cuml Total Return 996.2821% On 04/30/2013,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/30/2022,287777.6,306.198,187.78%,530.86%,8.20%,8.33%,,,
11/30/2022,265965.7,241.1406,165.97%,482.37%,22.25%,22.36%,,,
10/31/2022,217558.6,--,117.56%,375.93%,22.86%,22.86%,,,
,,,,,,,,,
9/30/2022,177076.3,--,77.08%,287.37%,-3.91%,-3.91%,,,
8/31/2022,184276.8,--,84.28%,303.12%,22.66%,22.66%,,,
7/29/2022,150239.9,323.2904,50.24%,228.66%,-1.45%,-1.23%,,,
,,,,,,,,,
6/30/2022,152448,330.2724,52.45%,232.77%,-10.18%,-9.99%,,,
5/31/2022,169730.6,335.5931,69.73%,269.71%,-6.98%,-6.80%,,,
4/29/2022,182476.3,403.2246,82.48%,296.69%,6.09%,6.33%,,,
,,,,,,,,,
3/31/2022,172004.7,4882.931,72.01%,273.08%,5.39%,8.44%,,,
2/28/2022,163211.1,--,63.21%,244.04%,-0.97%,-0.97%,,,
1/31/2022,164804.3,--,64.80%,247.40%,4.94%,4.94%,,,
,,,,,,,,,
12/31/2021,157053.7,--,57.05%,231.06%,4.57%,4.57%,,,
11/30/2021,150185.7,1039.647,50.19%,216.59%,-15.68%,-15.19%,,,
10/29/2021,178109.5,432.2481,78.11%,273.29%,0.47%,0.71%,,,
,,,,,,,,,
9/30/2021,177277.2,--,77.28%,270.65%,-12.65%,-12.65%,,,
8/31/2021,202941.4,--,102.94%,324.31%,9.27%,9.27%,,,
7/30/2021,185717,487.8722,85.72%,288.30%,6.65%,6.93%,,,
,,,,,,,,,
6/30/2021,174145.2,--,74.15%,263.15%,-3.74%,-3.74%,,,
5/31/2021,180913.6,1068.553,80.91%,277.27%,0.97%,1.56%,,,
4/30/2021,179178.7,1890.991,79.18%,271.48%,0.45%,1.49%,,,
,,,,,,,,,
3/31/2021,178373.2,3318.086,78.37%,266.03%,-16.70%,-15.23%,,,
2/26/2021,214140.2,--,114.14%,331.78%,-2.31%,-2.31%,,,
1/29/2021,219202,955.4772,119.20%,341.98%,-3.71%,-3.32%,,,
,,,,,,,,,
12/31/2020,227647.5,33.88257,127.65%,357.18%,20.26%,20.28%,,,
11/30/2020,189291.9,431.2253,89.29%,280.09%,23.53%,23.81%,,,
10/30/2020,153233.9,32.23759,53.23%,206.99%,-12.49%,-12.48%,,,
,,,,,,,,,
9/30/2020,175107.9,--,75.11%,250.74%,0.29%,0.29%,,,
8/31/2020,174596.1,--,74.60%,249.72%,-8.10%,-8.10%,,,
7/31/2020,189990.3,836.3879,89.99%,280.55%,-8.81%,-8.44%,,,
,,,,,,,,,
6/30/2020,208353.1,--,108.35%,315.64%,7.36%,7.36%,,,
5/29/2020,194069.3,252.6208,94.07%,287.14%,5.72%,5.87%,,,
4/30/2020,183568.2,570.6216,83.57%,265.68%,4.38%,4.72%,,,
,,,,,,,,,
3/31/2020,175873.4,530.4088,75.87%,249.20%,-19.54%,-19.30%,,,
2/28/2020,218595.3,--,118.60%,332.71%,-14.75%,-14.75%,,,
1/31/2020,256430.4,--,156.43%,407.60%,1.53%,1.53%,,,
,,,,,,,,,
