,,,,,,,,,
,,,,,,,,,
MXUS Index Settings Total Return Analysis,,,,,,,,,
Range12/31/1969 -12/30/2022 Period Monthly Currency USD,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 636 Month Holding Period Chart,,,,,,,,,
MSCI USA Price Return USD Index Max Cuml Total Return 7537.8452% On 12/31/2021,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,
12/30/2022,3640.19,5.35936,3540.19%,6051.41%,-6.02%,-5.88%,,,
11/30/2022,3873.16,7.31082,3773.16%,6435.70%,5.23%,5.44%,,,
10/31/2022,3680.53,3.54842,3580.53%,6098.45%,7.83%,7.94%,,,
,,,,,,,,,
9/30/2022,3413.25,5.17357,3313.25%,5642.60%,-9.40%,-9.27%,,,
8/31/2022,3767.45,6.74949,3667.45%,6229.63%,-4.08%,-3.92%,,,
7/29/2022,3927.71,3.89075,3827.71%,6487.67%,9.21%,9.33%,,,
,,,,,,,,,
6/30/2022,3596.34,5.59693,3496.34%,5925.63%,-8.42%,-8.28%,,,
5/31/2022,3926.84,6.62023,3826.84%,6469.43%,-0.39%,-0.22%,,,
4/29/2022,3942.29,3.43713,3842.29%,6483.85%,-9.14%,-9.07%,,,
,,,,,,,,,
3/31/2022,4338.85,5.46287,4238.85%,7140.21%,3.38%,3.52%,,,
2/28/2022,4196.99,6.10283,4096.99%,6894.31%,-3.07%,-2.93%,,,
1/31/2022,4329.86,3.7122,4229.86%,7105.40%,-5.74%,-5.66%,,,
,,,,,,,,,
12/31/2021,4593.59,5.20574,4493.59%,7537.85%,3.83%,3.95%,,,
11/30/2021,4424.07,6.1374,4324.07%,7247.46%,-1.14%,-1.01%,,,
10/29/2021,4475.12,3.63209,4375.12%,7322.18%,6.89%,6.97%,,,
,,,,,,,,,
9/30/2021,4186.85,4.70256,4086.85%,6838.25%,-4.83%,-4.72%,,,
8/31/2021,4399.11,5.70259,4299.11%,7182.08%,2.82%,2.95%,,,
7/30/2021,4278.63,4.06194,4178.63%,6973.33%,2.27%,2.36%,,,
,,,,,,,,,
6/30/2021,4183.8,4.52711,4083.80%,6809.94%,2.67%,2.78%,,,
5/31/2021,4074.95,5.74241,3974.95%,6622.76%,0.34%,0.48%,,,
4/30/2021,4061.26,3.46446,3961.26%,6590.63%,5.35%,5.44%,,,
,,,,,,,,,
3/31/2021,3854.97,4.80769,3754.97%,6245.29%,3.63%,3.76%,,,
2/26/2021,3719.93,5.30205,3619.93%,6015.26%,2.47%,2.61%,,,
1/29/2021,3630.3,3.66081,3530.30%,5859.62%,-1.03%,-0.93%,,,
,,,,,,,,,
12/31/2020,3667.92,4.96263,3567.92%,5915.41%,3.98%,4.12%,,,
