,,,,,,,,,,,
,,,,,,,,,,,
MXZA Index Settings Total Return Analysis,,,,,,,,,,,
Range12/31/1992 -12/30/2022 Period Monthly Currency USD,,,,,,,,,,,
Price  Open  Close Dividends  Net  Gross 360 Month Holding Period Chart,,,,,,,,,,,
MSCI South Africa Index Max Cuml Total Return 725.5778% On 02/28/2018,,,,,,,,,,,
Date,Close Price,Dividends,Prc Appr,Total Return,Period Appr,Period Return,,,,,
12/30/2022,86.37,0.0266,163.86%,556.84%,-4.25%,-4.22%,,,,,
11/30/2022,90.2,0.05875,175.56%,585.75%,19.65%,19.73%,,,,,
10/31/2022,75.39,0.42085,130.31%,472.76%,3.17%,3.76%,,,,,
,,,,,,,,,,,
9/30/2022,73.07,1.16453,123.23%,452.00%,-10.09%,-8.75%,,,,,
8/31/2022,81.27,0.26567,148.28%,504.91%,-4.75%,-4.46%,,,,,
7/29/2022,85.32,0.02394,160.66%,533.14%,-0.35%,-0.32%,,,,,
,,,,,,,,,,,
6/30/2022,85.62,0.11424,161.58%,535.19%,-12.18%,-12.06%,,,,,
5/31/2022,97.5,0.14542,197.86%,622.33%,0.64%,0.79%,,,,,
4/29/2022,96.88,0.69926,195.97%,616.64%,-12.77%,-12.21%,,,,,
,,,,,,,,,,,
3/31/2022,111.07,1.00245,239.31%,716.26%,6.57%,7.55%,,,,,
2/28/2022,104.22,--,218.40%,658.95%,4.20%,4.20%,,,,,
1/31/2022,100.02,0.05669,205.55%,628.32%,7.12%,7.18%,,,,,
,,,,,,,,,,,
12/31/2021,93.37,0.13965,185.24%,579.53%,3.99%,4.15%,,,,,
11/30/2021,89.78,0.00773,174.29%,552.44%,-3.56%,-3.56%,,,,,
10/29/2021,93.1,0.32019,184.43%,576.50%,-0.57%,-0.25%,,,,,
,,,,,,,,,,,
9/30/2021,93.64,1.16384,186.07%,578.20%,-5.94%,-4.77%,,,,,
8/31/2021,99.55,0.21696,204.13%,612.20%,0.14%,0.36%,,,,,
7/30/2021,99.41,--,203.71%,609.64%,-1.26%,-1.26%,,,,,
,,,,,,,,,,,
6/30/2021,100.68,0.12302,207.58%,618.68%,-8.02%,-7.91%,,,,,
5/31/2021,109.46,0.02588,234.40%,680.41%,6.74%,6.77%,,,,,
4/30/2021,102.54,0.42961,213.27%,630.92%,-0.37%,0.04%,,,,,
,,,,,,,,,,,
3/31/2021,102.92,0.79626,214.43%,630.63%,5.55%,6.38%,,,,,
2/26/2021,97.51,--,197.88%,586.82%,3.80%,3.80%,,,,,
1/29/2021,93.94,0.0493,186.98%,561.67%,1.55%,1.60%,,,,,
,,,,,,,,,,,
12/31/2020,92.5,0.12957,182.59%,551.23%,9.55%,9.71%,,,,,
11/30/2020,84.44,0.06162,157.96%,493.59%,11.01%,11.09%,,,,,
10/30/2020,76.06,--,132.38%,434.33%,0.42%,0.42%,,,,,
,,,,,,,,,,,
9/30/2020,75.75,0.2215,131.41%,432.12%,-1.28%,-0.99%,,,,,
8/31/2020,76.73,0.04695,134.41%,437.45%,-1.24%,-1.18%,,,,,
7/31/2020,77.69,--,137.36%,443.87%,6.01%,6.01%,,,,,
,,,,,,,,,,,
6/30/2020,73.29,0.059,123.90%,413.02%,9.96%,10.05%,,,,,
5/29/2020,66.65,0.00202,103.61%,366.16%,2.88%,2.89%,,,,,
4/30/2020,64.78,0.74177,97.90%,353.09%,10.77%,12.19%,,,,,
,,,,,,,,,,,
3/31/2020,58.48,0.25967,78.66%,303.88%,-24.78%,-24.49%,,,,,
2/28/2020,77.74,--,137.50%,434.87%,-13.10%,-13.10%,,,,,
1/31/2020,89.45,0.04054,173.28%,515.47%,-8.78%,-8.74%,,,,,
,,,,,,,,,,,
12/31/2019,98.06,0.09362,199.57%,574.39%,9.63%,9.74%,,,,,
11/29/2019,89.45,0.17785,173.26%,514.52%,-0.09%,0.10%,,,,,
10/31/2019,89.53,0.19902,173.51%,513.90%,2.95%,3.19%,,,,,
,,,,,,,,,,,
9/30/2019,86.96,0.69556,165.67%,494.94%,-1.86%,-1.12%,,,,,
8/30/2019,88.61,0.13488,170.71%,501.67%,-9.10%,-8.95%,,,,,
7/31/2019,97.48,0.0512,197.80%,560.84%,-2.76%,-2.71%,,,,,
,,,,,,,,,,,
6/28/2019,100.24,0.15783,206.24%,579.24%,6.50%,6.67%,,,,,
5/31/2019,94.12,0.09603,187.55%,536.76%,-7.52%,-7.43%,,,,,
4/30/2019,101.78,0.73768,210.95%,587.88%,7.32%,8.10%,,,,,
,,,,,,,,,,,
3/29/2019,94.84,0.47878,189.73%,536.34%,-2.07%,-1.57%,,,,,
2/28/2019,96.84,--,195.84%,546.47%,-5.08%,-5.08%,,,,,
1/31/2019,102.02,0.10927,211.68%,581.08%,11.75%,11.88%,,,,,
,,,,,,,,,,,
12/31/2018,91.3,0.06708,178.91%,508.77%,-0.32%,-0.25%,,,,,
11/30/2018,91.59,0.15988,179.82%,510.30%,8.22%,8.41%,,,,,
10/31/2018,84.63,0.17778,158.56%,462.97%,-10.98%,-10.81%,,,,,
,,,,,,,,,,,
9/28/2018,95.08,0.81791,190.45%,531.19%,-2.62%,-1.74%,,,,,
8/31/2018,97.63,0.11222,198.26%,542.40%,-10.34%,-10.24%,,,,,
7/31/2018,108.89,0.04777,232.66%,615.69%,5.42%,5.47%,,,,,
,,,,,,,,,,,
6/29/2018,103.29,0.17108,215.56%,578.59%,-4.67%,-4.51%,,,,,
5/31/2018,108.35,0.13626,231.01%,610.63%,-7.18%,-7.07%,,,,,
4/30/2018,116.73,0.52644,256.61%,664.69%,-1.29%,-0.84%,,,,,
,,,,,,,,,,,
3/30/2018,118.25,0.80592,261.26%,671.20%,-7.18%,-6.59%,,,,,
2/28/2018,127.4,0.02464,289.21%,725.58%,0.01%,0.03%,,,,,
1/31/2018,127.39,0.11568,289.16%,725.33%,2.66%,2.75%,,,,,
,,,,,,,,,,,
12/29/2017,124.09,0.06378,279.09%,703.22%,9.11%,9.18%,,,,,
11/30/2017,113.73,0.15741,247.43%,635.71%,8.34%,8.49%,,,,,
10/31/2017,104.98,0.18719,220.70%,578.16%,2.56%,2.74%,,,,,
,,,,,,,,,,,
9/29/2017,102.36,0.75225,212.70%,560.06%,-7.12%,-6.47%,,,,,
8/31/2017,110.2,0.14195,236.67%,605.72%,3.98%,4.12%,,,,,
7/31/2017,105.98,0.04544,223.78%,577.80%,6.06%,6.11%,,,,,
,,,,,,,,,,,
