International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1 1965,Q2 1965,Q3 1965,Q4 1965,Q1 1966,Q2 1966,Q3 1966,Q4 1966,Q1 1967,Q2 1967,Q3 1967,Q4 1967,Q1 1968,Q2 1968,Q3 1968,Q4 1968,Q1 1969,Q2 1969,Q3 1969,Q4 1969,Q1 1970,Q2 1970,Q3 1970,Q4 1970,Q1 1971,Q2 1971,Q3 1971,Q4 1971,Q1 1972,Q2 1972,Q3 1972,Q4 1972,Q1 1973,Q2 1973,Q3 1973,Q4 1973,Q1 1974,Q2 1974,Q3 1974,Q4 1974,Q1 1975,Q2 1975,Q3 1975,Q4 1975,Q1 1976,Q2 1976,Q3 1976,Q4 1976,Q1 1977,Q2 1977,Q3 1977,Q4 1977,Q1 1978,Q2 1978,Q3 1978,Q4 1978,Q1 1979,Q2 1979,Q3 1979,Q4 1979,Q1 1980,Q2 1980,Q3 1980,Q4 1980,Q1 1981,Q2 1981,Q3 1981,Q4 1981,Q1 1982,Q2 1982,Q3 1982,Q4 1982,Q1 1983,Q2 1983,Q3 1983,Q4 1983,Q1 1984,Q2 1984,Q3 1984,Q4 1984,Q1 1985,Q2 1985,Q3 1985,Q4 1985,Q1 1986,Q2 1986,Q3 1986,Q4 1986,Q1 1987,Q2 1987,Q3 1987,Q4 1987,Q1 1988,Q2 1988,Q3 1988,Q4 1988,Q1 1989,Q2 1989,Q3 1989,Q4 1989,Q1 1990,Q2 1990,Q3 1990,Q4 1990,Q1 1991,Q2 1991,Q3 1991,Q4 1991,Q1 1992,Q2 1992,Q3 1992,Q4 1992,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,834.40","117,602.20","123,384.90","125,293.60","128,770.90","131,663.70","132,449.90","135,171.40","138,559.80","140,375.20","144,176.10","147,438.30","150,818.30","154,056.00","156,081.10","160,987.10","162,476.90","163,283.60","164,530.80","156,884.80","151,215.90","147,650.90","153,542.30","156,463.80","161,286.30","168,302.50","169,354.30","171,580.50","175,694.40","177,359.80","178,864.50","178,862.80","176,980.50","170,976.10","176,259.70","179,269.60","179,208.90","180,384.20","181,220.50","179,593.60","176,916.30","175,881.90","174,209.80","175,297.90","177,861.50","182,007.90","181,786.40","179,831.30","178,224.10","175,315.80","175,908.60","177,029.40","178,589.50","180,475.60","182,765.50","184,559.30","183,896.50","175,633.20","175,189.20","172,658.60","172,796.20","174,334.60","174,392.20","171,700.80","164,238.20","140,380.40","156,220.90","163,751.80","169,589.70","169,591.70","174,155.20","178,198.40","179,556.50","182,631.40","183,459.50","180,162.60"
Australia,"88,065.00","89,446.00","89,182.00","89,398.00","89,140.00","90,362.00","92,917.00","93,527.00","97,178.00","97,039.00","98,861.00","99,720.00","98,833.00","102,637.00","103,995.00","107,870.00","107,124.00","109,247.00","111,058.00","113,616.00","115,980.00","118,313.00","118,063.00","118,624.00","120,061.00","120,581.00","124,366.00","123,963.00","122,460.00","125,206.00","124,572.00","125,888.00","129,139.00","129,388.00","130,695.00","133,954.00","133,977.00","131,265.00","132,830.00","132,959.00","133,483.00","137,700.00","136,191.00","134,131.00","140,057.00","140,494.00","141,631.00","142,861.00","142,085.00","144,099.00","143,484.00","143,026.00","144,039.00","145,225.00","147,433.00","148,653.00","152,728.00","150,278.00","151,679.00","154,604.00","155,297.00","155,699.00","156,530.00","159,219.00","159,840.00","162,302.00","165,586.00","164,908.00","163,582.00","165,026.00","163,940.00","161,330.00","159,745.00","159,424.00","163,888.00","166,616.00","170,787.00","172,739.00","174,296.00","175,445.00","177,973.00","181,893.00","184,314.00","183,783.00","184,999.00","184,658.00","185,185.00","188,247.00","190,092.00","193,108.00","196,611.00","200,581.00","201,438.00","201,572.00","203,241.00","206,430.00","208,561.00","212,982.00","214,729.00","214,142.00","215,914.00","216,152.00","214,944.00","216,227.00","213,421.00","213,050.00","214,013.00","214,128.00","215,824.00","217,349.00","219,509.00","224,086.00","225,634.00","226,947.00","227,237.00","231,416.00","235,200.00","237,997.00","239,849.00","242,381.00","242,412.00","243,430.00","248,934.00","248,888.00","252,987.00","254,599.00","256,634.00","259,025.00","260,654.00","268,436.00","268,779.00","272,690.00","274,460.00","277,018.00","282,291.00","286,568.00","288,660.00","289,598.00","292,953.00","297,924.00","299,120.00","301,871.00","302,709.00","301,586.00","304,709.00","307,195.00","310,801.00","314,584.00","316,953.00","322,431.00","323,398.00","326,035.00","326,650.00","328,039.00","333,753.00","339,286.00","341,883.00","344,189.00","346,827.00","349,420.00","352,071.00","353,655.00","357,640.00","360,399.00","360,765.00","361,593.00","366,976.00","371,682.00","376,824.00","379,333.00","383,600.00","385,175.00","389,049.00","390,329.00","392,971.00","391,351.00","394,964.00","397,825.00","399,166.00","402,222.00","403,958.00","406,564.00","409,339.00","412,790.00","411,551.00","416,777.00","422,465.00","426,994.00","431,139.00","434,261.00","436,763.00","438,844.00","440,891.00","442,584.00","446,148.00","449,737.00","453,233.00","455,330.00","457,317.00","459,019.00","463,294.00","463,663.00","468,359.00","471,247.00","475,521.00","478,498.00","478,840.00","483,965.00","485,563.00","488,473.00","493,017.00","495,418.00","500,335.00","503,912.00","506,123.00","507,346.00","510,216.00","512,265.00","515,898.00","518,640.00","517,562.00","482,814.00","501,105.00","517,892.00","528,922.00","532,500.00","521,416.00","541,672.00","545,026.00","548,968.00","552,670.00","556,278.00"
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175,454.80","177,649.10","183,831.10","182,459.10","184,289.90","185,336.90","187,328.60","189,243.60","185,509.60","188,514.00","188,363.30","186,471.10","186,771.60","187,534.50","187,737.90","190,318.30","192,384.00","194,945.60","197,613.90","199,859.40","200,338.10","199,593.30","198,720.90","197,778.00","202,789.10","203,550.20","206,079.30","208,093.80","207,427.20","205,712.70","207,397.70","209,563.80","212,705.00","218,449.60","221,075.50","222,929.30","224,808.10","227,357.80","225,837.80","229,040.50","232,338.40","233,303.90","237,088.00","240,117.70","244,330.80","248,570.90","251,058.10","254,804.50","258,207.20","263,481.80","267,392.10","257,467.70","254,045.50","258,481.80","264,568.10","271,228.00","277,076.80","280,519.80","283,004.60","286,880.30","291,091.80","293,667.30","293,195.40","295,890.50","291,836.60","296,813.70","301,975.20","302,161.70","303,634.10","308,056.30","309,313.60","309,869.40","312,204.50","308,084.70","307,796.80","309,138.10","306,628.30","299,652.30","294,990.20","292,128.70","288,095.60","288,998.40","287,604.00","287,231.30","290,027.20","292,294.80","293,413.00","294,936.70","296,297.30","296,372.60","299,196.40","298,243.20","299,065.70","301,140.90","301,179.60","303,216.30","296,349.70","270,773.20","292,269.30","302,228.70","304,818.30","304,244.40","305,503.40","308,978.90","311,913.80","315,147.20","316,560.90","316,848.00"
Canada,"111,793.00","112,864.00","114,401.00","117,214.80","119,458.50","121,991.00","121,961.80","123,453.80","123,182.30","125,774.30","126,224.30","126,735.00","127,785.80","131,258.50","133,053.80","134,891.00","136,655.50","137,329.00","138,803.50","140,790.30","141,700.00","141,694.30","143,157.30","143,412.50","142,589.80","146,725.80","150,805.30","152,472.80","151,940.00","156,240.00","156,675.50","160,387.80","164,576.00","166,361.00","166,963.30","170,083.50","171,344.50","173,219.50","173,067.30","172,264.50","171,182.00","173,406.80","176,663.30","178,724.00","181,821.00","185,755.30","186,582.50","186,967.00","189,625.80","190,644.50","191,653.00","194,683.30","196,320.30","197,667.00","199,553.80","201,303.80","202,978.50","205,712.80","207,136.30","208,515.00","209,975.00","209,908.30","209,667.30","212,561.00","217,245.80","219,687.50","217,715.30","216,718.50","214,169.00","211,690.80","209,835.30","207,899.30","211,377.00","215,531.50","217,942.00","220,688.50","224,485.00","228,875.80","229,838.30","233,480.00","237,027.50","237,783.00","240,799.80","244,495.50","244,422.00","245,811.50","246,121.80","244,344.50","249,982.00","253,210.80","257,064.80","260,385.80","264,182.00","266,521.80","266,546.00","268,405.00","271,466.80","272,504.30","273,479.30","272,895.50","275,468.30","274,327.50","272,386.50","269,959.00","266,106.50","267,347.30","267,705.30","268,199.30","268,394.80","268,722.50","270,165.50","271,702.50","273,441.30","275,930.80","278,560.50","279,763.00","283,885.50","288,034.00","291,716.30","293,844.80","296,576.00","296,695.80","297,086.80","298,304.30","298,509.50","300,588.00","303,185.00","305,626.80","309,658.50","313,156.50","316,862.50","319,930.80","324,449.50","324,622.80","327,577.50","332,034.80","338,057.30","340,885.30","346,219.00","351,089.30","356,705.80","360,945.50","364,616.30","365,240.50","367,175.00","368,164.50","367,919.30","370,159.30","375,653.30","377,867.30","381,137.50","383,228.50","385,349.00","384,780.80","386,218.50","388,883.30","391,684.30","396,336.80","401,015.30","403,896.30","405,294.00","408,234.50","413,179.80","417,265.00","420,649.00","420,866.30","422,041.50","423,723.80","426,434.00","430,565.80","432,373.50","432,864.80","433,196.50","434,763.30","438,328.50","433,246.00","423,456.00","418,835.00","420,719.50","425,625.80","430,760.30","433,014.30","436,083.00","440,956.30","444,287.00","445,152.50","451,294.00","454,848.00","455,139.50","456,624.00","457,246.00","458,191.50","462,301.50","464,984.50","468,774.00","473,698.80","474,473.00","478,806.50","483,398.50","486,743.50","484,068.80","482,751.30","484,458.80","484,821.50","487,480.80","485,083.80","490,086.00","492,837.80","498,194.50","503,291.30","505,414.50","508,032.50","512,479.00","516,502.50","520,067.00","521,839.80","522,209.00","527,369.00","529,341.50","531,071.80","519,768.80","462,967.00","504,717.00","515,470.00","522,217.00","519,143.30","526,571.50","535,373.50","538,812.50","543,645.50","546,681.00","546,477.50"
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"281,379.14","279,192.16","279,590.22","279,119.41","279,999.48","281,907.24","283,822.44","285,470.59","287,857.28","289,892.57","289,756.82","291,528.65","292,681.17","292,723.77","293,154.77","294,890.56","296,066.07","297,421.29","299,391.66","299,128.19","299,994.63","302,638.21","304,246.47","305,695.01","306,702.71","309,984.82","311,551.04","311,880.98","312,252.57","316,948.05","319,069.72","323,798.83","327,759.95","330,521.30","334,731.98","337,488.12","341,427.69","345,580.01","349,384.52","354,384.83","355,431.26","357,296.71","359,411.13","358,804.67","359,615.27","360,815.62","362,054.80","364,131.25","367,068.54","367,574.03","366,929.13","366,557.06","364,255.50","363,976.86","364,294.92","365,516.52","368,106.28","371,799.87","375,085.36","378,416.26","379,552.94","381,957.98","382,533.90","382,402.70","385,178.64","385,683.26","387,293.93","388,618.81","389,903.98","393,852.35","397,618.69","401,784.34","405,715.41","408,917.14","411,274.06","414,263.04","417,011.35","419,622.18","425,789.12","431,575.87","435,180.87","439,652.40","443,291.02","445,936.05","448,002.65","448,765.61","451,599.53","449,694.66","452,299.41","454,188.62","456,409.89","456,391.05","456,792.87","455,616.78","460,105.70","462,064.09","466,611.18","469,274.76","471,050.93","474,064.35","475,312.04","476,365.53","479,575.85","482,622.03","486,267.99","491,281.44","492,052.62","495,065.07","498,976.44","502,326.66","504,564.45","505,577.27","508,042.31","505,027.43","504,454.70","496,828.88","488,218.06","488,386.37","488,745.78","492,947.18","494,266.07","496,722.12","499,760.56","502,786.35","508,175.05","507,945.69","510,294.69","511,576.10","511,224.71","510,786.17","512,090.76","511,273.01","511,462.96","515,106.12","514,627.78","518,480.40","518,194.42","518,652.47","521,538.65","521,127.46","523,896.73","524,715.06","525,810.48","526,897.69","530,179.80","528,193.88","530,172.26","533,396.50","536,740.73","541,550.32","546,340.30","549,518.65","549,500.58","552,128.51","554,596.73","557,458.08","561,378.43","565,195.01","565,663.01","563,260.30","533,734.27","463,591.96","544,154.87","540,750.06","541,025.90","546,004.18","562,315.11","565,515.00","565,023.91","567,166.34","568,952.76","569,583.36"
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"513,658.55","510,940.04","509,824.75","516,377.08","524,288.12","520,245.44","519,339.36","517,666.54","513,919.93","513,780.51","516,777.71","516,429.22","523,591.37","524,845.95","528,470.40","534,882.84","532,966.14","536,869.64","537,845.50","538,054.61","533,645.81","540,894.95","542,707.23","546,749.98","543,909.41","550,949.62","552,622.54","556,804.80","561,997.50","559,627.69","562,276.31","559,976.16","566,458.62","566,458.62","572,731.74","577,471.39","585,713.95","590,453.74","590,174.93","588,432.34","600,264.40","600,055.30","598,800.68","598,243.05","595,176.22","597,755.13","600,682.58","599,846.18","590,941.67","591,569.00","596,099.69","597,772.55","596,726.99","599,793.92","598,539.31","598,051.38","597,998.94","601,205.35","606,293.80","609,221.45","615,128.58","625,653.77","630,463.25","640,012.58","640,430.74","645,867.57","649,143.64","653,325.83","657,508.02","655,974.57","651,722.66","641,336.89","611,294.97","612,270.79","615,686.25","620,216.94","625,218.53","639,298.09","644,595.39","649,822.99","662,387.20","663,014.52","668,869.61","666,778.48","668,242.25","669,496.88","671,448.58","668,311.94","665,297.53","672,546.43","676,240.58","678,122.53","684,761.86","684,901.26","688,177.28","693,753.55","690,268.42","695,635.56","698,353.93","701,490.54","707,415.30","710,830.77","712,224.79","714,943.20","723,516.72","730,208.17","734,808.60","741,778.90","737,300.54","743,294.84","736,394.40","742,737.22","747,825.62","747,546.82","747,407.38","749,637.87","736,393.90","668,504.81","728,099.39","733,814.90","724,475.44","740,646.20","745,594.98","745,664.69","753,140.47","752,164.61","754,883.04","751,816.15"
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,902,800.00","7,941,500.00","8,067,400.00","8,128,100.00","8,161,400.00","8,258,800.00","8,391,000.00","8,527,800.00","8,639,500.00","8,796,300.00","8,911,600.00","9,056,400.00","9,290,200.00","9,405,900.00","9,561,200.00","9,761,900.00","9,775,100.00","9,904,900.00","9,909,000.00","9,962,600.00","10,169,900.00","10,295,700.00","10,532,100.00","10,617,100.00","10,683,300.00","10,746,800.00","10,755,200.00","10,997,300.00","11,275,900.00","11,572,600.00","11,952,600.00","11,996,200.00","12,281,500.00","12,575,900.00","12,819,500.00","13,043,900.00","13,457,000.00","13,644,300.00","13,989,200.00","14,339,700.00","14,545,700.00","15,026,100.00","15,283,200.00","15,710,200.00","16,106,100.00","16,395,100.00","16,948,700.00","17,051,400.00","17,229,400.00","17,379,400.00","17,400,700.00","17,079,400.00","18,070,700.00","18,532,200.00","18,926,300.00","19,418,400.00","19,885,000.00","20,472,700.00","20,947,900.00","21,331,400.00","21,589,900.00","21,589,000.00","21,940,700.00","22,243,700.00","22,501,200.00","22,904,900.00","23,176,800.00","23,547,300.00","23,877,900.00","24,260,200.00","24,794,200.00","25,081,500.00","25,655,800.00","26,124,200.00","26,525,000.00","26,971,700.00","27,549,400.00","28,058,000.00","28,628,300.00","29,459,200.00","29,983,900.00","30,671,000.00","31,089,300.00","31,337,900.00","31,983,000.00","32,510,200.00","33,120,800.00","33,831,800.00","34,274,700.00","34,754,300.00","35,268,200.00","35,632,000.00","36,148,800.00","36,350,400.00","36,405,100.00","36,442,100.00","28,224,600.00","34,591,800.00","36,774,500.00","37,280,300.00","34,479,800.00","37,699,500.00","38,444,400.00","38,634,700.00","38,998,600.00","39,777,600.00","40,227,700.00"
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,012,908,500.00","1,007,085,100.00","1,031,621,800.00","1,061,287,200.00","1,053,724,500.00","1,064,503,000.00","1,064,723,800.00","1,079,803,500.00","1,092,967,400.00","1,107,016,700.00","1,121,225,600.00","1,133,346,900.00","1,148,138,300.00","1,161,156,600.00","1,173,320,800.00","1,184,885,000.00","1,198,807,300.00","1,213,143,900.00","1,227,905,800.00","1,262,459,900.00","1,272,698,700.00","1,287,273,700.00","1,301,458,200.00","1,319,954,100.00","1,337,393,600.00","1,354,469,300.00","1,376,301,900.00","1,398,245,400.00","1,420,985,900.00","1,444,669,500.00","1,467,445,700.00","1,480,154,000.00","1,512,321,000.00","1,535,278,000.00","1,556,468,900.00","1,558,779,000.00","1,579,928,600.00","1,599,761,700.00","1,624,603,800.00","1,648,315,800.00","1,675,292,900.00","1,703,365,900.00","1,728,853,500.00","1,756,620,900.00","1,782,067,900.00","1,807,999,900.00","1,835,334,500.00","1,862,233,000.00","1,890,542,900.00","1,918,697,700.00","1,945,506,000.00","1,972,336,800.00","1,999,966,300.00","2,025,730,600.00","2,052,367,400.00","2,078,433,500.00","2,102,972,200.00","2,129,168,900.00","2,154,041,500.00","2,178,684,000.00","2,205,367,700.00","2,230,802,700.00","2,258,543,200.00","2,287,803,500.00","2,315,269,300.00","2,344,485,300.00","2,373,172,300.00","2,401,686,500.00","2,431,884,200.00","2,462,305,400.00","2,493,385,900.00","2,525,352,600.00","2,557,765,200.00","2,589,770,300.00","2,622,598,600.00","2,655,717,900.00","2,688,542,000.00","2,722,316,100.00","2,754,715,400.00","2,783,581,900.00","2,766,054,500.00","2,575,358,800.00","2,659,728,000.00","2,721,858,000.00","2,750,400,900.00","2,759,420,100.00","2,760,506,900.00","2,849,749,900.00","2,879,085,700.00","2,905,363,900.00","2,929,212,300.00","2,996,735,900.00"
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"357,075.06","357,092.19","357,490.22","356,391.23","357,477.61","362,381.36","364,948.94","371,268.70","368,480.89","370,670.11","371,122.32","369,304.61","371,635.88","373,056.22","376,386.56","381,612.71","386,304.22","388,921.38","391,630.17","397,722.84","399,797.56","398,684.94","397,042.86","396,325.07","397,214.46","398,617.21","399,332.46","400,652.89","399,453.63","399,029.91","398,758.51","402,463.74","403,414.18","404,747.22","404,542.70","405,870.28","404,787.01","408,199.67","411,108.66","411,268.11","411,911.49","414,982.00","417,037.44","422,509.12","421,333.93","422,331.32","423,033.02","421,669.88","426,628.84","422,368.01","417,132.27","405,997.76","396,080.85","393,694.83","395,901.45","397,271.37","398,591.05","401,544.35","403,539.39","405,612.71","407,635.41","407,974.36","405,893.90","401,869.47","397,322.55","394,654.77","392,650.23","389,755.54","385,778.43","386,074.58","386,935.65","386,242.04","386,611.84","386,599.99","387,235.00","385,940.90","387,056.35","388,530.03","389,344.72","391,235.25","392,603.19","393,370.65","395,467.20","396,945.68","398,836.21","400,609.15","402,148.59","404,366.22","403,975.99","404,219.36","404,532.73","405,742.44","406,105.10","407,379.81","407,718.76","405,038.10","380,556.24","335,896.65","382,139.43","380,634.23","386,748.35","396,546.15","407,650.56","410,922.01","411,285.70","416,946.38","418,299.46","417,579.78"
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,571,800.00","110,951,150.00","112,241,150.00","111,770,975.00","113,025,125.00","114,089,325.00","115,426,300.00","115,695,775.00","116,656,100.00","118,143,325.00","118,284,875.00","119,605,100.00","119,909,475.00","119,024,350.00","119,244,600.00","119,298,250.00","117,837,150.00","117,324,300.00","117,533,975.00","118,484,525.00","116,846,725.00","117,284,675.00","117,923,000.00","117,968,350.00","119,963,425.00","120,525,525.00","120,571,975.00","121,734,100.00","122,629,250.00","121,720,250.00","120,400,475.00","119,971,650.00","120,179,250.00","121,164,125.00","121,539,000.00","121,865,500.00","121,954,875.00","122,793,200.00","123,146,525.00","124,494,200.00","125,413,400.00","125,426,700.00","126,191,500.00","125,957,475.00","126,595,825.00","127,583,750.00","128,880,075.00","129,104,275.00","129,305,375.00","129,505,475.00","129,251,750.00","130,992,125.00","131,862,800.00","131,906,675.00","131,186,925.00","131,769,325.00","132,246,450.00","131,463,625.00","129,810,850.00","126,639,525.00","120,540,200.00","122,895,550.00","122,819,675.00","124,376,425.00","125,678,050.00","127,177,325.00","129,464,450.00","128,437,775.00","127,083,475.00","125,966,325.00","129,022,725.00","128,870,275.00","130,656,650.00","129,437,375.00","128,961,050.00","128,888,000.00","130,646,525.00","131,819,000.00","133,103,000.00","132,949,000.00","134,003,275.00","131,596,175.00","131,717,975.00","132,331,100.00","134,359,850.00","134,570,700.00","134,684,950.00","134,481,225.00","135,461,850.00","135,265,150.00","135,513,050.00","135,750,225.00","136,810,375.00","137,321,200.00","138,448,825.00","138,655,125.00","138,736,300.00","139,206,900.00","138,463,825.00","138,314,350.00","138,570,925.00","139,071,825.00","139,337,700.00","135,550,150.00","136,051,100.00","125,352,125.00","132,427,325.00","134,988,800.00","134,610,900.00","135,337,900.00","134,820,250.00","136,310,575.00","135,528,825.00","137,279,625.00","136,870,750.00","136,940,125.00"
