Security,TY1 COMB Comdty,
Start Date,5/31/1982 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,108.0625,13379581
8/31/2023,110.5625,40881373
7/31/2023,111.40625,29829428
6/30/2023,112.265625,11165082
5/31/2023,113.625,37991709
4/28/2023,115.203125,26018004
3/31/2023,114.921875,11139548
2/28/2023,111.171875,38626737
1/31/2023,114.515625,30890258
12/30/2022,112.296875,6220214
11/30/2022,113.21875,33107497
10/31/2022,110.59375,34775612
9/30/2022,112.0625,16014921
8/31/2022,116.875,32443661
7/29/2022,121.140625,29762371
6/30/2022,118.53125,10964393
5/31/2022,119.84375,36384696
4/29/2022,119.15625,33951886
3/31/2022,122.875,12946962
2/28/2022,127.453125,40294772
1/31/2022,127.96875,36191465
12/31/2021,130.46875,5048622
11/30/2021,131.546875,35831729
10/29/2021,130.703125,37186880
9/30/2021,131.609375,14342179
8/31/2021,134.046875,32492020
7/30/2021,134.453125,32452307
6/30/2021,132.5,9080866
5/31/2021,132.859375,36143328
4/30/2021,132.03125,31192591
3/31/2021,130.9375,12661976
2/26/2021,133.796875,40030440
1/29/2021,137.03125,32525195
12/31/2020,138.078125,5359121
11/30/2020,138.53125,32323549
10/30/2020,138.21875,27821466
9/30/2020,139.53125,7024019
8/31/2020,139.40625,26264500
7/31/2020,140.078125,17819153
6/30/2020,139.171875,7047407
5/29/2020,139.375,25805748
4/30/2020,139.0625,22815606
3/31/2020,138.6875,10117247
2/28/2020,134.84375,46376841
1/31/2020,131.65625,37744483
12/31/2019,128.421875,4950069
11/29/2019,129.296875,32684945
10/31/2019,130.296875,32144281
9/30/2019,130.3125,10536717
8/30/2019,131.046875,45521207
7/31/2019,127.421875,29845672
6/28/2019,127.96875,11021722
5/31/2019,126.375,41706853
4/30/2019,123.671875,27182016
3/29/2019,124.21875,14534923
2/28/2019,121.75,29304415
1/31/2019,122.46875,31559602
12/31/2018,122.015625,9031884
11/30/2018,119.546875,38681625
10/31/2018,118.4375,47978088
9/28/2018,118.78125,10219916
8/31/2018,120.390625,34265049
7/31/2018,119.421875,25484577
6/29/2018,120.1875,10169770
5/31/2018,120.734375,39398066
4/30/2018,119.625,27389415
3/30/2018,121.140625,12897173
2/28/2018,120.65625,41554761
1/31/2018,121.578125,32826844
12/29/2017,124.046875,5692369
11/30/2017,124.3125,30636800
10/31/2017,124.9375,28777681
9/29/2017,125.3125,10758627
8/31/2017,127.25,29965220
7/31/2017,125.890625,24095475
6/30/2017,125.53125,10008844
5/31/2017,126.5625,31408924
4/28/2017,125.71875,25533006
3/31/2017,124.5625,9198249
2/28/2017,125.109375,29503750
1/31/2017,124.46875,28490496
12/30/2016,124.28125,4140160
11/30/2016,125.234375,37164276
10/31/2016,129.625,22853901
9/30/2016,131.125,8224932
8/31/2016,131.875,27251275
7/29/2016,133.046875,23174039
6/30/2016,132.984375,11216064
5/31/2016,129.796875,25765284
4/29/2016,130.0625,22248690
3/31/2016,130.390625,6915259
2/29/2016,130.90625,33607274
1/29/2016,129.578125,27238990
12/31/2015,125.90625,3761018
11/30/2015,127.015625,22629561
10/30/2015,127.6875,23463326
9/30/2015,128.734375,8545436
8/31/2015,127.640625,27366273
7/31/2015,127.4375,23536657
6/30/2015,126.171875,9849312
5/29/2015,128.3125,30618774
4/30/2015,128.375,22270825
3/31/2015,128.90625,7518877
2/27/2015,128.421875,26815640
1/30/2015,130.875,27441202
12/31/2014,126.796875,3316186
11/28/2014,127.65625,22376813
10/31/2014,126.359375,39078908
9/30/2014,124.640625,9353534
8/29/2014,126.328125,27602223
7/31/2014,124.609375,23308871
6/30/2014,125.171875,7024974
5/30/2014,126.328125,27710395
4/30/2014,124.421875,25170106
3/31/2014,123.5,8628640
2/28/2014,126.109375,23514322
1/31/2014,125.75,23180845
12/31/2013,123.046875,3347672
11/29/2013,126.640625,22273988
10/31/2013,127.359375,21236706
9/30/2013,126.390625,6870575
8/30/2013,125.34375,26020074
7/31/2013,126.4375,21598073
6/28/2013,126.5625,12700431
5/31/2013,130.25,35597928
4/30/2013,133.359375,23786797
3/29/2013,131.984375,8909677
2/28/2013,132.703125,27799798
1/31/2013,131.28125,24592097
12/31/2012,132.78125,3598325
11/30/2012,134.125,19317642
10/31/2012,133.03125,18728091
9/28/2012,133.484375,6179591
8/31/2012,134.75,20751819
7/31/2012,134.65625,16671205
6/29/2012,133.375,6828072
5/31/2012,134.90625,26109085
4/30/2012,132.28125,20667866
3/30/2012,129.484375,7795495
2/29/2012,131.265625,21581328
1/31/2012,132.25,19314340
12/30/2011,131.125,3137409
11/30/2011,130.15625,22208099
10/31/2011,129.0625,23498099
9/30/2011,130.09375,8818358
8/31/2011,130.03125,34814440
7/29/2011,125.6875,25762774
6/30/2011,122.328125,11202346
5/31/2011,124.03125,26376893
4/29/2011,121.140625,20119881
3/31/2011,119.03125,8172256
2/28/2011,120.34375,23835905
1/31/2011,120.796875,22238478
12/31/2010,120.4375,3474151
11/30/2010,125.046875,25844000
10/29/2010,126.28125,22903570
9/30/2010,126.046875,9207977
8/31/2010,126.5,25542191
7/30/2010,123.8125,22267432
6/30/2010,122.546875,8684839
5/31/2010,120.671875,30208288
4/30/2010,117.90625,21991094
3/31/2010,116.25,7782422
2/26/2010,118.90625,20092747
1/29/2010,118.15625,16893604
12/31/2009,115.453125,2725385
11/30/2009,121.171875,16179433
10/30/2009,118.609375,19230549
9/30/2009,118.328125,5688126
8/31/2009,118.546875,16792618
7/31/2009,117.28125,16391655
6/30/2009,116.265625,5393614
5/29/2009,118.625,14144461
4/30/2009,120.9375,11865266
3/31/2009,124.078125,4412965
2/27/2009,121.703125,12227197
1/30/2009,122.671875,9752092
12/31/2008,125.75,1246375
11/28/2008,122.890625,9958052
10/31/2008,113.078125,15097855
9/30/2008,114.625,6475009
8/29/2008,116.6875,17610663
7/31/2008,114.828125,22855141
6/30/2008,113.921875,6974909
5/30/2008,113.953125,23091229
4/30/2008,115.8125,18980629
3/31/2008,118.953125,6162925
2/29/2008,118.6875,28576008
1/31/2008,116.71875,28666213
12/31/2007,113.390625,4042209
11/30/2007,113.921875,31200294
10/31/2007,110.015625,25021728
9/28/2007,109.28125,9513357
8/31/2007,109.484375,34357326
7/31/2007,107.421875,32145970
6/29/2007,105.703125,10944965
5/31/2007,106.390625,27897263
4/30/2007,108.328125,18298918
3/30/2007,108.125,9907716
2/28/2007,108.5625,24595261
1/31/2007,106.75,21257210
12/29/2006,107.46875,4046146
11/30/2006,109.109375,23296253
10/31/2006,108.21875,20424321
9/29/2006,108.0625,9070550
8/31/2006,107.421875,20322270
7/31/2006,106.03125,16508325
6/30/2006,104.859375,6431138
5/31/2006,105.078125,22097296
4/28/2006,105.578125,16787355
3/31/2006,106.390625,6496341
2/28/2006,108,17402411
1/31/2006,108.4375,17003446
12/30/2005,109.40625,3042111
11/30/2005,108.734375,17559252
10/31/2005,108.453125,15247047
9/30/2005,109.921875,7089821
8/31/2005,112.921875,16511270
7/29/2005,110.984375,13608252
6/30/2005,113.46875,5692193
5/31/2005,112.84375,18656488
4/29/2005,111.421875,18668018
3/31/2005,109.265625,6351313
2/28/2005,110.875,15351705
1/31/2005,112.265625,12844273
12/31/2004,111.9375,3181821
11/30/2004,111.453125,16466555
10/29/2004,113.5625,15637968
9/30/2004,112.625,7014569
8/31/2004,113.46875,13843809
7/30/2004,110.71875,12196471
6/30/2004,109.328125,5002320
5/31/2004,109.875,13943162
4/30/2004,110.5,15407125
3/31/2004,115.40625,4885080
2/27/2004,115.375,11798507
1/30/2004,113.4375,12829110
12/31/2003,112.265625,1904340
11/28/2003,112.40625,10619754
10/31/2003,112.296875,13632670
9/30/2003,114.625,4982597
8/29/2003,111.53125,12679509
7/31/2003,110.625,15122982
6/30/2003,117.4375,4186245
5/30/2003,119.0625,11433704
4/30/2003,115.125,9258666
3/31/2003,114.875,3567134
2/28/2003,116.71875,8466275
1/31/2003,113.921875,8984048
12/31/2002,115.046875,1524242
11/29/2002,112.515625,8148688
10/31/2002,114.71875,10971546
9/30/2002,115.90625,3415870
8/30/2002,113.171875,8730402
7/31/2002,110.609375,8821878
6/28/2002,107.234375,3288573
5/31/2002,106.734375,6952617
4/30/2002,105.5625,5353258
3/29/2002,102.453125,2159763
2/28/2002,107.25,5369196
1/31/2002,105.875,5417957
12/31/2001,105.140625,839277
