Security,XM1 COMB Comdty,
Start Date,9/30/1987 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,61.51155,4000349
8/31/2023,62.09906,3029487
7/31/2023,64.52301,2845353
6/30/2023,64.00906,4003984
5/31/2023,62.31614,3045349
4/28/2023,63.95992,2548902
3/31/2023,64.78268,4867314
2/28/2023,64.9171,2815850
1/31/2023,67.98408,2447745
12/30/2022,65.41126,3355288
11/30/2022,64.74102,3261196
10/31/2022,61.55191,2668934
9/30/2022,61.78266,4161856
8/31/2022,66.08841,3031284
7/29/2022,67.63078,2698504
6/30/2022,66.54874,4343327
5/31/2022,69.45157,3371240
4/29/2022,68.59791,3110326
3/31/2022,72.78616,4454423
2/28/2022,70.96445,3256198
1/31/2022,69.26763,2544021
12/31/2021,71.51836,3509823
11/30/2021,69.81266,3074735
10/29/2021,73.52142,3985656
9/30/2021,71.03723,4860816
8/31/2021,72.27655,3254116
7/30/2021,72.57708,3830597
6/30/2021,73.81546,4731616
5/31/2021,76.10323,3591143
4/30/2021,75.79913,3768546
3/31/2021,74.78751,5698144
2/26/2021,75.7451,5350183
1/29/2021,75.56252,3556875
12/31/2020,76.15521,4527962
11/30/2020,72.91155,4690874
10/30/2020,69.60742,4013129
9/30/2020,71.10764,5177543
8/31/2020,73.161,4436857
7/31/2020,70.86331,3680640
6/30/2020,68.28679,4585262
5/29/2020,65.82891,3235151
4/30/2020,64.66263,2470175
3/31/2020,60.56845,5833684
2/28/2020,64.37107,3973051
1/31/2020,66.32374,3360063
12/31/2019,69.26718,4038530
11/29/2019,66.93993,3284754
10/31/2019,68.09477,3444557
9/30/2019,66.79845,4974980
8/30/2019,66.6713,3827712
7/31/2019,67.99116,3073742
6/28/2019,69.18104,4524233
5/31/2019,68.301,3629905
4/30/2019,69.24082,2949810
3/29/2019,69.71028,4710776
2/28/2019,69.49921,2769735
1/31/2019,71.09107,2869285
12/31/2018,68.79602,3833358
11/30/2018,71.07643,3379336
