Security,TFT1 Comdty,China
Start Date,3/31/2015 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,13.94629,1058667
8/31/2023,14.15592,1088358
7/31/2023,14.27401,1341918
6/30/2023,14.05677,897631
5/31/2023,14.32237,816359
4/28/2023,14.64669,1205339
3/31/2023,14.62294,922414
2/28/2023,14.51662,943510
1/31/2023,14.83058,948248
12/30/2022,14.53048,941443
11/30/2022,14.156,1332718
10/31/2022,13.93292,1052104
9/30/2022,14.13735,1046765
8/31/2022,14.83223,1020106
7/29/2022,14.9848,1346824
6/30/2022,14.92544,917710
5/31/2022,15.15483,603545
4/29/2022,15.17515,1192966
3/31/2022,15.83833,1053032
2/28/2022,15.96954,602858
1/31/2022,15.92599,1137814
12/31/2021,15.85249,911461
11/30/2021,15.77186,975992
10/29/2021,15.48411,987926
9/30/2021,15.50009,757293
8/31/2021,15.51225,863865
7/30/2021,15.51652,1412142
6/30/2021,15.24345,729382
5/31/2021,15.51389,609116
4/30/2021,15.12456,1102172
3/31/2021,14.87509,686770
2/26/2021,14.962,529224
1/29/2021,15.19453,1167216
12/31/2020,15.00873,695902
11/30/2020,14.84519,867587
10/30/2020,14.66334,934365
9/30/2020,14.3992,825220
8/31/2020,14.38198,809735
7/31/2020,14.17235,1669352
6/30/2020,14.1924,627568
5/29/2020,14.24648,517627
4/30/2020,14.58171,1222174
3/31/2020,14.38233,786965
2/28/2020,14.48635,490439
1/31/2020,14.42202,616912
12/31/2019,14.09584,405716
11/29/2019,13.99269,452088
10/31/2019,13.83849,594603
9/30/2019,13.73734,336436
8/30/2019,13.86952,316933
7/31/2019,14.28852,787977
6/28/2019,14.19803,293938
5/31/2019,14.12,386261
4/30/2019,14.34267,864943
3/29/2019,14.58485,547304
2/28/2019,14.64885,342595
1/31/2019,14.6342,925382
12/31/2018,14.20575,396504
11/30/2018,13.9005,474326
10/31/2018,13.73391,587824
9/28/2018,13.80239,237329
8/31/2018,13.94344,460757
7/31/2018,14.04658,798480
6/29/2018,14.48769,512743
5/31/2018,14.80719,416345
4/30/2018,14.92071,700491
3/30/2018,14.90617,457540
2/28/2018,14.63987,225331
1/31/2018,14.61915,687374
12/29/2017,14.31985,506100
11/30/2017,14.01871,384181
10/31/2017,13.98841,650500
9/29/2017,14.34988,426223
8/31/2017,14.33607,258545
7/31/2017,14.08453,840264
6/30/2017,14.07814,734613
5/31/2017,13.90751,409865
4/28/2017,13.90968,897734
3/31/2017,14.08195,839261
2/28/2017,14.19086,85246
1/31/2017,13.93932,686507
12/30/2016,14.0251,1081300
11/30/2016,14.50343,151624
10/31/2016,14.95945,270061
9/30/2016,15.18083,195815
8/31/2016,15.14442,134823
7/29/2016,15.22414,324135
6/30/2016,15.08107,193105
5/31/2016,15.19265,75405
4/29/2016,15.37048,304889
3/31/2016,15.46639,277550
2/29/2016,15.36543,168246
1/29/2016,15.26293,515161
12/31/2015,15.42274,259890
11/30/2015,15.52584,324802
10/30/2015,15.64617,265875
9/30/2015,15.29593,55262
8/31/2015,15.19631,39410
7/31/2015,15.38889,66040
6/30/2015,15.28757,72886
5/29/2015,15.33349,72059
4/30/2015,15.81099,44363
3/31/2015,15.43336,13677
