Security,G 1 Comdty,
Start Date,11/30/1982 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,114.9317,614725
8/31/2023,120.81768,4011843
7/31/2023,123.60395,3671474
6/30/2023,121.18348,407871
5/31/2023,119.93093,4782257
4/28/2023,127.58595,3309243
3/31/2023,127.61658,434775
2/28/2023,121.9438,4163214
1/31/2023,128.81903,3655739
12/30/2022,120.85902,153658
11/30/2022,127.02575,3642709
10/31/2022,117.12268,4517390
9/30/2022,107.2932,698245
8/31/2022,126.91013,5047152
7/29/2022,143.81324,4773499
6/30/2022,138.79345,563248
5/31/2022,147.16182,5314745
4/29/2022,148.97383,4115314
3/31/2022,159.2841,512301
2/28/2022,162.56674,5872333
1/31/2022,163.87765,4385996
12/31/2021,169.05215,227803
11/30/2021,168.89051,6123104
10/29/2021,170.80312,6463307
9/30/2021,168.46442,707436
8/31/2021,177.79961,5329909
7/30/2021,180.39512,5301097
6/30/2021,176.778,494206
5/31/2021,182.22036,5217741
4/30/2021,176.56761,4395038
3/31/2021,176.0742,725149
2/26/2021,179.54188,6455825
1/29/2021,183.75634,4278877
12/31/2020,185.02565,202592
11/30/2020,180.41238,5103596
10/30/2020,175.59706,5073480
9/30/2020,175.73162,553051
8/31/2020,181.18056,4171983
7/31/2020,181.48665,3904597
6/30/2020,170.38456,373198
5/29/2020,170.46728,4227067
4/30/2020,173.25414,3419847
3/31/2020,168.84836,381239
2/28/2020,173.76654,4974359
1/31/2020,178.06682,4641295
12/31/2019,174.24929,310681
11/29/2019,170.76706,4331898
10/31/2019,171.85511,4858490
9/30/2019,164.98096,484899
8/30/2019,164.55732,4876770
7/31/2019,162.23856,4150981
6/28/2019,165.41585,426908
5/31/2019,164.92168,4338929
4/30/2019,166.05074,3545807
3/29/2019,168.09044,536069
2/28/2019,163.23813,4592103
1/31/2019,162.09607,4300253
12/31/2018,156.99248,258123
11/30/2018,157.40987,6091801
10/31/2018,156.12171,6125222
9/28/2018,157.72995,618109
8/31/2018,159.66784,5252474
7/31/2018,161.04204,3831964
6/29/2018,162.36536,523289
5/31/2018,165.37821,5516038
4/30/2018,168.29089,4095053
3/30/2018,172.15679,572699
2/28/2018,168.2735,4890221
1/31/2018,173.24338,4016646
12/29/2017,169.26638,244700
11/30/2017,168.20056,4016621
10/31/2017,165.02321,3874070
9/29/2017,165.93726,558632
8/31/2017,165.44291,3761586
7/31/2017,166.22038,3261118
6/30/2017,163.34146,600676
5/31/2017,166.26811,4026927
4/28/2017,166.10965,2691218
3/31/2017,160.01084,441237
2/28/2017,159.35978,4233024
1/31/2017,155.70459,3546658
12/30/2016,155.33713,215926
11/30/2016,155.08768,4774129
10/31/2016,153.26575,4678579
9/30/2016,168.93425,440678
8/31/2016,174.31537,3920604
7/29/2016,173.22066,3383459
6/30/2016,170.48053,377658
5/31/2016,175.80568,4295520
4/29/2016,174.92696,3636745
3/31/2016,174.48407,391121
2/29/2016,170.78208,4789916
1/29/2016,171.13114,3846848
12/31/2015,172.04892,185427
11/30/2015,178.36021,3614532
10/30/2015,181.87665,3555263
9/30/2015,180.16159,474714
8/31/2015,181.68253,3473604
7/31/2015,183.28125,3546020
6/30/2015,181.98543,435462
5/29/2015,181.22096,4010238
4/30/2015,181.12521,2945003
3/31/2015,179.22923,312764
2/27/2015,184.30728,3795673
1/30/2015,186.05274,3826859
12/31/2014,186.23969,176719
11/28/2014,118.37,3324118
10/31/2014,115.1,4730302
9/30/2014,113.14,393536
8/29/2014,114.4,3497675
7/31/2014,110.68,3081853
6/30/2014,109.92,269600
5/30/2014,111.66,3206958
4/30/2014,110.33,2573521
3/31/2014,109.53,392292
2/28/2014,110.39,3521893
1/31/2014,110.39,3225631
12/31/2013,106.56,158658
11/29/2013,109.86,3219893
10/31/2013,111.26,2951633
9/30/2013,110.32,324846
8/30/2013,110.34,3203158
7/31/2013,112.68,2899701
