Security,OAT1 Comdty,
Start Date,4/30/2012 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,EUR,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,123.2,3731971
8/31/2023,127.91,3406189
7/31/2023,127.54,3342300
6/30/2023,128.4,4372525
5/31/2023,130.54,3812357
4/28/2023,129.99,2833513
3/31/2023,130.23,5043883
2/28/2023,127.7,3784945
1/31/2023,131.52,3567737
12/30/2022,127.3,2867448
11/30/2022,136.55,3016855
10/31/2022,132.88,3315846
9/30/2022,132.12,4498689
8/31/2022,138.02,3501092
7/29/2022,146.47,3655961
6/30/2022,138.53,4884075
5/31/2022,144.09,4572117
4/29/2022,145.84,4267730
3/31/2022,151.51,4927610
2/28/2022,158.28,4776365
1/31/2022,161.01,3595300
12/31/2021,163.15,2648167
11/30/2021,168.27,3804282
10/29/2021,164,3543555
9/30/2021,165.95,4363305
8/31/2021,161.18,3457677
7/30/2021,162.08,3479403
6/30/2021,159.04,4216615
5/31/2021,160.43,4370402
4/30/2021,160.49,3747191
3/31/2021,161.95,4578041
2/26/2021,163.43,4870972
1/29/2021,167.07,3691583
12/31/2020,167.86,2777834
11/30/2020,169.81,3172499
10/30/2020,170.11,3257699
9/30/2020,168.55,3523629
8/31/2020,167.47,3108470
7/31/2020,168.75,2910469
6/30/2020,167.65,3245087
5/29/2020,168.44,2535283
4/30/2020,168.83,2126714
3/31/2020,167.21,4408185
2/28/2020,168.71,3865658
1/31/2020,167.22,2911516
12/31/2019,162.77,2194209
11/29/2019,167.6,2523702
10/31/2019,168.38,2840140
9/30/2019,170.31,2824185
8/30/2019,170.4,2677522
7/31/2019,167.23,2872737
6/28/2019,164.87,2883396
5/31/2019,164.42,2857606
4/30/2019,162,2510009
3/29/2019,162.67,3547788
2/28/2019,152.9,3013152
1/31/2019,152.92,2649255
12/31/2018,150.8,2241415
11/30/2018,153.09,2999559
10/31/2018,151.96,3424274
9/28/2018,151.05,2801749
8/31/2018,154.61,2510218
7/31/2018,153.73,2002501
6/29/2018,154.54,3270681
5/31/2018,155.7,3685561
4/30/2018,153.81,2363538
3/30/2018,154.59,2688978
2/28/2018,153.68,2257451
1/31/2018,152.93,2372514
12/29/2017,155.18,1949528
11/30/2017,158.63,2465429
10/31/2017,157.46,2367752
9/29/2017,155.14,2632661
8/31/2017,150.76,2163802
7/31/2017,148.78,2141686
6/30/2017,148.48,2808192
5/31/2017,151.57,2614442
4/28/2017,149.84,2571881
3/31/2017,147.04,3368817
2/28/2017,149.95,3354556
1/31/2017,147.87,2687689
12/30/2016,151.82,2143058
11/30/2016,152.93,3374021
10/31/2016,156.3,2583646
9/30/2016,160.12,2577316
8/31/2016,161.29,1609520
7/29/2016,162.15,1696578
6/30/2016,160.79,2303089
5/31/2016,158.57,1675539
4/29/2016,156.29,1930939
3/31/2016,158.24,1998846
2/29/2016,156.88,2285119
1/29/2016,154.46,1977263
12/31/2015,150.05,1481228
11/30/2015,154.48,1682467
10/30/2015,153.25,1713787
9/30/2015,151.62,1673262
8/31/2015,147.71,1274336
7/31/2015,149.7,1501700
6/30/2015,146.47,2382235
5/29/2015,152.51,2008892
4/30/2015,154.23,1387227
3/31/2015,156.05,1616524
2/27/2015,150.26,1277737
1/30/2015,149.95,1591375
12/31/2014,147.22,1152676
11/28/2014,147.23,1199130
10/31/2014,144.86,1891012
9/30/2014,143.75,1765314
8/29/2014,145.54,1221564
7/31/2014,142.08,1293748
6/30/2014,140.53,1281787
5/30/2014,140.17,1148214
4/30/2014,137.84,1081655
3/31/2014,136.27,1229549
2/28/2014,136.51,1083590
1/31/2014,135.78,1061409
12/31/2013,131.44,513598
11/29/2013,135.03,846620
10/31/2013,134.68,836657
9/30/2013,132.49,777205
8/30/2013,132.15,709122
7/31/2013,133.89,806475
6/28/2013,132.47,1068694
5/31/2013,137.18,970399
4/30/2013,139.79,971815
3/29/2013,136.02,778481
2/28/2013,135.19,840666
1/31/2013,133.65,631376
12/31/2012,136.16,463866
11/30/2012,137.05,556554
10/31/2012,134.61,559258
9/28/2012,133.95,495628
8/31/2012,134.12,407889
7/31/2012,134.26,425271
6/29/2012,128.05,326121
5/31/2012,132.65,381501
4/30/2012,126.13,129339
