Security,RX1 Comdty,
Start Date,11/30/1990 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,136.07539,15733203
8/31/2023,144.36464,14376243
7/31/2023,146.3931,14528956
6/30/2023,146.01733,16210401
5/31/2023,144.72999,15727775
4/28/2023,149.53624,13081857
3/31/2023,147.6445,22101885
2/28/2023,140.96435,16562026
1/31/2023,148.65493,17067150
12/30/2022,142.38132,12807012
11/30/2022,145.31772,14542246
10/31/2022,136.87563,16669985
9/30/2022,135.58171,18499461
8/31/2022,148.76904,13392177
7/29/2022,160.74551,14926015
6/30/2022,155.96607,19768432
5/31/2022,162.66492,18176817
4/29/2022,162.02209,15365587
3/31/2022,175.82701,18337664
2/28/2022,187.16832,18892891
1/31/2022,189.72451,14843075
12/31/2021,193.90516,10141457
11/30/2021,194.96771,15991609
10/29/2021,193.99367,17662616
9/30/2021,196.49872,16137395
8/31/2021,207.15382,11756820
7/30/2021,209.39436,14066456
6/30/2021,204.52559,15167425
5/31/2021,207.80263,16366332
4/30/2021,204.459,14257528
3/31/2021,201.254,17674517
2/26/2021,209.4672,19262870
1/29/2021,215.0397,14607168
12/31/2020,218.3018,10958391
11/30/2020,209.49385,12917485
10/30/2020,205.14429,12996652
9/30/2020,204.57234,12813379
8/31/2020,209.68886,11956968
7/31/2020,209.31383,10803031
6/30/2020,198.46144,12902184
5/29/2020,191.39611,11254095
4/30/2020,190.77409,9497732
3/31/2020,189.26072,17577384
2/28/2020,195.22375,17413464
1/31/2020,193.99683,14412027
12/31/2019,191.13634,10150635
11/29/2019,188.45071,12726165
10/31/2019,191.4437,13914167
9/30/2019,189.98478,13743411
8/30/2019,196.79508,14679631
7/31/2019,194.8179,13677854
6/28/2019,196.21537,13218512
5/31/2019,187.90111,15626171
4/30/2019,185.42823,12742653
3/29/2019,186.65011,15021361
2/28/2019,188.15584,12831514
1/31/2019,189.69215,13839208
12/31/2018,187.28601,11263845
11/30/2018,182.78251,14632069
10/31/2018,181.18996,17516613
9/28/2018,184.41871,14002552
8/31/2018,189.31157,12907371
7/31/2018,189.12939,10734508
6/29/2018,189.80964,16206940
5/31/2018,189.23359,19884038
4/30/2018,192.09127,14119432
3/30/2018,195.95541,14745296
2/28/2018,194.6603,15874394
1/31/2018,197.17503,14955302
12/29/2017,194.3717,11347594
11/30/2017,193.49035,14236567
10/31/2017,189.5712,15530610
9/29/2017,190.0401,14522324
8/31/2017,196.13155,11765443
7/31/2017,191.27915,13130976
6/30/2017,184.74223,16033815
5/31/2017,182.39898,14586535
4/28/2017,176.35638,12065289
3/31/2017,172.67097,18150694
2/28/2017,176.14584,15644600
1/31/2017,174.84099,16636754
12/30/2016,173.12901,12354422
11/30/2016,170.70749,18183789
10/31/2016,177.78697,15649569
9/30/2016,186.04796,15317485
8/31/2016,186.7626,10533233
7/29/2016,187.22562,11092519
6/30/2016,185.05198,15086831
5/31/2016,182.64618,12930143
4/29/2016,185.19072,13713089
3/31/2016,185.87449,14067552
2/29/2016,181.15575,15237326
1/29/2016,177.12041,13057920
12/31/2015,171.59587,10886877
11/30/2015,167.17536,12824051
10/30/2015,173.21398,12321933
9/30/2015,174.65166,13784727
8/31/2015,171.52204,10888716
7/31/2015,169.88632,12603908
6/30/2015,169.5256,17687387
5/29/2015,170.55334,16484052
4/30/2015,175.72338,10921873
3/31/2015,170.31773,13369926
2/27/2015,178.51547,12334132
1/30/2015,179.91943,14378043
12/31/2014,188.6027,10666430
11/28/2014,190.06898,11017165
10/31/2014,189.10532,18286762
9/30/2014,189.05613,16412333
8/29/2014,199.19933,12639068
7/31/2014,198.08462,12253487
6/30/2014,201.25669,11857047
5/30/2014,200.26352,12058230
4/30/2014,200.41916,12050939
3/31/2014,197.46294,15961305
2/28/2014,199.3599,14595365
1/31/2014,194.30994,14212722
12/31/2013,192.0546,7416120
11/29/2013,192.52721,12145359
10/31/2013,193.1058,13865722
9/30/2013,190.11055,11929164
8/30/2013,185.72746,12743240
7/31/2013,189.01041,13806443
6/28/2013,184.04676,16131257
5/31/2013,186.40624,17890912
4/30/2013,192.86996,14810423
3/29/2013,186.54728,14743725
2/28/2013,189.69042,17439886
1/31/2013,192.75696,18082423
12/31/2012,192.20111,9164774
11/30/2012,185.65556,13106918
10/31/2012,183.75896,15139860
9/28/2012,182.54305,14391326
8/31/2012,181.04754,13563527
7/31/2012,177.90784,13021788
6/29/2012,178.25259,17330516
5/31/2012,180.55149,15997364
4/30/2012,186.64796,13775811
3/30/2012,184.63487,16054615
2/29/2012,186.85107,14374110
1/31/2012,182.62801,12805865
12/30/2011,180.19584,8726365
11/30/2011,179.96114,17426814
10/31/2011,188.92646,18437729
9/30/2011,183.5654,19988848
8/31/2011,193.90096,20259481
7/29/2011,187.48375,21249801
6/30/2011,182.07148,22763361
5/31/2011,180.09035,20926654
4/29/2011,182.24119,15716929
3/31/2011,172.09632,21553698
2/28/2011,171.1863,16469359
1/31/2011,169.48668,17510219
12/31/2010,166.19865,11520228
11/30/2010,166.92528,21597621
10/29/2010,179.83647,18669269
9/30/2010,179.00766,22400375
