Security,IK1 Comdty,
Start Date,9/30/2009 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,EUR,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,109.73,3847878
8/31/2023,115.92,3209847
7/31/2023,116,2920942
6/30/2023,116.11,3696178
5/31/2023,115.96,3995939
4/28/2023,114.85,2877494
3/31/2023,115.35,4648527
2/28/2023,112.69,3503138
1/31/2023,114.12,3275513
12/30/2022,108.92,2496569
11/30/2022,119.3,2770272
10/31/2022,114.65,2981906
9/30/2022,111.98,3629663
8/31/2022,119.51,2358624
7/29/2022,126.33,3007647
6/30/2022,123.12,3899208
5/31/2022,126.87,3606502
4/29/2022,130.34,2743276
3/31/2022,138.31,3626124
2/28/2022,141.15,4047128
1/31/2022,145.88,2767908
12/31/2021,147.01,2101660
11/30/2021,151.6,3096869
10/29/2021,148.26,3394308
9/30/2021,151.95,3122305
8/31/2021,153.29,2179671
7/30/2021,154.28,2193668
6/30/2021,151.41,2899817
5/31/2021,147.32,3282524
4/30/2021,147.09,3012393
3/31/2021,149.31,3486695
2/26/2021,149.8,3237438
1/29/2021,151,2947168
12/31/2020,152.01,1975174
11/30/2020,151.16,2112811
10/30/2020,149.59,2846935
9/30/2020,147.58,2514238
8/31/2020,146.21,1412607
7/31/2020,146.99,1595137
6/30/2020,143.88,2070858
5/29/2020,142.16,1665449
4/30/2020,138.6,1781425
3/31/2020,141.41,3307381
2/28/2020,145.76,2607698
1/31/2020,148.03,2199643
12/31/2019,142.46,1514378
11/29/2019,141.29,2027304
10/31/2019,144.47,1730748
9/30/2019,145.84,2097328
8/30/2019,145.31,2247765
7/31/2019,139.81,2296753
6/28/2019,134.3,2420591
5/31/2019,130.08,2374816
4/30/2019,130.46,1490667
3/29/2019,129.47,2052409
2/28/2019,128.24,2252856
1/31/2019,129.57,1656937
12/31/2018,127.82,1300106
11/30/2018,124.56,2111838
10/31/2018,121.64,2607036
9/28/2018,123.84,2079162
8/31/2018,122.66,1933814
7/31/2018,127.3,1154778
6/29/2018,127.24,2117710
5/31/2018,126.21,3903650
4/30/2018,139.01,1894758
3/30/2018,138.79,2499400
2/28/2018,136.85,2244952
1/31/2018,135.98,2402634
12/29/2017,136.14,1747919
11/30/2017,140.87,2004645
10/31/2017,139.59,2252260
9/29/2017,134.96,2122157
8/31/2017,137.34,1537472
7/31/2017,136.24,1827619
6/30/2017,135.14,2655961
5/31/2017,133.14,2121016
4/28/2017,131.71,1628195
3/31/2017,130.69,2635036
2/28/2017,132.89,2461990
1/31/2017,130.91,2275884
12/30/2016,135.31,1951650
11/30/2016,135.33,2760985
10/31/2016,138.56,2257589
9/30/2016,143.09,2320849
8/31/2016,145.5,1452623
7/29/2016,144.86,1567138
6/30/2016,142.61,2731868
5/31/2016,139.58,1934422
4/29/2016,137.95,1830487
3/31/2016,140.62,2201417
2/29/2016,140.18,2341194
1/29/2016,139.94,2001207
12/31/2015,137.92,1708947
11/30/2015,140.94,1994881
10/30/2015,138.94,1975669
9/30/2015,136.29,1835775
8/31/2015,135.17,1307038
7/31/2015,136.7,1637258
6/30/2015,130.21,2658353
5/29/2015,134.94,2196728
4/30/2015,138.38,1834992
3/31/2015,140.58,2203242
2/27/2015,140.89,1961854
1/30/2015,138.19,1951333
12/31/2014,135.6,1363537
11/28/2014,134.02,1147195
10/31/2014,130.32,2018184
9/30/2014,130.48,1662664
8/29/2014,130.52,1345904
7/31/2014,127.76,1119525
6/30/2014,126.18,1170228
5/30/2014,125.17,1635374
4/30/2014,124,993597
3/31/2014,121.71,1066827
2/28/2014,120.15,966655
1/31/2014,117.67,987565
12/31/2013,114.82,488455
11/29/2013,116.21,649445
10/31/2013,114.93,862537
9/30/2013,110.38,622265
8/30/2013,111.69,491843
7/31/2013,111.27,649122
6/28/2013,109.67,852672
5/31/2013,114.54,764636
4/30/2013,115.95,667003
3/29/2013,108.51,723954
2/28/2013,109.56,889521
1/31/2013,112.86,560378
12/31/2012,110.68,401334
11/30/2012,111.78,427887
10/31/2012,107.56,383910
9/28/2012,105.4,407458
8/31/2012,101.08,378169
7/31/2012,98.97,455134
6/29/2012,100.46,455618
5/31/2012,99.54,444835
4/30/2012,101.71,287765
3/30/2012,104.57,283543
2/29/2012,106.15,293917
1/31/2012,99.41,222394
12/30/2011,91.61,187910
11/30/2011,90.8,290609
10/31/2011,97.13,144070
9/30/2011,100.26,206066
8/31/2011,106.72,224638
7/29/2011,99.98,261955
6/30/2011,107.78,176544
5/31/2011,109.86,133587
4/29/2011,109.15,124840
3/31/2011,107.96,173431
2/28/2011,109.11,156095
1/31/2011,109.9,127937
12/31/2010,108.77,86850
11/30/2010,111.05,157166
10/29/2010,116.58,78422
9/30/2010,116.68,89062
8/31/2010,118.77,67697
7/30/2010,116.39,72819
6/30/2010,114.13,113980
5/31/2010,115.2,127469
4/30/2010,115.82,114530
3/31/2010,116.75,123605
2/26/2010,116.95,146558
1/29/2010,115.45,97847
12/31/2009,114.78,71497
11/30/2009,117.06,75870
10/30/2009,116.09,96841
9/30/2009,115.3,62357
