Security,DW1 Comdty,
Start Date,9/30/2003 0:00,
End Date,9/29/2023 0:00,
Period,M,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
9/29/2023,87.925,#N/A N/A
8/31/2023,91.3,#N/A N/A
7/31/2023,94.95,#N/A N/A
6/30/2023,95.925,#N/A N/A
5/31/2023,94.5,#N/A N/A
4/28/2023,94.525,#N/A N/A
3/31/2023,94.875,#N/A N/A
2/28/2023,91.025,#N/A N/A
1/31/2023,95.375,#N/A N/A
12/30/2022,92.775,#N/A N/A
11/30/2022,91.3,#N/A N/A
10/31/2022,86.925,#N/A N/A
9/30/2022,88.425,#N/A N/A
8/31/2022,92.3,#N/A N/A
7/29/2022,95.775,#N/A N/A
6/30/2022,92.25,#N/A N/A
5/31/2022,95.15,#N/A N/A
4/29/2022,91.2,#N/A N/A
3/31/2022,97.825,#N/A N/A
2/28/2022,100.2,#N/A N/A
1/31/2022,101.9,#N/A N/A
12/31/2021,102.425,#N/A N/A
11/30/2021,103.275,#N/A N/A
10/29/2021,103.1,#N/A N/A
9/30/2021,103.8,#N/A N/A
8/31/2021,106.15,#N/A N/A
7/30/2021,106.6,#N/A N/A
6/30/2021,106,#N/A N/A
5/31/2021,109.575,#N/A N/A
4/30/2021,107.475,#N/A N/A
3/31/2021,107.95,#N/A N/A
2/26/2021,113.125,#N/A N/A
1/29/2021,118,#N/A N/A
12/31/2020,117.625,#N/A N/A
11/30/2020,116.275,#N/A N/A
10/30/2020,112.525,#N/A N/A
9/30/2020,113.825,#N/A N/A
8/31/2020,114.5,#N/A N/A
7/31/2020,115.25,#N/A N/A
6/30/2020,114.475,#N/A N/A
5/29/2020,112.7,#N/A N/A
4/30/2020,108.525,#N/A N/A
3/31/2020,105.575,#N/A N/A
2/28/2020,107.85,#N/A N/A
1/31/2020,109.575,#N/A N/A
12/31/2019,107.9,#N/A N/A
11/29/2019,106.25,#N/A N/A
10/31/2019,108.725,#N/A N/A
9/30/2019,107.925,#N/A N/A
8/30/2019,106.425,#N/A N/A
7/31/2019,103.45,#N/A N/A
6/28/2019,103.325,#N/A N/A
5/31/2019,98.875,#N/A N/A
4/30/2019,77.25,#N/A N/A
3/29/2019,77.425,#N/A N/A
2/28/2019,76.15,#N/A N/A
1/31/2019,75.025,#N/A N/A
12/31/2018,74.05,#N/A N/A
11/30/2018,70.175,#N/A N/A
10/31/2018,72.475,#N/A N/A
9/28/2018,78.1,#N/A N/A
8/31/2018,80.75,#N/A N/A
7/31/2018,81.7,#N/A N/A
6/29/2018,82.7,#N/A N/A
5/31/2018,81.175,#N/A N/A
4/30/2018,82.95,#N/A N/A
3/30/2018,83.975,#N/A N/A
2/28/2018,81.7,#N/A N/A
1/31/2018,82,#N/A N/A
12/29/2017,81.6,#N/A N/A
11/30/2017,83.55,#N/A N/A
10/31/2017,83.725,#N/A N/A
9/29/2017,86.1,#N/A N/A
8/31/2017,85.925,#N/A N/A
7/31/2017,85.9,#N/A N/A
6/30/2017,86.375,#N/A N/A
5/31/2017,82.825,#N/A N/A
4/28/2017,83.25,#N/A N/A
3/31/2017,83.925,#N/A N/A
2/28/2017,81.1,#N/A N/A
1/31/2017,80.5,#N/A N/A
12/30/2016,80.375,#N/A N/A
11/30/2016,83.95,#N/A N/A
10/31/2016,90.05,#N/A N/A
9/30/2016,91.25,#N/A N/A
8/31/2016,92.95,#N/A N/A
7/29/2016,92.05,#N/A N/A
6/30/2016,92.05,#N/A N/A
5/31/2016,90.175,#N/A N/A
4/29/2016,92.075,#N/A N/A
3/31/2016,91.125,#N/A N/A
2/29/2016,90.6,#N/A N/A
1/29/2016,90.8,#N/A N/A
12/31/2015,88.775,#N/A N/A
