Security,ADSWAP10 BGN Curncy
Start Date,6/30/1988 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,AUD
,
Date,PX_LAST
9/29/2023,4.75231
8/31/2023,4.3629
7/31/2023,4.41
6/30/2023,4.3975
5/31/2023,4.08794
4/28/2023,3.81768
3/31/2023,3.8588
2/28/2023,4.4775
1/31/2023,4.0975
12/30/2022,4.5475
11/30/2022,4.047
10/31/2022,4.564
9/30/2022,4.405
8/31/2022,4.1225
7/29/2022,3.50625
6/30/2022,4.1085
5/31/2022,3.69
4/29/2022,3.6025
3/31/2022,3.0975
2/28/2022,2.4068
1/31/2022,2.17125
12/31/2021,1.9875
11/30/2021,2.0225
10/29/2021,2.134
9/30/2021,1.625
8/31/2021,1.355
7/30/2021,1.3115
6/30/2021,1.584
5/31/2021,1.71
4/30/2021,1.759
3/31/2021,1.84704
2/26/2021,1.75875
1/29/2021,1.1625
12/31/2020,0.9825
11/30/2020,0.89125
10/30/2020,0.78875
9/30/2020,0.78065
8/31/2020,0.885
7/31/2020,0.75375
6/30/2020,0.88
5/29/2020,0.8725
4/30/2020,0.94
3/31/2020,0.8925
2/28/2020,0.91875
1/31/2020,1.0788
12/31/2019,1.5255
11/29/2019,1.22
10/31/2019,1.28625
9/30/2019,1.15625
8/30/2019,1.1013
7/31/2019,1.38
6/28/2019,1.57
5/31/2019,1.72625
4/30/2019,2.04625
3/29/2019,2.02875
2/28/2019,2.40125
1/31/2019,2.44625
12/31/2018,2.5525
11/30/2018,2.7875
10/31/2018,2.8025
9/28/2018,2.8525
8/31/2018,2.68625
7/31/2018,2.8575
6/29/2018,2.835
5/31/2018,2.8863
4/30/2018,2.926
3/30/2018,2.82375
2/28/2018,2.939
1/31/2018,2.975
12/29/2017,2.799
11/30/2017,2.7275
10/31/2017,2.855
9/29/2017,2.9975
8/31/2017,2.8175
7/31/2017,2.875
6/30/2017,2.91375
5/31/2017,2.66625
4/28/2017,2.85
3/31/2017,2.97
2/28/2017,3.015
1/31/2017,2.965
12/30/2016,2.995
11/30/2016,2.8985
10/31/2016,2.4525
9/30/2016,2.1425
8/31/2016,2.04
7/29/2016,2.07
6/30/2016,2.17375
5/31/2016,2.435
4/29/2016,2.645
3/31/2016,2.6125
2/29/2016,2.52
1/29/2016,2.7325
12/31/2015,3.0808
11/30/2015,2.9775
10/30/2015,2.9
9/30/2015,2.875
8/31/2015,3.035
7/31/2015,3.08
6/30/2015,3.37
5/29/2015,3.025
4/30/2015,2.9525
3/31/2015,2.7
2/27/2015,2.82
1/30/2015,2.735
12/31/2014,3.1375
11/28/2014,3.465
10/31/2014,3.72
9/30/2014,3.84
8/29/2014,3.66
7/31/2014,3.8775
6/30/2014,3.9225
5/30/2014,4.015
4/30/2014,4.215
3/31/2014,4.415
2/28/2014,4.385
1/31/2014,4.3875
12/31/2013,4.585
11/29/2013,4.595
10/31/2013,4.46
9/30/2013,4.3275
8/30/2013,4.4175
7/31/2013,4.145
6/28/2013,4.3225
5/31/2013,3.945
4/30/2013,3.795
3/29/2013,4.0425
2/28/2013,3.95
1/31/2013,4
12/31/2012,3.8275
11/30/2012,3.7675
10/31/2012,3.74
9/28/2012,3.6925
8/31/2012,3.82375
7/31/2012,3.8225
6/29/2012,3.9875
5/31/2012,3.8425
4/30/2012,4.4625
3/30/2012,4.7525
2/29/2012,4.8075
1/31/2012,4.5825
12/30/2011,4.58
11/30/2011,4.783
10/31/2011,5.0825
9/30/2011,4.7875
8/31/2011,5.165
7/29/2011,5.5225
6/30/2011,5.855
5/31/2011,5.77
4/29/2011,5.97025
3/31/2011,6.008
2/28/2011,6.055
1/31/2011,6.0225
12/31/2010,6.0625
11/30/2010,5.9575
10/29/2010,5.68
9/30/2010,5.535
8/31/2010,5.2
7/30/2010,5.5975
6/30/2010,5.57625
5/31/2010,5.8475
4/30/2010,6.1175
3/31/2010,6.153
2/26/2010,5.9925
1/29/2010,6.0025
12/31/2009,6.2525
11/30/2009,5.9025
10/30/2009,6.165
9/30/2009,6.017
8/31/2009,5.995
7/31/2009,6.01
6/30/2009,5.985
5/29/2009,5.6775
4/30/2009,5.137
3/31/2009,5.03
2/27/2009,4.9325
1/30/2009,4.3875
12/31/2008,4.333
11/28/2008,5.05
10/31/2008,5.8875
9/30/2008,6.392
8/29/2008,6.615
7/31/2008,7.0615
6/30/2008,7.435
5/30/2008,7.3325
4/30/2008,7.214
3/31/2008,7.079
2/29/2008,7.2815
1/31/2008,6.968
12/31/2007,7.245
11/30/2007,6.914
10/31/2007,6.9955
9/28/2007,6.828
8/31/2007,6.635
7/31/2007,6.718
6/29/2007,6.8165
5/31/2007,6.5575
4/30/2007,6.369
3/30/2007,6.405
2/28/2007,6.2115
1/31/2007,6.3865
12/29/2006,6.39
11/30/2006,6.0665
10/31/2006,6.1325
9/29/2006,6.03
8/31/2006,6.1363
7/31/2006,6.3125
6/30/2006,6.22
5/31/2006,6.2188
4/28/2006,6.15
3/31/2006,5.847
2/28/2006,5.7185
1/31/2006,5.8065
12/30/2005,5.708
11/30/2005,5.88
10/31/2005,5.9325
9/30/2005,5.86
8/31/2005,5.433
7/29/2005,5.6715
6/30/2005,5.55
5/31/2005,5.6225
4/29/2005,5.8725
3/31/2005,6.075
2/28/2005,6.11
1/31/2005,5.8425
12/31/2004,5.825
11/30/2004,5.66
10/29/2004,5.81
9/30/2004,5.918
8/31/2004,5.935
7/30/2004,6.188
6/30/2004,6.183
5/31/2004,6.2815
4/30/2004,6.312
3/31/2004,5.8765
2/27/2004,6.0125
1/30/2004,6.225
12/31/2003,6.0765
11/28/2003,6.3925
10/31/2003,6.088
9/30/2003,5.549
8/29/2003,5.824
7/31/2003,5.775
6/30/2003,5.34
5/30/2003,5.03
4/30/2003,5.44
3/31/2003,5.4475
2/28/2003,5.2695
