Security,ADSWAP2Q BGN Curncy
Start Date,12/31/1993 0:00
End Date,9/29/2023 0:00
Period,M
Currency,AUD
,
Date,PX_LAST
9/29/2023,4.315
8/31/2023,4.09005
7/31/2023,4.279
6/30/2023,4.47861
5/31/2023,3.89183
4/28/2023,3.5
3/31/2023,3.45
2/28/2023,4.189
1/31/2023,3.6425
12/30/2022,4.0175
11/30/2022,3.6317
10/31/2022,4.025
9/30/2022,4.0027
8/31/2022,3.666
7/29/2022,3.0505
6/30/2022,3.3874
5/31/2022,3.0455
4/29/2022,2.865
3/31/2022,2.183
2/28/2022,1.3584
1/31/2022,1.2076
12/31/2021,0.9084
11/30/2021,0.9257
10/29/2021,1.037
9/30/2021,0.27922
8/31/2021,0.218
7/30/2021,0.2004
6/30/2021,0.265
5/31/2021,0.179
4/30/2021,0.16213
3/31/2021,0.17854
2/26/2021,0.17375
1/29/2021,0.07598
12/31/2020,0.067
11/30/2020,0.077
10/30/2020,0.0613
9/30/2020,0.108
8/31/2020,0.152
7/31/2020,0.1691
6/30/2020,0.1913
5/29/2020,0.2196
4/30/2020,0.2213
3/31/2020,0.3425
2/28/2020,0.455
1/31/2020,0.6138
12/31/2019,0.883
11/29/2019,0.694
10/31/2019,0.8263
9/30/2019,0.782
8/30/2019,0.7275
7/31/2019,0.83
6/28/2019,1.00625
5/31/2019,1.17375
4/30/2019,1.36375
3/29/2019,1.4843
2/28/2019,1.77035
1/31/2019,1.87
12/31/2018,1.9
11/30/2018,2.0188
10/31/2018,2.0025
9/28/2018,2.023
8/31/2018,1.965
7/31/2018,2.1
6/29/2018,2.09375
5/31/2018,2.1025
4/30/2018,2.1275
3/30/2018,2.06
2/28/2018,2.025
1/31/2018,2.04
12/29/2017,2.015
11/30/2017,1.905
10/31/2017,1.9225
9/29/2017,2.03375
8/31/2017,1.9475
7/31/2017,1.9
6/30/2017,1.96
5/31/2017,1.748
4/28/2017,1.843
3/31/2017,1.92125
2/28/2017,1.9525
1/31/2017,1.915
12/30/2016,2.0125
11/30/2016,1.91
10/31/2016,1.7575
9/30/2016,1.685
8/31/2016,1.5925
7/29/2016,1.6775
6/30/2016,1.75
5/31/2016,1.845
4/29/2016,2.045
3/31/2016,2.0725
2/29/2016,1.97375
1/29/2016,2.024
12/31/2015,2.178
11/30/2015,2.1525
10/30/2015,1.918
9/30/2015,1.95
8/31/2015,1.962
7/31/2015,2.055
6/30/2015,2.175
5/29/2015,2.065
4/30/2015,2.0975
3/31/2015,1.93
2/27/2015,2.0925
1/30/2015,2.215
12/31/2014,2.423
11/28/2014,2.648
10/31/2014,2.735
9/30/2014,2.793
8/29/2014,2.67
7/31/2014,2.7415
6/30/2014,2.731
5/30/2014,2.785
4/30/2014,2.862
3/31/2014,2.935
2/28/2014,2.8025
1/31/2014,2.835
12/31/2013,2.875
11/29/2013,2.88
10/31/2013,2.905
9/30/2013,2.7675
8/30/2013,2.7475
7/31/2013,2.585
6/28/2013,2.82
5/31/2013,2.7475
4/30/2013,2.8025
3/29/2013,3.08
2/28/2013,2.87
1/31/2013,2.96
12/31/2012,2.835
11/30/2012,2.99
10/31/2012,2.9075
9/28/2012,2.9425
8/31/2012,3.0775
7/31/2012,3.1575
6/29/2012,3.2
5/31/2012,2.93
4/30/2012,3.6925
3/30/2012,4.0125
2/29/2012,4.21
1/31/2012,3.8
12/30/2011,3.855
11/30/2011,3.835
10/31/2011,4.1675
9/30/2011,3.985
8/31/2011,4.275
7/29/2011,4.765
6/30/2011,5.045
5/31/2011,5.103
4/29/2011,5.21875
3/31/2011,5.15
2/28/2011,5.25678
1/31/2011,5.24
12/31/2010,5.38
11/30/2010,5.2365
10/29/2010,5.1425
9/30/2010,5.1875
8/31/2010,4.6425
7/30/2010,4.8875
6/30/2010,4.858
5/31/2010,5.0125
4/30/2010,5.35
3/31/2010,5.328
2/26/2010,4.925
1/29/2010,4.92
12/31/2009,5.125
11/30/2009,5.035
10/30/2009,5.205
9/30/2009,4.975
8/31/2009,4.955
7/31/2009,4.405
6/30/2009,4.1625
5/29/2009,3.595
4/30/2009,3.383
3/31/2009,3.445
2/27/2009,3.2875
1/30/2009,3.08
12/31/2008,3.53
11/28/2008,3.955
10/31/2008,5.116
9/30/2008,6.281
8/29/2008,6.765
7/31/2008,7.175
6/30/2008,7.908
5/30/2008,7.83
4/30/2008,7.626
3/31/2008,7.3555
2/29/2008,7.685
1/31/2008,7.344
12/31/2007,7.4975
11/30/2007,7.404
10/31/2007,7.3085
9/28/2007,6.9405
8/31/2007,6.823
7/31/2007,6.85
6/29/2007,6.773
5/31/2007,6.6125
4/30/2007,6.4551
3/30/2007,6.605
2/28/2007,6.379
1/31/2007,6.45295
12/29/2006,6.513
11/30/2006,6.36
10/31/2006,6.41
9/29/2006,6.205
8/31/2006,6.219
7/31/2006,6.313
6/30/2006,6.1125
5/31/2006,6.138
4/28/2006,6.009
3/31/2006,5.68
2/28/2006,5.6025
1/31/2006,5.641
12/30/2005,5.641
11/30/2005,5.6775
10/31/2005,5.7425
9/30/2005,5.719
8/31/2005,5.385
7/29/2005,5.565
6/30/2005,5.48
5/31/2005,5.5425
4/29/2005,5.673
3/31/2005,5.94
2/28/2005,5.923
1/31/2005,5.6475
12/31/2004,5.47
11/30/2004,5.2851
10/29/2004,5.51
9/30/2004,5.567
8/31/2004,5.58
7/30/2004,5.727
6/30/2004,5.67
5/31/2004,5.69805
4/30/2004,5.7656
3/31/2004,5.486
2/27/2004,5.7135
1/30/2004,5.855
12/31/2003,5.7445
11/28/2003,6.0209
10/31/2003,5.702
9/30/2003,5.1023
8/29/2003,5.165
7/31/2003,4.899
6/30/2003,4.645
5/30/2003,4.61
4/30/2003,4.65
3/31/2003,4.6945
2/28/2003,4.53
1/31/2003,4.735
12/31/2002,4.755
11/29/2002,5.0025
10/31/2002,4.915
9/30/2002,5.0325
8/30/2002,5.35
7/31/2002,5.415
6/28/2002,5.697
5/31/2002,5.945
4/30/2002,5.53
3/29/2002,5.777
2/28/2002,5.31625
1/31/2002,5.2675
12/31/2001,4.945
11/30/2001,4.665
10/31/2001,4.255
9/28/2001,4.585
8/31/2001,5.018
7/31/2001,5.665
6/29/2001,5.61
5/31/2001,5.405
4/30/2001,5.14
3/30/2001,5
2/28/2001,5.17
1/31/2001,5.24
12/29/2000,5.635
11/30/2000,6.09
10/31/2000,6.475
9/29/2000,6.5825
8/31/2000,6.66
7/31/2000,6.57
6/30/2000,6.395
5/31/2000,6.5525
4/28/2000,6.775
3/31/2000,6.75
2/29/2000,6.67
1/31/2000,6.9
12/31/1999,6.775
11/30/1999,6.36
10/29/1999,6.3075
9/30/1999,5.835
8/31/1999,6.025
7/30/1999,5.67
6/30/1999,5.7
5/31/1999,5.515
4/30/1999,5.225
3/31/1999,5.08
2/26/1999,5.21
1/29/1999,4.935
12/31/1998,4.89
11/30/1998,4.82
10/30/1998,4.635
9/30/1998,4.865
8/31/1998,5.795
7/31/1998,5.395
6/30/1998,5.455
5/29/1998,4.95
4/30/1998,5.165
3/31/1998,5.165
2/27/1998,5.35
1/30/1998,5.36
12/31/1997,5.4
11/28/1997,5.59
10/31/1997,5.2
9/30/1997,5.09
8/29/1997,5.35
7/31/1997,5.43
6/30/1997,5.71
5/30/1997,6.05
4/30/1997,6.65
3/31/1997,6.985
2/28/1997,6.755
1/31/1997,6.3
12/31/1996,6.56
11/29/1996,6.54
10/31/1996,6.63
9/30/1996,6.91
8/30/1996,7.135
7/31/1996,7.39
6/28/1996,8.27
5/31/1996,8.27
4/30/1996,8.1
3/29/1996,8.3
2/29/1996,7.92
1/31/1996,7.2988
12/29/1995,7.3556
11/30/1995,7.3513
10/31/1995,7.8719
9/29/1995,7.6
8/31/1995,7.8031
7/31/1995,8.195
6/30/1995,7.94
5/31/1995,7.8069
4/28/1995,8.8925
3/31/1995,9.03
2/28/1995,9.1725
1/31/1995,10.1625
12/30/1994,10.1331
11/30/1994,9.9338
10/31/1994,9.1856
9/30/1994,8.7594
8/31/1994,8.0663
7/29/1994,8.01
6/30/1994,8.2756
5/31/1994,6.9544
4/29/1994,6.8425
3/31/1994,6.6225
2/28/1994,5.9175
1/31/1994,5.3519
12/31/1993,5.53
