Security,BCSFPPDV BLP Curncy
Start Date,6/28/2002 0:00
End Date,9/29/2023 0:00
Period,M
Currency,BRL
,
Date,PX_LAST
9/29/2023,10.612
8/31/2023,10.2166
7/31/2023,10.218
6/30/2023,10.3396
5/31/2023,11.1319
4/28/2023,11.9234
3/31/2023,11.9565
2/28/2023,12.6681
1/31/2023,12.7796
12/30/2022,12.6641
11/30/2022,13.0927
10/31/2022,11.8489
9/30/2022,11.8124
8/31/2022,12.2709
7/29/2022,12.9467
6/30/2022,13.0563
5/31/2022,12.5906
4/29/2022,12.3878
3/31/2022,11.8607
2/28/2022,11.88
1/31/2022,11.7063
12/31/2021,10.9648
11/30/2021,11.6975
10/29/2021,12.2802
9/30/2021,9.8312
8/31/2021,9.0162
7/30/2021,8.2477
6/30/2021,7.46
5/31/2021,7.0978
4/30/2021,6.6917
3/31/2021,6.7301
2/26/2021,5.8085
1/29/2021,4.93
12/31/2020,4.19
11/30/2020,4.8921
10/30/2020,4.8181
9/30/2020,4.15
8/31/2020,3.6964
7/31/2020,3.2978
6/30/2020,3.49
5/29/2020,3.6143
4/30/2020,4.0237
3/31/2020,4.3656
2/28/2020,4.7134
1/31/2020,5.0634
12/31/2019,5.28
11/29/2019,5.309
10/31/2019,4.8731
9/30/2019,5.44
8/30/2019,5.9424
7/31/2019,5.7511
6/28/2019,6.0786
5/31/2019,6.7483
4/30/2019,7.3725
3/29/2019,7.3469
2/28/2019,7.2823
1/31/2019,7.0764
12/31/2018,7.3544
11/30/2018,7.8722
10/31/2018,8.005
9/28/2018,9.29
8/31/2018,9.4849
7/31/2018,8.5301
6/29/2018,8.8345
5/31/2018,8.1648
4/30/2018,7.3247
3/30/2018,7.2865
2/28/2018,7.7375
1/31/2018,8.1062
12/29/2017,8.066
11/30/2017,8.3776
10/31/2017,8.2344
9/29/2017,7.9299
8/31/2017,8.306
7/31/2017,8.4861
6/30/2017,9.226
5/31/2017,9.5646
4/28/2017,9.5032
3/31/2017,9.5654
2/28/2017,9.8749
1/31/2017,10.3791
12/30/2016,11.0516
11/30/2016,11.5885
10/31/2016,11.5973
9/30/2016,11.7228
8/31/2016,12.3688
7/29/2016,12.4813
6/30/2016,12.6058
5/31/2016,12.7755
4/29/2016,12.6324
3/31/2016,13.7811
2/29/2016,14.6884
1/29/2016,15.2468
12/31/2015,16.5337
11/30/2015,16.1686
10/30/2015,15.8539
9/30/2015,15.8206
8/31/2015,14.1457
7/31/2015,13.0911
6/30/2015,13.6
5/29/2015,13.0674
4/30/2015,13.3523
3/31/2015,13.3
2/27/2015,12.7324
1/30/2015,12.4384
12/31/2014,12.8995
11/28/2014,12.2212
10/31/2014,12.3293
9/30/2014,12.2493
8/29/2014,11.24
7/31/2014,11.375
6/30/2014,11.4072
5/30/2014,11.5207
4/30/2014,12.1109
3/31/2014,12.23
2/28/2014,12.0041
1/31/2014,12.5551
12/31/2013,11.6372
11/29/2013,11.7255
10/31/2013,11.1452
9/30/2013,10.9274
8/30/2013,11.1821
7/31/2013,10.0168
6/28/2013,10.2436
5/31/2013,9.1432
4/30/2013,8.3819
3/29/2013,8.6424
2/28/2013,8.3997
1/31/2013,7.9937
12/31/2012,7.6996
11/30/2012,7.7613
10/31/2012,7.7475
9/28/2012,8.16
8/31/2012,8.2838
7/31/2012,8.1971
6/29/2012,8.1861
5/31/2012,8.4893
4/30/2012,8.9965
3/30/2012,9.7235
2/29/2012,9.8158
1/31/2012,10.0465
12/30/2011,10.4775
11/30/2011,9.8202
10/31/2011,10.522
9/30/2011,10.6321
8/31/2011,11.159
7/29/2011,12.7876
6/30/2011,12.7007
5/31/2011,12.519
4/29/2011,12.7176
3/31/2011,12.7643
2/28/2011,12.7245
1/31/2011,12.9154
12/31/2010,12.26
11/30/2010,12.2896
10/29/2010,11.713
