Security,CDSO2 BGN Curncy
Start Date,10/31/2007 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,CAD
,
Date,PX_LAST
9/29/2023,4.9895
8/31/2023,4.813
7/31/2023,4.8695
6/30/2023,4.721
5/31/2023,4.391
4/28/2023,3.8342
3/31/2023,3.819
2/28/2023,4.339
1/31/2023,3.8679
12/30/2022,4.108
11/30/2022,3.928
10/31/2022,3.965
9/30/2022,3.835
8/31/2022,3.769
7/29/2022,2.935
6/30/2022,3.179
5/31/2022,2.745
4/29/2022,2.788
3/31/2022,2.411
2/28/2022,1.6335
1/31/2022,1.54
12/31/2021,1.2255
11/30/2021,1.219
10/29/2021,1.28
9/30/2021,0.684
8/31/2021,0.54
7/30/2021,0.528
6/30/2021,0.563
5/31/2021,0.413
4/30/2021,0.389
3/31/2021,0.361
2/26/2021,0.384
1/29/2021,0.252
12/31/2020,0.221
11/30/2020,0.252
10/30/2020,0.25
9/30/2020,0.25
8/31/2020,0.267
7/31/2020,0.245
6/30/2020,0.2465
5/29/2020,0.223
4/30/2020,0.257
3/31/2020,0.331
2/28/2020,1.079
1/31/2020,1.414
12/31/2019,1.694
11/29/2019,1.577
10/31/2019,1.514
9/30/2019,1.5435
8/30/2019,1.306
7/31/2019,1.556
6/28/2019,1.5
5/31/2019,1.46
4/30/2019,1.609
3/29/2019,1.593
2/28/2019,1.7945
1/31/2019,1.7995
12/31/2018,1.834
11/30/2018,2.17
10/31/2018,2.3225
9/28/2018,2.191
8/31/2018,2.041
7/31/2018,2.029
6/29/2018,1.88
5/31/2018,1.854
4/30/2018,1.841
3/30/2018,1.7625
2/28/2018,1.796
1/31/2018,1.8245
12/29/2017,1.675
11/30/2017,1.4345
10/31/2017,1.3995
9/29/2017,1.5105
8/31/2017,1.2255
7/31/2017,1.243
6/30/2017,1.0635
5/31/2017,0.6625
4/28/2017,0.645
3/31/2017,0.6825
2/28/2017,0.629
1/31/2017,0.637
12/30/2016,0.675
11/30/2016,0.6025
10/31/2016,0.4625
9/30/2016,0.446
8/31/2016,0.486
7/29/2016,0.474
6/30/2016,0.4225
5/31/2016,0.533
4/29/2016,0.577
3/31/2016,0.467
2/29/2016,0.408
1/29/2016,0.342
12/31/2015,0.4925
11/30/2015,0.595
10/30/2015,0.565
9/30/2015,0.519
8/31/2015,0.436
7/31/2015,0.4655
6/30/2015,0.627
5/29/2015,0.703
4/30/2015,0.785
3/31/2015,0.581
2/27/2015,0.57
1/30/2015,0.504
12/31/2014,1.14
11/28/2014,1.128
10/31/2014,1.14
9/30/2014,1.2
8/29/2014,1.172
7/31/2014,1.18
6/30/2014,1.1675
5/30/2014,1.098
4/30/2014,1.13
3/31/2014,1.137
2/28/2014,1.07
1/31/2014,1.0025
12/31/2013,1.114
11/29/2013,1.09
10/31/2013,1.12
9/30/2013,1.203
8/30/2013,1.26
7/31/2013,1.266
6/28/2013,1.31
5/31/2013,1.18
4/30/2013,1.01
3/29/2013,1.05
2/28/2013,1.012
1/31/2013,1.163
12/31/2012,1.136
11/30/2012,1.055
10/31/2012,1.05
9/28/2012,1.054
8/31/2012,1.138
7/31/2012,1.0713
6/29/2012,1
5/31/2012,1.035
4/30/2012,1.372
3/30/2012,1.157
2/29/2012,1.045
1/31/2012,0.895
12/30/2011,0.859
11/30/2011,0.88
10/31/2011,0.896
9/30/2011,0.705
8/31/2011,0.9681
7/29/2011,1.345
6/30/2011,1.5468
5/31/2011,1.5449
4/29/2011,1.7243
3/31/2011,1.8123
2/28/2011,1.7931
1/31/2011,1.5951
12/31/2010,1.6604
11/30/2010,1.577
10/29/2010,1.36
9/30/2010,1.343
8/31/2010,1.145
7/30/2010,1.388
6/30/2010,1.3475
5/31/2010,1.777
4/30/2010,1.9065
3/31/2010,1.673
2/26/2010,1.18
1/29/2010,1.194
12/31/2009,1.404
11/30/2009,1.001
10/30/2009,1.247
9/30/2009,1.234
8/31/2009,1.184
7/31/2009,1.196
6/30/2009,1.066
5/29/2009,0.921
4/30/2009,0.688
3/31/2009,0.6845
2/27/2009,0.938
1/30/2009,1.061
12/31/2008,0.7815
11/28/2008,1.4115
10/31/2008,1.948
9/30/2008,2.857
8/29/2008,2.7915
7/31/2008,3.05
6/30/2008,3.463
5/30/2008,3.189
4/30/2008,2.9575
3/31/2008,2.953
2/29/2008,3.09
1/31/2008,3.2975
12/31/2007,3.8935
11/30/2007,3.975
10/31/2007,4.363
