Security,CCSWO10 BGN Curncy
Start Date,4/28/2006 0:00
End Date,9/29/2023 0:00
Period,M
Currency,CNY
,
Date,PX_LAST
9/29/2023,2.72
8/31/2023,2.625
7/31/2023,2.7613
6/30/2023,2.745
5/31/2023,2.815
4/28/2023,3.065
3/31/2023,3.115
2/28/2023,3.245
1/31/2023,3.185
12/30/2022,3.06
11/30/2022,3.13
10/31/2022,2.76
9/30/2022,2.86
8/31/2022,2.725
7/29/2022,2.825
6/30/2022,2.9138
5/31/2022,2.8495
4/29/2022,2.9
3/31/2022,2.865
2/28/2022,2.86
1/31/2022,2.705
12/31/2021,2.845
11/30/2021,2.9526
10/29/2021,3.0825
9/30/2021,2.995
8/31/2021,2.96
7/30/2021,2.975
6/30/2021,3.18
5/31/2021,3.17
4/30/2021,3.2
3/31/2021,3.2387
2/26/2021,3.383
1/29/2021,3.25
12/31/2020,3.1125
11/30/2020,3.1994
10/30/2020,3.0996
9/30/2020,3.1134
8/31/2020,3.115
7/31/2020,3.055
6/30/2020,2.81
5/29/2020,2.5231
4/30/2020,2.355
3/31/2020,2.615
2/28/2020,2.835
1/31/2020,3.16
12/31/2019,3.26
11/29/2019,3.23
10/31/2019,3.42
9/30/2019,3.25
8/30/2019,3.195
7/31/2019,3.19
6/28/2019,3.21
5/31/2019,3.355
4/30/2019,3.49
3/29/2019,3.25
2/28/2019,3.305
1/31/2019,3.15
12/31/2018,3.21
11/30/2018,3.385
10/31/2018,3.38
9/28/2018,3.51
8/31/2018,3.4525
7/31/2018,3.34
6/29/2018,3.44
5/31/2018,3.76
4/30/2018,3.81
3/30/2018,3.8449
2/28/2018,4.05
1/31/2018,4.14
12/29/2017,4.12
11/30/2017,4.0704
10/31/2017,4.065
9/29/2017,3.9063
8/31/2017,3.97
7/31/2017,3.88
6/30/2017,4.15
5/31/2017,4.27
4/28/2017,4.44
3/31/2017,4.3
2/28/2017,4.36
1/31/2017,4.34
12/30/2016,4.34
11/30/2016,3.695
10/31/2016,3.18
9/30/2016,3.02
8/31/2016,2.96
7/29/2016,2.91
6/30/2016,2.99
5/31/2016,3.03
4/29/2016,3.3
3/31/2016,2.92
2/29/2016,2.7601
1/29/2016,2.82
12/31/2015,2.84
11/30/2015,2.95
10/30/2015,2.92
9/30/2015,3.06
8/31/2015,3.01
7/31/2015,3.2
6/30/2015,3.11
5/29/2015,3.19
4/30/2015,2.92
3/31/2015,3.765
2/27/2015,3.33
1/30/2015,3.475
12/31/2014,3.735
11/28/2014,3.26
10/31/2014,3.5
9/30/2014,3.674
8/29/2014,4.02
7/31/2014,4.493
6/30/2014,4.33
5/30/2014,4.04
4/30/2014,4.22
3/31/2014,4.72
2/28/2014,4.75
1/31/2014,5.1
12/31/2013,5.44
11/29/2013,4.88
10/31/2013,4.54
9/30/2013,4.37
8/30/2013,4.5
7/31/2013,4.28
6/28/2013,3.99
5/31/2013,3.725
4/30/2013,3.72
3/29/2013,3.87
2/28/2013,3.89
1/31/2013,3.95
12/31/2012,3.87
11/30/2012,3.85
10/31/2012,3.58
9/28/2012,3.36
8/31/2012,3.29
7/31/2012,2.93
6/29/2012,2.97
5/31/2012,2.94
4/30/2012,3.56
3/30/2012,3.44
2/29/2012,3.56
1/31/2012,3.28
12/30/2011,2.97
11/30/2011,3.15
10/31/2011,3.77
9/30/2011,3.69
8/31/2011,4.19
7/29/2011,4.37
6/30/2011,4.28
5/31/2011,4.17
4/29/2011,4.35
3/31/2011,4.41
2/28/2011,4.49
1/31/2011,4.51
12/31/2010,4.1
11/30/2010,4.22
10/29/2010,3.83
9/30/2010,3.26
8/31/2010,3.06
7/30/2010,3.27
6/30/2010,3.45
5/31/2010,3.4
4/30/2010,3.83
3/31/2010,4.17
2/26/2010,4.195
1/29/2010,4.25
12/31/2009,4.195
11/30/2009,3.94
10/30/2009,4.38
9/30/2009,4.135
8/31/2009,3.94
7/31/2009,3.965
6/30/2009,3.62
5/29/2009,3.1155
4/30/2009,3.155
3/31/2009,3
2/27/2009,2.569
1/30/2009,2.277
12/31/2008,1.79
11/28/2008,2
10/31/2008,2.5325
9/30/2008,3.2475
8/29/2008,3.96
7/31/2008,4.11
6/30/2008,4.4538
5/30/2008,3.8113
4/30/2008,3.725
3/31/2008,3.65
2/29/2008,3.8667
1/31/2008,3.9
12/31/2007,4.36
11/30/2007,4.4
10/31/2007,4.685
9/28/2007,4.85
8/31/2007,4.881
7/31/2007,5.05
6/29/2007,4.701
5/31/2007,4.5755
4/30/2007,4.005
3/30/2007,3.79
2/28/2007,3.4811
1/31/2007,3.265
12/29/2006,3.3233
11/30/2006,3.3282
10/31/2006,3.245
9/29/2006,3.2782
8/31/2006,3.6108
7/31/2006,3.6886
6/30/2006,3.5319
5/31/2006,3.339
4/28/2006,3.4482
