Security,BPSWS10 BGN Curncy
Start Date,5/30/2008 0:00
End Date,9/29/2023 0:00
Period,M
Currency,GBP
,
Date,PX_LAST
9/29/2023,4.3535
8/31/2023,4.30513
7/31/2023,4.2505
6/30/2023,4.3641
5/31/2023,4.0985
4/28/2023,3.683
3/31/2023,3.428
2/28/2023,3.739
1/31/2023,3.3795
12/30/2022,3.749
11/30/2022,3.375
10/31/2022,3.8034
9/30/2022,4.451
8/31/2022,2.9757
7/29/2022,2.0342
6/30/2022,2.3296
5/31/2022,2.1504
4/29/2022,1.9302
3/31/2022,1.654
2/28/2022,1.401
1/31/2022,1.228
12/31/2021,0.94995
11/30/2021,0.808
10/29/2021,0.974
9/30/2021,0.9169
8/31/2021,0.634
7/30/2021,0.565
6/30/2021,0.7051
5/31/2021,0.7735
4/30/2021,0.8211
3/31/2021,0.80875
2/26/2021,0.749
1/29/2021,0.2837
12/31/2020,0.155
11/30/2020,0.24188
10/30/2020,0.19235
9/30/2020,0.14766
8/31/2020,0.223
7/31/2020,0.05285
6/30/2020,0.11325
5/29/2020,0.1365
4/30/2020,0.1973
3/31/2020,0.3015
2/28/2020,0.41875
1/31/2020,0.5158
12/31/2019,0.7815
11/29/2019,0.673
10/31/2019,0.56125
9/30/2019,0.3996
8/30/2019,0.387
7/31/2019,0.6015
6/28/2019,0.81325
5/31/2019,0.8625
4/30/2019,1.1132
3/29/2019,0.94375
2/28/2019,1.247
1/31/2019,1.1401
12/31/2018,1.15625
11/30/2018,1.28175
10/31/2018,1.30825
9/28/2018,1.3998
8/31/2018,1.249
7/31/2018,1.26425
6/29/2018,1.2005
5/31/2018,1.1235
4/30/2018,1.2304
3/30/2018,1.155
2/28/2018,1.3276
1/31/2018,1.3333
12/29/2017,1.0591
11/30/2017,1.1805
10/31/2017,1.1681
9/29/2017,1.2165
8/31/2017,0.8918
7/31/2017,1.0572
6/30/2017,1.117
5/31/2017,0.873
4/28/2017,0.8555
3/31/2017,0.9085
2/28/2017,0.853
1/31/2017,1.134
12/30/2016,0.9555
11/30/2016,1.094
10/31/2016,0.8835
9/30/2016,0.5015
8/31/2016,0.398
7/29/2016,0.501
6/30/2016,0.6365
5/31/2016,1.1745
4/29/2016,1.2265
3/31/2016,1.0725
2/29/2016,0.9005
1/29/2016,1.2455
12/31/2015,1.677
11/30/2015,1.5215
10/30/2015,1.6165
9/30/2015,1.4975
8/31/2015,1.7
7/31/2015,1.7275
6/30/2015,1.8005
5/29/2015,1.56
4/30/2015,1.57
3/31/2015,1.3435
2/27/2015,1.59625
1/30/2015,1.105
12/31/2014,1.4651
11/28/2014,1.615
10/31/2014,1.954
9/30/2014,2.14875
8/29/2014,2.024
7/31/2014,2.355
6/30/2014,2.419
5/30/2014,2.2937
4/30/2014,2.347
3/31/2014,2.4075
2/28/2014,2.4185
1/31/2014,2.3795
12/31/2013,2.6415
11/29/2013,2.3695
10/31/2013,2.253
9/30/2013,2.3551
8/30/2013,2.39375
7/31/2013,2.1805
6/28/2013,2.238
5/31/2013,1.828
4/30/2013,1.547
3/29/2013,1.5675
2/28/2013,1.716
1/31/2013,1.803
12/31/2012,1.5625
11/30/2012,1.575
10/31/2012,1.668
9/28/2012,1.58
8/31/2012,1.52
7/31/2012,1.5525
6/29/2012,1.7099
5/31/2012,1.525
4/30/2012,1.9758
3/30/2012,2.0525
2/29/2012,1.9875
1/31/2012,1.7975
12/30/2011,1.7325
11/30/2011,1.94
10/31/2011,2.1797
9/30/2011,2.028
8/31/2011,2.3825
7/29/2011,2.662
6/30/2011,3.158
5/31/2011,3.059
4/29/2011,3.24675
3/31/2011,3.44225
2/28/2011,3.375
1/31/2011,3.425
12/31/2010,3.14875
11/30/2010,2.92825
10/29/2010,2.76
9/30/2010,2.6
8/31/2010,2.545
7/30/2010,2.9375
6/30/2010,2.8775
5/31/2010,3.0325
4/30/2010,3.375
3/31/2010,3.37
2/26/2010,3.42
1/29/2010,3.5425
12/31/2009,3.745
11/30/2009,3.34
10/30/2009,3.5575
9/30/2009,3.6325
8/31/2009,3.62
7/31/2009,3.88
6/30/2009,3.7425
5/29/2009,3.4925
4/30/2009,3.17
3/31/2009,3.055
2/27/2009,3.2725
1/30/2009,3.285
12/31/2008,2.935
11/28/2008,3.43
10/31/2008,4.33
9/30/2008,4.4425
8/29/2008,4.675
7/31/2008,4.955
6/30/2008,5.3825
5/30/2008,5.1955
