Security,JYSO2 BGN Curncy
Start Date,12/30/2005 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,JPY
,
Date,PX_LAST
9/29/2023,0.20875
8/31/2023,0.13
7/31/2023,0.0925
6/30/2023,0.06375
5/31/2023,0.07125
4/28/2023,0.074
3/31/2023,0.125
2/28/2023,0.1825
1/31/2023,0.17875
12/30/2022,0.2425
11/30/2022,0.128
10/31/2022,0.08998
9/30/2022,0.1
8/31/2022,0.06
7/29/2022,0.01625
6/30/2022,0.0625
5/31/2022,0.02875
4/29/2022,0.0425
3/31/2022,0.02943
2/28/2022,0.01124
1/31/2022,-0.0024
12/31/2021,-0.035
11/30/2021,-0.0416
10/29/2021,-0.015
9/30/2021,-0.03
8/31/2021,-0.0584
7/30/2021,-0.067
6/30/2021,-0.0542
5/31/2021,-0.04925
4/30/2021,-0.05675
3/31/2021,-0.0525
2/26/2021,-0.0575
1/29/2021,-0.08125
12/31/2020,-0.07125
11/30/2020,-0.0725
10/30/2020,-0.0725
9/30/2020,-0.0944
8/31/2020,-0.07
7/31/2020,-0.0825
6/30/2020,-0.08375
5/29/2020,-0.105
4/30/2020,-0.125
3/31/2020,-0.0775
2/28/2020,-0.175
1/31/2020,-0.09875
12/31/2019,-0.0588
11/29/2019,-0.10625
10/31/2019,-0.1675
9/30/2019,-0.2106
8/30/2019,-0.20625
7/31/2019,-0.17125
6/28/2019,-0.1813
5/31/2019,-0.12
4/30/2019,-0.10125
3/29/2019,-0.113
2/28/2019,-0.1013
1/31/2019,-0.08539
12/31/2018,-0.05546
11/30/2018,-0.04
10/31/2018,-0.0225
9/28/2018,-0.019
8/31/2018,-0.025
7/31/2018,-0.035
6/29/2018,-0.03125
5/31/2018,-0.02741
4/30/2018,-0.017
3/30/2018,-0.01875
2/28/2018,-0.015
1/31/2018,-0.01037
12/29/2017,-0.0225
11/30/2017,-0.019
10/31/2017,-0.0175
9/29/2017,-0.04625
8/31/2017,-0.05526
7/31/2017,-0.0475
6/30/2017,-0.04625
5/31/2017,-0.048
4/28/2017,-0.06375
3/31/2017,-0.029
2/28/2017,-0.03125
1/31/2017,-0.025
12/30/2016,-0.0625
11/30/2016,-0.0725
10/31/2016,-0.1288
9/30/2016,-0.225
8/31/2016,-0.211
7/29/2016,-0.2125
6/30/2016,-0.293
5/31/2016,-0.26
4/29/2016,-0.235
3/31/2016,-0.205
2/29/2016,-0.304
1/29/2016,-0.065
12/31/2015,0.04625
11/30/2015,0.036
10/30/2015,0.0413
9/30/2015,0.04125
8/31/2015,0.0575
7/31/2015,0.063
6/30/2015,0.0631
5/29/2015,0.057
4/30/2015,0.06
3/31/2015,0.075
2/27/2015,0.05375
1/30/2015,0.0463
12/31/2014,0.053
11/28/2014,0.054
10/31/2014,0.045
9/30/2014,0.0625
8/29/2014,0.05875
7/31/2014,0.05625
6/30/2014,0.0625
5/30/2014,0.06375
4/30/2014,0.0663
3/31/2014,0.065
2/28/2014,0.0675
1/31/2014,0.0725
12/31/2013,0.081
11/29/2013,0.0745
10/31/2013,0.08
9/30/2013,0.086
8/30/2013,0.0955
7/31/2013,0.1
6/28/2013,0.11
5/31/2013,0.1035
4/30/2013,0.08625
3/29/2013,0.065
2/28/2013,0.05688
1/31/2013,0.0575
12/31/2012,0.057
11/30/2012,0.0613
10/31/2012,0.064
9/28/2012,0.0695
8/31/2012,0.065
7/31/2012,0.0575
6/29/2012,0.065
5/31/2012,0.0675
4/30/2012,0.07
3/30/2012,0.0775
2/29/2012,0.071
1/31/2012,0.067
12/30/2011,0.0575
11/30/2011,0.0575
10/31/2011,0.069
9/30/2011,0.065
8/31/2011,0.07
7/29/2011,0.0875
6/30/2011,0.095
5/31/2011,0.095
4/29/2011,0.0975
3/31/2011,0.1035
2/28/2011,0.15
1/31/2011,0.135
12/31/2010,0.13
11/30/2010,0.1375
10/29/2010,0.0845
9/30/2010,0.07375
8/31/2010,0.08
7/30/2010,0.1075
6/30/2010,0.1125
5/31/2010,0.11625
4/30/2010,0.13
3/31/2010,0.135
2/26/2010,0.13875
1/29/2010,0.1455
12/31/2009,0.1375
11/30/2009,0.1825
10/30/2009,0.2125
9/30/2009,0.20188
8/31/2009,0.19188
7/31/2009,0.2025
6/30/2009,0.195
5/29/2009,0.215
4/30/2009,0.19063
3/31/2009,0.195
2/27/2009,0.185
1/30/2009,0.2225
12/31/2008,0.13
11/28/2008,0.3695
10/31/2008,0.39
9/30/2008,0.611
8/29/2008,0.615
7/31/2008,0.694
6/30/2008,0.77
5/30/2008,0.83
4/30/2008,0.6785
3/31/2008,0.4625
2/29/2008,0.4765
1/31/2008,0.4675
12/31/2007,0.6175
11/30/2007,0.6875
10/31/2007,0.7455
9/28/2007,0.84375
8/31/2007,0.7975
7/31/2007,1.0025
6/29/2007,1.031
5/31/2007,0.971
4/30/2007,0.8475
3/30/2007,0.785
2/28/2007,0.701
1/31/2007,0.6
12/29/2006,0.685
11/30/2006,0.675
10/31/2006,0.71625
9/29/2006,0.62475
8/31/2006,0.59375
7/31/2006,0.816
6/30/2006,0.824
5/31/2006,0.8115
4/28/2006,0.72625
3/31/2006,0.7025
2/28/2006,0.533
1/31/2006,0.203
12/30/2005,0.285
