Security,MPSW10J BGN Curncy
Start Date,5/31/2002 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,MXN
,
Date,PX_LAST
9/29/2023,9.475
8/31/2023,8.758
7/31/2023,8.29
6/30/2023,8.09
5/31/2023,8.33
4/28/2023,8.35
3/31/2023,8.375
2/28/2023,8.96
1/31/2023,8.395
12/30/2022,8.73
11/30/2022,8.61
10/31/2022,9.305
9/30/2022,9.2
8/31/2022,8.73
7/29/2022,8.14
6/30/2022,8.89
5/31/2022,8.48
4/29/2022,8.965
3/31/2022,8.165
2/28/2022,7.895
1/31/2022,7.565
12/31/2021,7.525
11/30/2021,7.455
10/29/2021,7.63
9/30/2021,7.455
8/31/2021,6.91
7/30/2021,6.865
6/30/2021,7.005
5/31/2021,6.795
4/30/2021,6.905
3/31/2021,6.86
2/26/2021,6.305
1/29/2021,5.52
12/31/2020,5.385
11/30/2020,5.55
10/30/2020,5.895
9/30/2020,5.865
8/31/2020,5.86
7/31/2020,5.58
6/30/2020,5.655
5/29/2020,6.01
4/30/2020,6.34
3/31/2020,7.02
2/28/2020,6.745
1/31/2020,6.61
12/31/2019,6.81
11/29/2019,6.93
10/31/2019,6.62
9/30/2019,6.8
8/30/2019,6.905
7/31/2019,7.465
6/28/2019,7.57
5/31/2019,8.07
4/30/2019,8.16
3/29/2019,8.115
2/28/2019,8.385
1/31/2019,8.505
12/31/2018,8.84
11/30/2018,9.26
10/31/2018,9.04
9/28/2018,8.225
8/31/2018,8.205
7/31/2018,8.125
6/29/2018,8.035
5/31/2018,8.13
4/30/2018,7.78
3/30/2018,7.67
2/28/2018,7.93
1/31/2018,7.94
12/29/2017,7.98
11/30/2017,7.53
10/31/2017,7.475
9/29/2017,7.085
8/31/2017,7.15
7/31/2017,7.145
6/30/2017,7.18
5/31/2017,7.6125
4/28/2017,7.48
3/31/2017,7.43
2/28/2017,7.825
1/31/2017,7.855
12/30/2016,7.92
11/30/2016,7.64
10/31/2016,6.525
9/30/2016,6.41
8/31/2016,6.13
7/29/2016,6.215
6/30/2016,6.085
5/31/2016,6.315
4/29/2016,6.1
3/31/2016,6.06
2/29/2016,6.145
1/29/2016,5.99
12/31/2015,6.395
11/30/2015,6.27
10/30/2015,6.29
9/30/2015,6.39
8/31/2015,6.36
7/31/2015,6.269
6/30/2015,6.375
5/29/2015,6.238
4/30/2015,6.12
3/31/2015,6.031
2/27/2015,5.8625
1/30/2015,5.47
12/31/2014,6.1
11/28/2014,5.87
10/31/2014,6.16
9/30/2014,6.395
8/29/2014,6.017
7/31/2014,6.199
6/30/2014,6.055
5/30/2014,6.32
4/30/2014,6.58
3/31/2014,6.6125
2/28/2014,6.695
1/31/2014,6.955
12/31/2013,6.826
11/29/2013,6.738
10/31/2013,6.58
9/30/2013,6.63
8/30/2013,7.04
7/31/2013,6.715
6/28/2013,6.62
5/31/2013,6
4/30/2013,5.171
3/29/2013,5.54
2/28/2013,5.575
1/31/2013,5.64
12/31/2012,5.825
11/30/2012,5.815
10/31/2012,5.94
9/28/2012,5.854
8/31/2012,5.8175
7/31/2012,5.625
6/29/2012,5.89
5/31/2012,6.481
4/30/2012,6.4113
3/30/2012,6.63
2/29/2012,6.581
1/31/2012,6.273
12/30/2011,6.775
11/30/2011,6.51
10/31/2011,6.465
9/30/2011,6.85
8/31/2011,6.425
7/29/2011,6.86
6/30/2011,7.29
5/31/2011,7.16
4/29/2011,7.4775
3/31/2011,7.92
2/28/2011,7.82
1/31/2011,7.65
12/31/2010,7.325
11/30/2010,7.1063
10/29/2010,6.42
9/30/2010,6.485
8/31/2010,6.62
7/30/2010,6.9075
6/30/2010,7.2988
5/31/2010,7.6338
4/30/2010,7.745
3/31/2010,7.852
2/26/2010,7.95
1/29/2010,8.1875
12/31/2009,8.32
11/30/2009,8.181
10/30/2009,8.26
9/30/2009,8.1675
8/31/2009,8.36
7/31/2009,8.26
6/30/2009,8.25
5/29/2009,8.121
4/30/2009,7.8065
3/31/2009,7.831
2/27/2009,8.7475
1/30/2009,8.1205
12/31/2008,8.31
11/28/2008,9.49
10/31/2008,9.54
9/30/2008,8.849
8/29/2008,8.871
7/31/2008,9.3945
6/30/2008,9.84
5/30/2008,8.653
4/30/2008,8.439
3/31/2008,7.835
2/29/2008,8.04
1/31/2008,8.15
12/31/2007,8.595
11/30/2007,8.39
10/31/2007,8.252
9/28/2007,8.37
8/31/2007,8.3395
7/31/2007,8.21
6/29/2007,8.075
5/31/2007,7.895
4/30/2007,8.035
3/30/2007,7.941
2/28/2007,8.425
1/31/2007,8.27
12/29/2006,7.88
11/30/2006,8.205
10/31/2006,8.405
9/29/2006,8.8491
8/31/2006,8.8354
7/31/2006,9.1375
6/30/2006,9.7517
5/31/2006,9.8313
4/28/2006,9.3
3/31/2006,9.33
2/28/2006,8.53
1/31/2006,8.88
12/30/2005,9.05
11/30/2005,9.32
10/31/2005,9.67
9/30/2005,9.24
8/31/2005,9.62
7/29/2005,10
6/30/2005,9.9438
5/31/2005,10.43
4/29/2005,11.335
3/31/2005,11.135
2/28/2005,10.66
1/31/2005,10.41
12/31/2004,10.7
11/30/2004,11.11
10/29/2004,10.76
9/30/2004,10.78
8/31/2004,10.82
7/30/2004,10.9
6/30/2004,11.05
5/31/2004,10.415
4/30/2004,9.82
3/31/2004,9.07
2/27/2004,9.34
1/30/2004,9.335
12/31/2003,9.65
11/28/2003,9.65
10/31/2003,9.26
9/30/2003,9.25
8/29/2003,9.85
7/31/2003,9.83
6/30/2003,9.23
5/30/2003,9.48
4/30/2003,9.75
3/31/2003,10.75
2/28/2003,11.15
1/31/2003,11.25
12/31/2002,11.3
11/29/2002,11.6
10/31/2002,12.05
9/30/2002,12.4
8/30/2002,11.625
7/31/2002,11.78
6/28/2002,11.65
5/31/2002,11.35
