Security,MPSW2B BGN Curncy
Start Date,2/29/2000 0:00
End Date,9/29/2023 0:00
Period,M
Pricing Source,MXN
,
Date,PX_LAST
9/29/2023,10.62
8/31/2023,10.12
7/31/2023,9.705
6/30/2023,9.74
5/31/2023,9.85
4/28/2023,9.975
3/31/2023,10.02
2/28/2023,10.795
1/31/2023,9.805
12/30/2022,9.865
11/30/2022,9.92
10/31/2022,10.15
9/30/2022,10.145
8/31/2022,9.55
7/29/2022,8.77
6/30/2022,9.495
5/31/2022,9.03
4/29/2022,9.245
3/31/2022,8.55
2/28/2022,7.925
1/31/2022,7.475
12/31/2021,7.35
11/30/2021,7.04
10/29/2021,7.26
9/30/2021,6.405
8/31/2021,5.81
7/30/2021,5.88
6/30/2021,6.065
5/31/2021,5.235
4/30/2021,5.05
3/31/2021,5.1
2/26/2021,4.51
1/29/2021,4.235
12/31/2020,4.29
11/30/2020,4.43
10/30/2020,4.57
9/30/2020,4.5
8/31/2020,4.5025
7/31/2020,4.335
6/30/2020,4.4
5/29/2020,4.81
4/30/2020,4.94
3/31/2020,5.75
2/28/2020,6.525
1/31/2020,6.58
12/31/2019,6.67
11/29/2019,6.795
10/31/2019,6.42
9/30/2019,6.655
8/30/2019,7.02
7/31/2019,7.455
6/28/2019,7.495
5/31/2019,8.075
4/30/2019,8.09
3/29/2019,8.02
2/28/2019,8.155
1/31/2019,8.265
12/31/2018,8.62
11/30/2018,8.765
10/31/2018,8.78
9/28/2018,7.945
8/31/2018,8.08
7/31/2018,8.14
6/29/2018,8.115
5/31/2018,8.14
4/30/2018,7.65
3/30/2018,7.575
2/28/2018,7.79
1/31/2018,7.84
12/29/2017,8.02
11/30/2017,7.515
10/31/2017,7.35
9/29/2017,7.01
8/31/2017,7.0675
7/31/2017,6.995
6/30/2017,6.87
5/31/2017,7.5075
4/28/2017,7.225
3/31/2017,7.15
2/28/2017,7.305
1/31/2017,7.255
12/30/2016,7.245
11/30/2016,6.835
10/31/2016,5.815
9/30/2016,5.785
8/31/2016,5.34
7/29/2016,5.495
6/30/2016,5.03
5/31/2016,4.985
4/29/2016,4.66
3/31/2016,4.62
2/29/2016,4.65
1/29/2016,4.105
12/31/2015,4.425
