Security,RRSO2 CMPN Curncy
Start Date,4/30/2015 0:00
End Date,9/29/2023 0:00
Period,M
Currency,RUB
,
Date,PX_LAST
9/29/2023,14.02
8/31/2023,14.13
7/31/2023,9.49
6/30/2023,10.15
5/31/2023,11.2
4/28/2023,11.1
3/31/2023,11.4
2/28/2023,7.96
1/31/2023,7.88
12/30/2022,13.05
11/30/2022,7.88
10/31/2022,9.95
9/30/2022,8.22
8/31/2022,7.87
7/29/2022,7.75
6/30/2022,7.75
5/31/2022,7.5583
4/29/2022,12
3/31/2022,17.3
2/28/2022,15.14
1/31/2022,10.53
12/31/2021,9.1
11/30/2021,8.98
10/29/2021,8.91
9/30/2021,7.27
8/31/2021,6.98
7/30/2021,6.785
6/30/2021,6.98
5/31/2021,6.53
4/30/2021,6.33
3/31/2021,5.99
2/26/2021,5.22
1/29/2021,4.8175
12/31/2020,4.7867
11/30/2020,4.52
10/30/2020,4.6167
9/30/2020,4.5933
8/31/2020,4.4667
7/31/2020,4.24
6/30/2020,4.235
5/29/2020,4.525
4/30/2020,5.01
3/31/2020,6.6433
2/28/2020,5.89
1/31/2020,5.9
12/31/2019,6.05
11/29/2019,6.16
10/31/2019,6.04
9/30/2019,6.75
8/30/2019,7.02
7/31/2019,7.05
6/28/2019,7.24
5/31/2019,7.8
4/30/2019,7.75
3/29/2019,7.75
2/28/2019,8.3
1/31/2019,8.3
12/31/2018,8.7
11/30/2018,8.6
10/31/2018,8.55
9/28/2018,8.35
8/31/2018,7.75
7/31/2018,6.98
6/29/2018,6.98
5/31/2018,6.98
4/30/2018,6.95
3/30/2018,6.35
2/28/2018,6.4
1/31/2018,7
12/29/2017,7.35
11/30/2017,7.495
10/31/2017,8.6
9/29/2017,8.6
8/31/2017,8.6
7/31/2017,8.6
6/30/2017,8.6
5/31/2017,8.6
4/28/2017,8.6
3/31/2017,9.15
2/28/2017,9.15
1/31/2017,9.15
12/30/2016,9.3
11/30/2016,9.3
10/31/2016,9.35
9/30/2016,9.25
8/31/2016,9.5
7/29/2016,9.8
6/30/2016,9.8
5/31/2016,9.8
4/29/2016,10.4
3/31/2016,10.4
2/29/2016,10.8
1/29/2016,10.8
12/31/2015,10.8
11/30/2015,10.75
10/30/2015,11
9/30/2015,10.75
8/31/2015,11.22
7/31/2015,10.75
6/30/2015,10.7
5/29/2015,10.95
4/30/2015,11.73
