Security,SRSW2 BGN Curncy
Start Date,9/29/2000 0:00
End Date,9/29/2023 0:00
Period,M
Currency,SAR
,
Date,PX_LAST
9/29/2023,5.72
8/31/2023,5.545
7/31/2023,5.48
6/30/2023,5.57
5/31/2023,5.099
4/28/2023,4.8463
3/31/2023,4.968
2/28/2023,5.54
1/31/2023,4.9
12/30/2022,5.13
11/30/2022,5
10/31/2022,5.38
9/30/2022,4.86
8/31/2022,4.155
7/29/2022,3.558
6/30/2022,3.731
5/31/2022,3.6
4/29/2022,3.747
3/31/2022,3.3304
2/28/2022,2.365
1/31/2022,2.062
12/31/2021,1.745
11/30/2021,1.58
10/29/2021,1.459
9/30/2021,1.155
8/31/2021,1.036
7/30/2021,1.072
6/30/2021,1.12
5/31/2021,0.97
4/30/2021,0.9535
3/31/2021,0.9754
2/26/2021,0.938
1/29/2021,0.9734
12/31/2020,1.0221
11/30/2020,0.979
10/30/2020,1.005
9/30/2020,1.0622
8/31/2020,1.045
7/31/2020,0.995
6/30/2020,0.952
5/29/2020,1.1175
4/30/2020,1.185
3/31/2020,1.225
2/28/2020,1.589
1/31/2020,1.821
12/31/2019,2.09
11/29/2019,2.04
10/31/2019,1.954
9/30/2019,1.988
8/30/2019,1.9006
7/31/2019,2.3513
6/28/2019,2.274
5/31/2019,2.425
4/30/2019,2.725
3/29/2019,2.725
2/28/2019,3.012
1/31/2019,3.045
12/31/2018,3.1
11/30/2018,3.283
10/31/2018,3.3869
9/28/2018,3.35
8/31/2018,3.245
7/31/2018,3.244
6/29/2018,3.121
5/31/2018,2.954
4/30/2018,2.9656
3/30/2018,2.8677
2/28/2018,2.7038
1/31/2018,2.5758
12/29/2017,2.599
11/30/2017,2.563
10/31/2017,2.4275
9/29/2017,2.3155
8/31/2017,2.31
7/31/2017,2.3665
6/30/2017,2.4345
5/31/2017,2.246
4/28/2017,2.5
3/31/2017,2.49
2/28/2017,2.4415
1/31/2017,2.592
12/30/2016,2.514
11/30/2016,2.535
10/31/2016,2.797
9/30/2016,3.171
8/31/2016,2.9205
7/29/2016,2.8655
6/30/2016,2.7545
5/31/2016,2.7513
4/29/2016,2.448
3/31/2016,2.228
2/29/2016,2.19
1/29/2016,2.2951
12/31/2015,2.335
11/30/2015,1.967
10/30/2015,1.6528
9/30/2015,1.373
8/31/2015,1.5462
7/31/2015,1.27
6/30/2015,1.2463
5/29/2015,1.18
4/30/2015,1.235
3/31/2015,1.146
2/27/2015,1.1
1/30/2015,1.112
12/31/2014,1.215
11/28/2014,1.0763
10/31/2014,1.22
9/30/2014,1.2963
8/29/2014,1.22
7/31/2014,1.2685
6/30/2014,1.124
5/30/2014,1.095
4/30/2014,1.124
3/31/2014,1.09
2/28/2014,1.015
1/31/2014,1
12/31/2013,1.07
11/29/2013,0.963
10/31/2013,0.945
9/30/2013,0.95
8/30/2013,1.02
7/31/2013,0.94
6/28/2013,0.965
5/31/2013,0.965
4/30/2013,0.955
3/29/2013,0.995
2/28/2013,0.925
1/31/2013,1.0263
12/31/2012,1.065
11/30/2012,1.005
10/31/2012,1.015
9/28/2012,0.9
8/31/2012,0.88
7/31/2012,0.92
6/29/2012,1.02
5/31/2012,1.07
4/30/2012,1.0013
3/30/2012,1.015
2/29/2012,0.9612
1/31/2012,0.866
12/30/2011,1.1
11/30/2011,0.96
10/31/2011,0.85
9/30/2011,0.83
8/31/2011,0.62
7/29/2011,0.745
6/30/2011,0.895
5/31/2011,0.965
4/29/2011,1.0655
3/31/2011,1.345
2/28/2011,1.36
1/31/2011,1.1801
12/31/2010,1.2314
11/30/2010,1.165
10/29/2010,0.97
9/30/2010,1.0318
8/31/2010,1.1
7/30/2010,1.0604
6/30/2010,1.13
5/31/2010,1.3904
4/30/2010,1.42
3/31/2010,1.43
2/26/2010,1.391
1/29/2010,1.43
12/31/2009,1.74
11/30/2009,1.375
10/30/2009,1.505
9/30/2009,1.43
8/31/2009,1.375
7/31/2009,1.465
6/30/2009,1.45
5/29/2009,1.38
4/30/2009,1.4205
3/31/2009,1.4625
2/27/2009,1.9126
1/30/2009,2.032
12/31/2008,2.456
11/28/2008,2.9145
10/31/2008,3.864
9/30/2008,4.6315
8/29/2008,4.4575
7/31/2008,4.35
6/30/2008,4.25
5/30/2008,3.33
4/30/2008,3.33
3/31/2008,2.7
2/29/2008,2.626
1/31/2008,2.921
12/31/2007,3.52
11/30/2007,3.906
10/31/2007,4.601
9/28/2007,4.615
8/31/2007,4.59
7/31/2007,4.824
6/29/2007,5.13
5/31/2007,5.1655
4/30/2007,4.966
3/30/2007,4.955
2/28/2007,5.089
1/31/2007,5.021
12/29/2006,5.0685
11/30/2006,4.86
10/31/2006,5.14
9/29/2006,5.11
8/31/2006,5.25
7/31/2006,5.47
6/30/2006,5.7
5/31/2006,5.36
4/28/2006,5.58
3/31/2006,5.62
2/28/2006,5.68
1/31/2006,5.41
12/30/2005,5.2855
11/30/2005,5.15
10/31/2005,5.13
9/30/2005,4.9805
8/31/2005,4.7255
7/29/2005,4.61
6/30/2005,4.25
5/31/2005,4.13
4/29/2005,4.24
3/31/2005,4.41
2/28/2005,4.02
1/31/2005,3.83
12/31/2004,3.62
11/30/2004,3.59
10/29/2004,3.13
9/30/2004,3.2
8/31/2004,3.15
7/30/2004,3.45
6/30/2004,3.665
5/31/2004,3.095
4/30/2004,2.765
3/31/2004,2.075
2/27/2004,2.285
1/30/2004,2.675
12/31/2003,2.625
11/28/2003,2.925
10/31/2003,2.755
9/30/2003,2.245
8/29/2003,2.725
7/31/2003,2.325
6/30/2003,1.975
5/30/2003,1.975
4/30/2003,1.975
3/31/2003,2.355
2/28/2003,2.595
1/31/2003,2.745
12/31/2002,3.075
11/29/2002,3.275
10/31/2002,2.925
9/30/2002,3.325
8/30/2002,3.375
7/31/2002,3.225
6/28/2002,3.645
5/31/2002,3.945
4/30/2002,4.075
3/29/2002,4.365
2/28/2002,4.015
1/31/2002,3.905
12/31/2001,4.32
11/30/2001,4.05
10/31/2001,3.96
9/28/2001,3.87
8/31/2001,4.37
7/31/2001,4.6
6/29/2001,4.97
5/31/2001,5.05
4/30/2001,5.25
3/30/2001,5.35
2/28/2001,5.33
1/31/2001,5.63
12/29/2000,6.1
11/30/2000,6.8
10/31/2000,7.005
9/29/2000,6.9
