Security,SASW2 BGN Curncy
Start Date,2/28/1995 0:00
End Date,9/29/2023 0:00
Period,M
Currency,ZAR
,
Date,PX_LAST
9/29/2023,8.46
8/31/2023,7.959
7/31/2023,8.24
6/30/2023,8.475
5/31/2023,8.972
4/28/2023,8.245
3/31/2023,7.886
2/28/2023,7.863
1/31/2023,7.305
12/30/2022,7.78
11/30/2022,7.705
10/31/2022,7.81
9/30/2022,8.11
8/31/2022,7.565
7/29/2022,7.265
6/30/2022,7.275
5/31/2022,6.545
4/29/2022,6.355
3/31/2022,6.015
2/28/2022,5.763
1/31/2022,5.547
12/31/2021,5.37
11/30/2021,5.358
10/29/2021,5.55
9/30/2021,4.9
8/31/2021,4.522
7/30/2021,4.495
6/30/2021,4.713
5/31/2021,4.452
4/30/2021,4.3275
3/31/2021,4.445
2/26/2021,4.374
1/29/2021,3.831
12/31/2020,3.551
11/30/2020,3.864
10/30/2020,3.385
9/30/2020,3.555
8/31/2020,3.835
7/31/2020,3.78
6/30/2020,3.745
5/29/2020,4.11
4/30/2020,4.37
3/31/2020,5.245
2/28/2020,6.26
1/31/2020,6.314
12/31/2019,6.585
11/29/2019,6.745
10/31/2019,6.704
9/30/2019,6.633
8/30/2019,6.515
7/31/2019,6.735
6/28/2019,6.715
5/31/2019,6.95
4/30/2019,7.125
3/29/2019,7.135
2/28/2019,7.134
1/31/2019,7.132
12/31/2018,7.335
11/30/2018,7.42
10/31/2018,7.605
9/28/2018,7.505
8/31/2018,7.595
7/31/2018,7.245
6/29/2018,7.299
5/31/2018,7.082
4/30/2018,6.85
3/30/2018,6.79
2/28/2018,6.906
1/31/2018,6.985
12/29/2017,6.9241
11/30/2017,7.4926
10/31/2017,7.33
9/29/2017,6.83
8/31/2017,6.663
7/31/2017,6.767
6/30/2017,7.14
5/31/2017,7.105
4/28/2017,7.164
3/31/2017,7.345
2/28/2017,7.338
1/31/2017,7.48
12/30/2016,7.46
11/30/2016,7.61
10/31/2016,7.455
9/30/2016,7.415
8/31/2016,7.73
7/29/2016,7.535
6/30/2016,7.599
5/31/2016,8.013
4/29/2016,7.77
3/31/2016,7.798
2/29/2016,7.995
1/29/2016,7.75
12/31/2015,8.16
11/30/2015,7.22
10/30/2015,6.9731
9/30/2015,7.125
8/31/2015,7.08
7/31/2015,7.04
6/30/2015,6.93
5/29/2015,7.019
4/30/2015,6.831
3/31/2015,6.76
2/27/2015,6.56
1/30/2015,6.14
12/31/2014,6.815
11/28/2014,6.348
10/31/2014,6.65
9/30/2014,6.98
8/29/2014,6.625
7/31/2014,6.725
6/30/2014,6.81
5/30/2014,6.7
4/30/2014,6.845
3/31/2014,6.9
2/28/2014,7.2
1/31/2014,7.524
12/31/2013,6.145
11/29/2013,6.195
10/31/2013,5.88
9/30/2013,6.15
8/30/2013,6.393
7/31/2013,6.065
6/28/2013,5.94
5/31/2013,5.609
4/30/2013,5.004
3/29/2013,5.33
2/28/2013,5.151
1/31/2013,5.145
12/31/2012,5.04
11/30/2012,5.14
10/31/2012,5.12
9/28/2012,5
8/31/2012,4.97
7/31/2012,5.013
6/29/2012,5.5
5/31/2012,5.6
4/30/2012,5.948
3/30/2012,6.03
2/29/2012,5.986
1/31/2012,5.869
12/30/2011,5.8375
11/30/2011,5.78
10/31/2011,5.544
9/30/2011,5.68
8/31/2011,5.52
7/29/2011,6.25
6/30/2011,6.51
5/31/2011,6.53
4/29/2011,6.6
3/31/2011,6.73
2/28/2011,6.59
1/31/2011,6.605
12/31/2010,5.91
11/30/2010,5.97
10/29/2010,5.855
9/30/2010,6.22
8/31/2010,6.2709
7/30/2010,6.505
6/30/2010,6.78
5/31/2010,6.9407
