Security,TYSO10 BGN Curncy
Start Date,4/30/2009 0:00
End Date,9/29/2023 0:00
Period,M
Currency,TRY
,
Date,PX_LAST
9/29/2023,26.45
8/31/2023,25.55
7/31/2023,22.05
6/30/2023,20.72
5/31/2023,25.44
4/28/2023,23.6
3/31/2023,22.85
2/28/2023,20
1/31/2023,21.501
12/30/2022,22.45
11/30/2022,22.25
10/31/2022,23.81
9/30/2022,25.2
8/31/2022,25.75
7/29/2022,31.5
6/30/2022,28.45
5/31/2022,27.32
4/29/2022,23.16
3/31/2022,22.65
2/28/2022,21.57
1/31/2022,21.605
12/31/2021,20.85
11/30/2021,19.82
10/29/2021,18.68
9/30/2021,16.98
8/31/2021,16.27
7/30/2021,16.46
6/30/2021,16.85
5/31/2021,17.28
4/30/2021,17.24
3/31/2021,17.89
2/26/2021,13.4
1/29/2021,12.88
12/31/2020,12.56
11/30/2020,12.08
10/30/2020,14.1
9/30/2020,12.2
8/31/2020,11.96
7/31/2020,12.03
6/30/2020,10.915
5/29/2020,11.9
4/30/2020,11.55
3/31/2020,12.52
2/28/2020,12.56
1/31/2020,10
12/31/2019,11.1
11/29/2019,11.38
10/31/2019,11.3178
1/31/2013,6.66
12/31/2012,6.17
11/30/2012,6.12
10/31/2012,6.85
9/28/2012,6.89
8/31/2012,6.85
7/31/2012,6.8
6/29/2012,7.18
5/31/2012,7.52
4/30/2012,7.54
3/30/2012,7.48
2/29/2012,7.48
1/31/2012,7.57
12/30/2011,7.39
11/30/2011,8.03
10/31/2011,8.14
9/30/2011,7.6
8/31/2011,7.65
7/29/2011,9.35
6/30/2011,9.59
5/31/2011,9.2
4/29/2011,8.98
3/31/2011,9.1
2/28/2011,8.995
1/31/2011,8.81
12/31/2010,8.37
11/30/2010,8.98
10/29/2010,8.86
9/30/2010,8.98
8/31/2010,8.85
7/30/2010,8.7
6/30/2010,9.62
5/31/2010,10.3
4/30/2010,10.85
3/31/2010,10.63
2/26/2010,10.9
1/29/2010,11.22
12/31/2009,11.2
11/30/2009,11.1
10/30/2009,10.95
9/30/2009,11.1
8/31/2009,11.45
7/31/2009,11.9
6/30/2009,13.3
5/29/2009,12.7
4/30/2009,12.15
