Date,equity_index_gdp,government_bond_gdp,currency_gdp,equity_index_cpi,government_bond_cpi,currency_cpi,equity_index_interest_rate,government_bond_interest_rate,currency_interest_rate,equity_index_exchange_rate,government_bond_exchange_rate,currency_exchange_rate
1970-01-01,,,,,,,,,,,,
1970-02-01,,,,,,,,,,,,
1970-03-01,,,,,,,,,,,,
1970-04-01,,,,,,,,,,,,
1970-05-01,,,,,,,,,,,,
1970-06-01,,,,,,,,,,,,
1970-07-01,,,,,,,,,,,,
1970-08-01,,,,,,,,,,,,
1970-09-01,,,,,,,,,,,,
1970-10-01,,,,,,,,,,,,
1970-11-01,,,,,,,,,,,,
1970-12-01,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,
1971-02-01,,,,,,,,,,,,
1971-03-01,,,,,,,,,,,,
1971-04-01,,,,,,,,,,,,
1971-05-01,,,,,,,,,,,,
1971-06-01,,,,,,,,,,,,
1971-07-01,,,,,,,,,,,,
1971-08-01,,,,,,,,,,,,
1971-09-01,,,,,,,,,,,,
1971-10-01,,,,,,,,,,,,
1971-11-01,,,,,,,,,,,,
1971-12-01,,,,,,,,,,,,
1972-01-01,,,,,,,,,,,,
1972-02-01,,,,,,,,,,,,
1972-03-01,,,,,,,,,,,,
1972-04-01,,,,,,,,,,,,
1972-05-01,,,,,,,,,,,,
1972-06-01,,,,,,,,,,,,
1972-07-01,,,,,,,,,,,,
1972-08-01,,,,,,,,,,,,
1972-09-01,,,,,,,,,,,,
1972-10-01,,,,,,,,,,,,
1972-11-01,,,,,,,,,,,,
1972-12-01,,,,,,,,,,,,
1973-01-01,-0.018831269367715692,,,-0.018831269367715692,,,,,,,,
1973-02-01,-0.03718312756185293,,,0.03718312756185293,,,,,,,,
1973-03-01,-0.010477843200773518,,,0.010477843200773518,,,,,,,,
1973-04-01,-0.030809758264220825,,,0.030809758264220825,,,,,,,,
1973-05-01,-0.014634814634902057,,,0.014634814634902057,,,,,,,,
1973-06-01,-8.934892908991778e-05,,,8.934892908991778e-05,,,,,,,,
1973-07-01,0.03458451631489461,,,-0.03458451631489461,,,,,,,,
1973-08-01,-0.03303254464717992,,,0.03303254464717992,,,,,,,,
1973-09-01,0.032293418374501746,,,-0.032293418374501746,,,,,,,,
1973-10-01,0.002587607369033029,,,-0.002587607369033029,,,,,,,,
1973-11-01,-0.0879199736281612,,,0.0879199736281612,,,,,,,,
1973-12-01,0.01305155832415915,,,-0.01305155832415915,,,,,,,,
1974-01-01,0.01645808850556141,,,0.01645808850556141,,,,,,,,
1974-02-01,0.05598200033353304,,0.05037958183115417,-0.022822836517018705,,0.05098118876744627,-0.04156704874279623,,0.006022984984101992,,,
1974-03-01,-0.05931459370484896,,0.024936398820753956,0.037659503923205835,,0.03405936512275283,0.06364005988958618,,0.034377683368321206,,,
1974-04-01,-0.04472995104201968,,0.03251748298473026,0.009858820713589518,,0.027031592662898715,-0.012823102703201942,,0.011231108339621047,,,
1974-05-01,-0.021900634695507154,,0.009388544456521736,0.03669187974187955,,-0.008501366844971953,0.06495269114015118,,-0.011308739595055139,,,
1974-06-01,0.010930601727111888,,-0.036685152233795655,0.03295889547443196,,-0.023128155267080605,0.041471503663251,,-0.000520208682966162,,,
1974-07-01,0.047083382451590085,,0.021891433814097715,0.042007098769862715,,-0.03844446551875286,0.05358519519004215,,-0.0025342962410649416,,,
1974-08-01,0.06393145268943572,,0.03157975299710988,0.07520086483496632,,-0.018144088890895155,0.044966614259467866,,-0.02294938193221566,,,
1974-09-01,0.08646005314988288,,0.05496259536398542,0.05642735236779234,,0.0017772800162763165,0.08441993140860515,,-0.07248415503626479,,,
1974-10-01,-0.0702674278731666,,-0.005045107875630287,-0.03692597897396795,,0.0022629521940200413,-0.0585756109957049,,4.581546262405853e-05,,,
1974-11-01,0.03713632541822727,,0.007914172173714472,0.025929301370549173,,-0.0026793703495073627,0.030156920242934173,,-0.0001037554512172924,,,
1974-12-01,0.004908168624553482,,0.003272255342977901,0.00848768724539917,,-0.005773318448980899,0.01603209767520383,,-0.005295717875027168,,,
1975-01-01,-0.09921793621776948,,0.007570745762985586,-0.09272232950605468,,-0.0013801364008833663,0.07781437738597928,,-0.006005008667890831,,,
1975-02-01,-0.03149564189524229,,-0.024848459762262066,-0.054891614356828544,,0.030399598584021702,0.05513386827248086,,-0.004582714610662379,,,
1975-03-01,0.010473063335980056,,0.024789198018177507,0.004952727620395648,,-0.02350411698098324,-0.010465790209654125,,0.0025522586864709616,,,
1975-04-01,-0.016654160283303333,,0.05696709785591163,-0.022736219279653223,,-0.06999022554678273,0.03713818720477954,,0.014512473085888713,,,
